Company Name,Industry,Symbol,Series,ISIN Code
Samsung Electronics Co Ltd Pfd Non-Voting,Technology,005935.KS,EQ,KR7005931001
Samsung Electronics,Technology,005930.KS,EQ,KR7005930003
SK Hynix,Technology,000660.KS,EQ,KR7000660001
SK Square,Technology,402340.KS,EQ,KR7402340004
Hyundai Motor Co Ltd Pfd Shs Non-Voting,Consumer Discretionary,005385.KS,EQ,KR7005381009
Hyundai Motor,Consumer Discretionary,005380.KS,EQ,KR7005380001
Hyundai Motor Co Ltd Pfd. Shs 3,Consumer Discretionary,005389.KS,EQ,KR7005383005
Hyundai Motor Co Ltd Pfd. Shs 2,Consumer Discretionary,005387.KS,EQ,KR7005382007
Samsung Electro-Mechanics Co Ltd Pfd Registered Shs Non-Voting,Technology,009155.KS,EQ,KR7009151002
Samsung Electro-Mechanics,Technology,009150.KS,EQ,KR7009150004
LG Energy Solution Ltd,Technology,373220.KQ,EQ,KR7373220003
Samsung Life Insurance,Financials,032830.KS,EQ,KR7032830002
HD Hyundai Heavy,Industrials,329180.KS,EQ,KR7329180004
SAMSUNG C&T CORP Pfd 1 Non-Voting,Industrials,02826K.KS,EQ,KR702826K016
Samsung C&T,Industrials,028260.KS,EQ,KR7028260008
Kia Corporation,Consumer Discretionary,000270.KS,EQ,KR7000270009
Samsung Biologics,Health Care,207940.KS,EQ,KR7207940008
Doosan Enerbility,Industrials,034020.KS,EQ,KR7034020008
Hanwha Aerospace,Industrials,012450.KS,EQ,KR7012450003
KB Financial Group,Financials,105560.KS,EQ,KR7105560007
Hyundai Mobis,Consumer Discretionary,012330.KS,EQ,KR7012330007
Shinhan Financial Group,Financials,055550.KS,EQ,KR7055550008
Samsung SDI Co Ltd Pfd Non-Voting,Industrials,006405.KS,EQ,KR7006401004
Samsung SDI Co Ltd,Technology,006400.KQ,EQ,KR7006400006
HD Hyundai Electric Co Ltd,Industrials,267260.KS,EQ,KR7267260008
LG Electronics,Technology,066570.KS,EQ,KR7066570003
LG Electronics Inc. Pfd Registered Shs Non-voting,Consumer Discretionary,066575.KS,EQ,KR7066571001
NAVER,Technology,035420.KS,EQ,KR7035420009
Celltrion,Health Care,068270.KS,EQ,KR7068270008
Hanwha Ocean,Industrials,042660.KS,EQ,KR7042660001
Hanmi Semiconductor Co.  Ltd,Industrials,042700.KS,EQ,KR7042700005
LS Electric Co Ltd,Industrials,010120.KS,EQ,KR7010120004
SK Inc. Pfd Registered Shs 1,Financials,03473K.KS,EQ,KR703473K016
SK Inc,Industrials,034730.KS,EQ,KR7034730002
Hana Financial Group,Financials,086790.KS,EQ,KR7086790003
Hyosung Heavy Industries Corp.,Industrials,298040.KS,EQ,KR7298040007
Korea Shipbuilding,Industrials,009540.KS,EQ,KR7009540006
Doosan Corporation Pfd Registered Shs -II- Issue 99,Industrials,000157.KS,EQ,KR7000152009
Doosan Corporation,Industrials,000150.KS,EQ,KR7000150003
Doosan Corporation Pfd Registered Shs Non-Voting,Industrials,000155.KS,EQ,KR7000151001
Posco Holdings,Materials,005490.KS,EQ,KR7005490008
LG Chem Ltd Pfd Registered Shs Issue 01,Materials,051915.KS,EQ,KR7051911006
LG Chemical,Materials,051910.KS,EQ,KR7051910008
Samsung Fire & Marine Insurance Co Ltd Pfd Non-Voting,Financials,000815.KS,EQ,KR7000811000
Samsung Fire and Marine,Financials,000810.KS,EQ,KR7000810002
MIRAE ASSET SECURITIES CO. LTD. Cum Pfd Registered Shs Non-Voting,Financials,006805.KS,EQ,KR7006801005
Mirae Asset Securities,Financials,006800.KS,EQ,KR7006800007
MIRAE ASSET SECURITIES CO. LTD. Cum Pfd Registered Shs,Financials,00680K.KS,EQ,KR700680K019
LG Innotek,Industrials,011070.KS,EQ,KR7011070000
Korea Zinc,Materials,010130.KS,EQ,KR7010130003
KEPCO,Utilities,015760.KS,EQ,KR7015760002
Samsung Heavy Industries,Industrials,010140.KS,EQ,KR7010140002
Hyundai Rotem,Industrials,064350.KS,EQ,KR7064350002
Woori Financial Group,Financials,316140.KS,EQ,KR7316140003
SK Telecom,Communication Services,017670.KS,EQ,KR7017670001
KT&G,Consumer Staples,033780.KS,EQ,KR7033780008
HMM Co,Industrials,011200.KS,EQ,KR7011200003
Hyundai Autoever Corp.,Technology,307950.KS,EQ,KR7307950006
SAMSUNG SDS CO.  LTD.,Technology,018260.KS,EQ,KR7018260000
Kakao,Technology,035720.KS,EQ,KR7035720002
ALTEOGEN Inc.,Health Care,196170.KS,EQ,KR7196170005
Hanwha Systems Co.  Ltd.,Technology,272210.KS,EQ,KR7272210006
POSCO Future M Co Ltd,Materials,003670.KQ,EQ,KR7003670007
SK Innovation Co Ltd Pfd Registered Shs Non-voting,Energy,096775.KS,EQ,KR7096771001
SK Innovation,Energy,096770.KS,EQ,KR7096770003
Hyundai Engineering and Construction Co Ltd Pfd Registered Shs Non-Voting,Consumer Discretionary,000725.KS,EQ,KR7000721001
Hyundai Engineering & Construction,Industrials,000720.KS,EQ,KR7000720003
Meritz Financial Group,Financials,138040.KS,EQ,KR7138040001
Industrial Bank Of Korea,Financials,024110.KS,EQ,KR7024110009
HD HYUNDAI CO. LTD.,Industrials,267250.KS,EQ,KR7267250009
LIG Defense&Aerospace,Technology,079550.KS,EQ,KR7079550000
Ecopro BM Co Ltd,Materials,247540.KQ,EQ,KR7247540008
Hyundai Glovis Co Ltd,Industrials,086280.KS,EQ,KR7086280005
