Company Name,Industry,Symbol,Series,ISIN Code
SK Telecom,Communication Services,017670.KS,EQ,KR7017670001
KT Corporation,Communication Services,030200.KS,EQ,KR7030200000
LG Uplus,Communication Services,032640.KS,EQ,KR7032640005
CJ ENM Co Ltd,Communication Services,035760.KS,EQ,KR7035760008
KINX Inc.,Communication Services,093320.KS,EQ,KR7093320000
SMEC CO. LTD,Communication Services,099440.KS,EQ,KR7099440000
Contec Co.  Ltd.,Communication Services,451760.KS,EQ,KR7451760003
Sejong Telecom Inc.,Communication Services,036630.KS,EQ,KR7036630002
Kwangmu Co.Ltd.,Communication Services,029480.KS,EQ,KR7029480001
KTCS Corp.,Communication Services,058850.KS,EQ,KR7058850009
UANGEL Corp.,Communication Services,072130.KS,EQ,KR7072130008
Inscobee  Inc.,Communication Services,006490.KS,EQ,KR7006490007
ONE4U Co.  Ltd.,Communication Services,122830.KS,EQ,KR7122830003
T Scientific Co.  Ltd.,Communication Services,057680.KS,EQ,KR7057680001
ESTaid Corp.,Communication Services,239340.KS,EQ,KR7239340003
