Company Name,Industry,Symbol,Series,ISIN Code
Hyundai Motor Co Ltd Pfd Shs Non-Voting,Consumer Discretionary,005385.KS,EQ,KR7005381009
Hyundai Motor,Consumer Discretionary,005380.KS,EQ,KR7005380001
Hyundai Motor Co Ltd Pfd. Shs 3,Consumer Discretionary,005389.KS,EQ,KR7005383005
Hyundai Motor Co Ltd Pfd. Shs 2,Consumer Discretionary,005387.KS,EQ,KR7005382007
Kia Corporation,Consumer Discretionary,000270.KS,EQ,KR7000270009
Hyundai Mobis,Consumer Discretionary,012330.KS,EQ,KR7012330007
LG Electronics Inc. Pfd Registered Shs Non-voting,Consumer Discretionary,066575.KS,EQ,KR7066571001
Hyundai Engineering and Construction Co Ltd Pfd Registered Shs Non-Voting,Consumer Discretionary,000725.KS,EQ,KR7000721001
LG Corp Pfd Registered Shs Non-Voting,Consumer Discretionary,003555.KS,EQ,KR7003551009
Hankook Tire,Consumer Discretionary,161390.KS,EQ,KR7161390000
HANJIN KAL Corp.,Consumer Discretionary,180640.KS,EQ,KR7180640005
HANJIN KAL Corp. Pfd Registered Shs 1 Non-Voting,Consumer Discretionary,18064K.KS,EQ,KR718064K016
GS Holdings Corp. Pfd Registered Shs Non-Voting,Consumer Discretionary,078935.KS,EQ,KR7078931003
Coway Co.  Ltd.,Consumer Discretionary,021240.KS,EQ,KR7021240007
Shinsegae Inc,Consumer Discretionary,004170.KS,EQ,KR7004170007
Hanon Systems,Consumer Discretionary,018880.KS,EQ,KR7018880005
Hyundai Department Store Co.  Ltd,Consumer Discretionary,069960.KS,EQ,KR7069960003
Kangwon Land  Inc.,Consumer Discretionary,035250.KS,EQ,KR7035250000
Woori Technology Inc.,Consumer Discretionary,032820.KS,EQ,KR7032820003
SILICON 2 Co. Ltd.,Consumer Discretionary,257720.KS,EQ,KR7257720003
HOTEL SHILLA CO. LTD Pfd Non-Voting,Consumer Discretionary,008775.KS,EQ,KR7008771008
HOTEL SHILLA CO.  LTD.,Consumer Discretionary,008770.KS,EQ,KR7008770000
HYUNDAI G.F. HOLDINGS CO. LTD.,Consumer Discretionary,005440.KS,EQ,KR7005440003
SM ENTERTAINMENT CO. Ltd.,Consumer Discretionary,041510.KS,EQ,KR7041510009
JYP Entertainment Corp,Consumer Discretionary,035900.KS,EQ,KR7035900000
Lotte Tour Development Co.  Ltd.,Consumer Discretionary,032350.KS,EQ,KR7032350001
Kumho Tire Co.  Inc.,Consumer Discretionary,073240.KS,EQ,KR7073240004
Paradise Co.  Ltd,Consumer Discretionary,034230.KS,EQ,KR7034230003
Kyung Dong Navien Co.  Ltd.,Consumer Discretionary,009450.KS,EQ,KR7009450008
GS P&L Co. Ltd.,Consumer Discretionary,499790.KS,EQ,KR7499790004
Hyundai Home Shopping Network Corporation,Consumer Discretionary,057050.KS,EQ,KR7057050007
YG Entertainment  Inc.,Consumer Discretionary,122870.KS,EQ,KR7122870009
Cuckoo Holdings Co.  Ltd.,Consumer Discretionary,192400.KS,EQ,KR7192400000
Studio Dragon Corp.,Consumer Discretionary,253450.KS,EQ,KR7253450001
Grand Korea Leisure Co.  Ltd.,Consumer Discretionary,114090.KS,EQ,KR7114090004
CJ CGV Co.  Ltd,Consumer Discretionary,079160.KS,EQ,KR7079160008
Nexen Tire Corp Pfd Registered Shs Non-Voting,Consumer Discretionary,002355.KS,EQ,KR7002351005
Nexen Tire Corp,Consumer Discretionary,002350.KS,EQ,KR7002350007
Yujin Robot Co.  Ltd,Consumer Discretionary,056080.KS,EQ,KR7056080005
Kolon Corporation,Consumer Discretionary,002020.KS,EQ,KR7002020006
KOLON Corporation Pfd Registered Shs Non-Voting,Consumer Discretionary,002025.KS,EQ,KR7002021004
KG Mobility,Consumer Discretionary,003620.KS,EQ,KR7003620002
HYUNDAI GREEN FOOD CO. LTD,Consumer Discretionary,453340.KS,EQ,KR7453340002
Hanssem Co.  Ltd,Consumer Discretionary,009240.KS,EQ,KR7009240003
Shinsegae International Co.  Ltd,Consumer Discretionary,031430.KS,EQ,KR7031430002
Hanatour Service  Inc.,Consumer Discretionary,039130.KS,EQ,KR7039130000
HANWHA GALLERIA CORPORATION Non-cum Pfd Registered Shs,Consumer Discretionary,45226K.KS,EQ,KR745226K018
HANWHA GALLERIA CORPORATION,Consumer Discretionary,452260.KS,EQ,KR7452260003
CUCKOO HOMESYS CO. LTD,Consumer Discretionary,284740.KS,EQ,KR7284740008
K Car Co.  Ltd.,Consumer Discretionary,381970.KS,EQ,KR7381970003
Ananti Inc.,Consumer Discretionary,025980.KS,EQ,KR7025980004
MegaStudyEdu Co. Ltd,Consumer Discretionary,215200.KS,EQ,KR7215200007
Justem Co. Ltd.,Consumer Discretionary,417840.KS,EQ,KR7417840006
Ace Bed Co.  Ltd.,Consumer Discretionary,003800.KS,EQ,KR7003800000
Global Tax Free Co.  Ltd.,Consumer Discretionary,204620.KS,EQ,KR7204620009
Nexen Corporation Pfd Non-Voting,Consumer Discretionary,005725.KS,EQ,KR7005721006
Nexen Corporation,Consumer Discretionary,005720.KS,EQ,KR7005720008
Gwangju Shinsegae Co.  Ltd.,Consumer Discretionary,037710.KS,EQ,KR7037710001
GOLFZON Co.  Ltd.,Consumer Discretionary,215000.KS,EQ,KR7215000001
JTC  Inc. Shs Korean Deposit Receipt Repr 1 Sh,Consumer Discretionary,950170.KS,EQ,KR8392080006
iMarket Korea  Inc.,Consumer Discretionary,122900.KS,EQ,KR7122900004
SAMG ENTERTAINMENT CO.LTD,Consumer Discretionary,419530.KS,EQ,KR7419530001
Born Korea Co. Ltd.,Consumer Discretionary,475560.KS,EQ,KR7475560009
LS Networks Corporation Ltd.,Consumer Discretionary,000680.KS,EQ,KR7000680009
Seoul Broadcasting System Co.  Ltd.,Consumer Discretionary,034120.KS,EQ,KR7034120006
SM BEXEL CO. LTD.,Consumer Discretionary,010580.KS,EQ,KR7010580009
kt alpha Co.  Ltd.,Consumer Discretionary,036030.KS,EQ,KR7036030005
SK D&D Co. Ltd.,Consumer Discretionary,210980.KS,EQ,KR7210980009
KT Skylife Co.  Ltd,Consumer Discretionary,053210.KS,EQ,KR7053210001
Korea Information Certificate Authority  Inc.,Consumer Discretionary,053300.KS,EQ,KR7053300000
EVERYBOT Inc.,Consumer Discretionary,270660.KS,EQ,KR7270660004
BNC KOREA. Inc.,Consumer Discretionary,256840.KS,EQ,KR7256840000
VenueG Co.  Ltd.,Consumer Discretionary,019010.KS,EQ,KR7019010008
GOLFZON HOLDINGS Co. Ltd.,Consumer Discretionary,121440.KS,EQ,KR7121440002
