Company Name,Industry,Symbol,Series,ISIN Code
SK Innovation Co Ltd Pfd Registered Shs Non-voting,Energy,096775.KS,EQ,KR7096771001
SK Innovation Co. Ltd,Energy,096770.KS,EQ,KR7096770003
S-Oil Corporation,Energy,010950.KS,EQ,KR7010950004
S-Oil Corp Pfd Shs Non-Voting,Energy,010955.KS,EQ,KR7010951002
Taekwang Industrial Co. Ltd.,Energy,003240.KS,EQ,KR7003240009
Seobu T&D Co. Ltd.,Energy,006730.KS,EQ,KR7006730006
Hankook Shell Oil Co. Ltd,Energy,002960.KS,EQ,KR7002960003
Michang Oil Industry Co. Ltd.,Energy,003650.KS,EQ,KR7003650009
Kukdong Oil & Chemicals Co. Ltd,Energy,014530.KS,EQ,KR7014530000
HLB GLOBAL Co. Ltd.,Energy,003580.KS,EQ,KR7003580008
Agent AI Co. Ltd.,Energy,060900.KS,EQ,KR7060900008
SI Resources Co. Ltd.,Energy,065420.KS,EQ,KR7065420002
