Company Name,Industry,Symbol,Series,ISIN Code
Samsung Biologics,Health Care,207940.KS,EQ,KR7207940008
Celltrion,Health Care,068270.KS,EQ,KR7068270008
ALTEOGEN Inc.,Health Care,196170.KS,EQ,KR7196170005
Kolon TissueGene. Inc. Shs Korean Deposit Receipt Repr 1/5 Sh,Health Care,950160.KS,EQ,KR8840120008
SK Biopharmaceuticals,Health Care,326030.KS,EQ,KR7326030004
HLB Inc,Health Care,028300.KS,EQ,KR7028300002
Sam Chun Dang Pharm. Co.  Ltd.,Health Care,000250.KS,EQ,KR7000250001
Yuhan Corporation Pfd Non-Voting,Health Care,000105.KS,EQ,KR7000101006
Yuhan Corp,Health Care,000100.KS,EQ,KR7000100008
Peptron  Inc.,Health Care,087010.KS,EQ,KR7087010005
Hanmi Pharmaceutical Co.  Ltd.,Health Care,128940.KS,EQ,KR7128940004
ABL Bio  Inc.,Health Care,298380.KS,EQ,KR7298380007
LigaChem Biosciences Inc.,Health Care,141080.KS,EQ,KR7141080002
D&D Pharmatech Co.  Ltd.,Health Care,347850.KS,EQ,KR7347850000
Voronoi  Inc.,Health Care,310210.KS,EQ,KR7310210000
SK bioscience Co. Ltd.,Health Care,302440.KS,EQ,KR7302440003
PharmaResearch Co.  Ltd.,Health Care,214450.KS,EQ,KR7214450009
Classys Inc,Health Care,214150.KQ,EQ,KR7214150005
Hugel Inc,Health Care,145020.KQ,EQ,KR7145020004
Hanall Biopharma Co.  Ltd.,Health Care,009420.KS,EQ,KR7009420001
ST PHARM CO.  LTD.,Health Care,237690.KS,EQ,KR7237690003
OliX Pharmaceuticals Inc,Health Care,226950.KQ,EQ,KR7226950004
L&C BIO Co.  Ltd.,Health Care,290650.KS,EQ,KR7290650001
Mezzion Pharma Co.  Ltd.,Health Care,140410.KS,EQ,KR7140410002
Celltrion Pharm Inc,Health Care,068760.KS,EQ,KR7068760008
Oscotec Inc.,Health Care,039200.KS,EQ,KR7039200001
Orum Therapeutics  Inc.,Health Care,475830.KS,EQ,KR7475830006
Viatris Inc,Health Care,006280.KS,EQ,KR7006280002
Daewoong Pharmaceutical Co Ltd,Health Care,069620.KS,EQ,KR7069620003
Seegene Inc,Health Care,096530.KQ,EQ,KR7096530001
HK inno.N Corporation,Health Care,195940.KS,EQ,KR7195940002
JS Link  Inc.,Health Care,127120.KS,EQ,KR7127120004
SEERS Co. Ltd.,Health Care,458870.KS,EQ,KR7458870003
Aprilbio Co.  Ltd.,Health Care,397030.KS,EQ,KR7397030008
Qurient Co.  Ltd.,Health Care,115180.KS,EQ,KR7115180002
Chong Kun Dang Pharmaceutical Corp.,Health Care,185750.KS,EQ,KR7185750007
Pharmicell Co.  Ltd,Health Care,005690.KS,EQ,KR7005690003
HYUNDAI BIOSCIENCE CO. LTD.,Health Care,048410.KS,EQ,KR7048410005
DongKook Pharmaceutical Co.  Ltd.,Health Care,086450.KS,EQ,KR7086450004
Rokit Healthcare  Inc.,Health Care,376900.KS,EQ,KR7376900007
SK Discovery Co.Ltd. Pfd Registered Shs,Health Care,006125.KS,EQ,KR7006121008
SK Discovery Co. Ltd.,Health Care,006120.KS,EQ,KR7006120000
GI Innovation  Inc.,Health Care,358570.KS,EQ,KR7358570000
G2GBIO  Inc.,Health Care,456160.KS,EQ,KR7456160001
Daewoong Co.  Ltd.,Health Care,003090.KS,EQ,KR7003090008
Boryung Corporation,Health Care,003850.KS,EQ,KR7003850005
Onconic Therapeutics  Inc.,Health Care,476060.KS,EQ,KR7476060009
WON TECH CO. Ltd.,Health Care,336570.KS,EQ,KR7336570007
Komipharm International Co.  Ltd,Health Care,041960.KS,EQ,KR7041960006
JW PHARMACEUTICAL CORP Pfd Shs Non-Voting,Health Care,001067.KS,EQ,KR7001062009
JW Pharmaceutical Corporation,Health Care,001060.KS,EQ,KR7001060003
JW PHARMACEUTICAL CORP Pfd Shs Non-Voting,Health Care,001065.KS,EQ,KR7001061001
Ildong Pharmaceutical Co.  Ltd.,Health Care,249420.KS,EQ,KR7249420001
Medy-Tox Inc,Health Care,086900.KQ,EQ,KR7086900008
PEMTRON Corporation,Health Care,168360.KS,EQ,KR7168360006
Dong-A Socio Holdings Co.  Ltd.,Health Care,000640.KS,EQ,KR7000640003
InBody Co.  Ltd.,Health Care,041830.KS,EQ,KR7041830001
i3system  Inc.,Health Care,214430.KS,EQ,KR7214430001
TOMOCUBE  Inc.,Health Care,475960.KS,EQ,KR7475960001
BioNote  Inc.,Health Care,377740.KS,EQ,KR7377740006
GC Corp. Pfd Registered Shs Issued Jan 98,Health Care,005257.KS,EQ,KR7005252002
GC Corp.,Health Care,005250.KS,EQ,KR7005250006
i-SENS  Inc.,Health Care,099190.KS,EQ,KR7099190001
Shinpoong Pharmaceutical Co.  Ltd.,Health Care,019170.KS,EQ,KR7019170000
Shinpoong Pharmaceutical Co Ltd Pfd Non-Voting,Health Care,019175.KS,EQ,KR7019171008
CUREXO Inc.,Health Care,060280.KS,EQ,KR7060280005
Bukwang Pharmaceutical Co.  Ltd.,Health Care,003000.KS,EQ,KR7003000007
Prestige BioPharma Limited Korean Deposit Receipt Repr 1/5 Sh,Health Care,950210.KS,EQ,KR8702070002
ToolGen Incorporated,Health Care,199800.KS,EQ,KR7199800004
Dentium Co Ltd,Health Care,145720.KQ,EQ,KR7145720009
ImmuneOncia Therapeutics Inc.,Health Care,424870.KS,EQ,KR7424870004
PROTEINA Co.  Ltd.,Health Care,468530.KS,EQ,KR7468530001
HLB PHARMACEUTICAL CO.  LTD.,Health Care,047920.KS,EQ,KR7047920004
Nextbiomedical Co. Ltd.,Health Care,389650.KS,EQ,KR7389650003
SillaJen  Inc.,Health Care,215600.KS,EQ,KR7215600008
Dong-A ST Co Ltd,Health Care,170900.KS,EQ,KR7170900005
Hans Biomed Corp,Health Care,042520.KS,EQ,KR7042520007
EuBiologics Co.  Ltd.,Health Care,206650.KS,EQ,KR7206650004
Penetrium Bioscience Inc.,Health Care,187660.KS,EQ,KR7187660006
HUONS CO.  LTD,Health Care,243070.KS,EQ,KR7243070000
Huons Global Co.  Ltd.,Health Care,084110.KS,EQ,KR7084110006
Hem Pharma  Inc.,Health Care,376270.KS,EQ,KR7376270005
IntoCell  Inc.,Health Care,287840.KS,EQ,KR7287840003
Genomictree  Inc.,Health Care,228760.KS,EQ,KR7228760005
BIODYNE Co.  Ltd.,Health Care,314930.KS,EQ,KR7314930009
Kwang Dong Pharmaceutical Co.  Ltd.,Health Care,009290.KS,EQ,KR7009290008
HUMEDIX Co.LTD.,Health Care,200670.KS,EQ,KR7200670008
Value Added Technology Co.  Ltd.,Health Care,043150.KS,EQ,KR7043150002
Asterasys Co.  Ltd.,Health Care,450950.KS,EQ,KR7450950001
BioPlus Co. Ltd.,Health Care,099430.KS,EQ,KR7099430001
