Company Name,Industry,Symbol,Series,ISIN Code
LG Energy Solution Ltd.,Industrials,373220.KS,EQ,KR7373220003
SAMSUNG C&T CORP,Industrials,028260.KS,EQ,KR7028260008
HD Hyundai Heavy Industries Co. Ltd.,Industrials,329180.KS,EQ,KR7329180004
Hyundai Mobis Co. Ltd,Industrials,012330.KS,EQ,KR7012330007
Doosan Enerbility Co. Ltd.,Industrials,034020.KS,EQ,KR7034020008
Samsung SDI Co. Ltd,Industrials,006400.KS,EQ,KR7006400006
Samsung SDI Co Ltd Pfd Non-Voting,Industrials,006405.KS,EQ,KR7006401004
HD Hyundai Electric,Industrials,267260.KS,EQ,KR7267260008
Hanwha Ocean Co. Ltd.,Industrials,042660.KS,EQ,KR7042660001
LS Electric Co. Ltd.,Industrials,010120.KS,EQ,KR7010120004
Hyosung Heavy Industries Corp.,Industrials,298040.KS,EQ,KR7298040007
Hanmi Semiconductor Co. Ltd,Industrials,042700.KS,EQ,KR7042700005
HD KOREA SHIPBUILDING & OFFSHORE ENGINEERING CO. LTD.,Industrials,009540.KS,EQ,KR7009540006
Doosan Corporation Pfd Registered Shs Non-Voting,Industrials,000155.KS,EQ,KR7000151001
Doosan Corporation Pfd Registered Shs -II- Issue 99,Industrials,000157.KS,EQ,KR7000152009
Doosan Corporation,Industrials,000150.KS,EQ,KR7000150003
Samsung Heavy Industries Co. Ltd,Industrials,010140.KS,EQ,KR7010140002
Hyundai Rotem Co.,Industrials,064350.KS,EQ,KR7064350002
HD HYUNDAI CO. LTD.,Industrials,267250.KS,EQ,KR7267250009
HMM CO. LTD,Industrials,011200.KS,EQ,KR7011200003
Ecopro BM Co. Ltd.,Industrials,247540.KS,EQ,KR7247540008
HYUNDAI GLOVIS Co. Ltd.,Industrials,086280.KS,EQ,KR7086280005
Rainbow Robotics Inc.,Industrials,277810.KS,EQ,KR7277810008
LS Corp.,Industrials,006260.KS,EQ,KR7006260004
POSCO INTERNATIONAL Corporation,Industrials,047050.KS,EQ,KR7047050000
HD Hyundai Marine Solution Co. Ltd.,Industrials,443060.KS,EQ,KR7443060009
SAMSUNG E&A CO. LTD.,Industrials,028050.KS,EQ,KR7028050003
Jusung Engineering Co. Ltd,Industrials,036930.KS,EQ,KR7036930006
Korean Air Lines Co. Ltd.,Industrials,003490.KS,EQ,KR7003490000
Korean Air Lines Co. Ltd. Pfd Registered Shs Non-Voting,Industrials,003495.KS,EQ,KR7003491008
Doosan Robotics Inc.,Industrials,454910.KS,EQ,KR7454910001
HYBE Co. Ltd.,Industrials,352820.KS,EQ,KR7352820005
Taihan Cable & Solution Co. Ltd.,Industrials,001440.KS,EQ,KR7001440007
HD Construction Equipment Co. Ltd.,Industrials,267270.KS,EQ,KR7267270007
Sanil Electric Co. Ltd.,Industrials,062040.KS,EQ,KR7062040001
Wonik IPS Co. Ltd.,Industrials,240810.KS,EQ,KR7240810002
Doosan Bobcat Inc.,Industrials,241560.KS,EQ,KR7241560002
kakaopay Corp.,Industrials,377300.KS,EQ,KR7377300009
EO Technics Co. Ltd,Industrials,039030.KS,EQ,KR7039030002
Gaon Cable Co. Ltd.,Industrials,000500.KS,EQ,KR7000500009
KEPCO Engineering & Construction Co. Inc.,Industrials,052690.KS,EQ,KR7052690005
Hanon Systems,Industrials,018880.KS,EQ,KR7018880005
Hanwha Engine Co. Ltd.,Industrials,082740.KS,EQ,KR7082740002
ROBOTIS Co. Ltd.,Industrials,108490.KS,EQ,KR7108490004
Iljin Electric Co. Ltd.,Industrials,103590.KS,EQ,KR7103590006
PSK INC,Industrials,319660.KS,EQ,KR7319660007
HUYNDAI MOVEX Co. Ltd.,Industrials,319400.KS,EQ,KR7319400008
Eugene Technology Co. Ltd.,Industrials,084370.KS,EQ,KR7084370006
CJ CheilJedang Corporation,Industrials,097950.KS,EQ,KR7097950000
CJ CheilJedang Corp Pfd Shs Non-voting,Industrials,097955.KS,EQ,KR7097951008
SL Corporation,Industrials,005850.KS,EQ,KR7005850003
LOTTE ENERGY MATERIALS CORPORATION,Industrials,020150.KS,EQ,KR7020150009
DL E&C Co. Ltd.,Industrials,375500.KS,EQ,KR7375500006
Tokai Carbon Korea Co. Ltd.,Industrials,064760.KS,EQ,KR7064760002
Taihan Fiberoptics Co. Ltd,Industrials,010170.KS,EQ,KR7010170009
Hyundai Elevator Co. Ltd,Industrials,017800.KS,EQ,KR7017800004
Pan Ocean Co. Ltd.,Industrials,028670.KS,EQ,KR7028670008
DOOSAN TESNA Inc.,Industrials,131970.KS,EQ,KR7131970006
HL Mando Co. Ltd.,Industrials,204320.KS,EQ,KR7204320006
S-1 Corporation,Industrials,012750.KS,EQ,KR7012750006
HANKOOK & COMPANY CO. LTD.,Industrials,000240.KS,EQ,KR7000240002
SPG Co. Ltd,Industrials,058610.KS,EQ,KR7058610007
DAEHAN SHIPBUILDING Co. Ltd.,Industrials,439260.KS,EQ,KR7439260001
HD-Hyundai Marine Engine Co. Ltd.,Industrials,071970.KS,EQ,KR7071970008
KEPCO Plant Service & Engineering Co. Ltd,Industrials,051600.KS,EQ,KR7051600005
VITZROCELL Co. Ltd.,Industrials,082920.KS,EQ,KR7082920000
Hanmi Science Co. Ltd,Industrials,008930.KS,EQ,KR7008930000
DN AUTOMOTIVE CORPORATION,Industrials,007340.KS,EQ,KR7007340003
Hyundai Wia Corporation,Industrials,011210.KS,EQ,KR7011210002
SK Networks Co. Ltd.,Industrials,001740.KS,EQ,KR7001740000
BHI Co. Ltd.,Industrials,083650.KS,EQ,KR7083650002
HJ SHIPBUILDING & CONSTRUCTION CO. LTD,Industrials,097230.KS,EQ,KR7097230007
Techwing Inc.,Industrials,089030.KS,EQ,KR7089030001
Cheil Worldwide Inc,Industrials,030000.KS,EQ,KR7030000004
CS Wind Corp.,Industrials,112610.KS,EQ,KR7112610001
Daejoo Electronic Materials Co. Ltd.,Industrials,078600.KS,EQ,KR7078600004
LS Eco Energy Ltd.,Industrials,229640.KS,EQ,KR7229640008
TAESUNG CO. LTD.,Industrials,323280.KS,EQ,KR7323280008
CJ Logistics Corp,Industrials,000120.KS,EQ,KR7000120006
VM Inc.,Industrials,089970.KS,EQ,KR7089970008
LS Marine Solution Co. Ltd.,Industrials,060370.KS,EQ,KR7060370004
Dongwon Industries Co. Ltd,Industrials,006040.KS,EQ,KR7006040000
Samhyun Co. Ltd.,Industrials,437730.KS,EQ,KR7437730005
Robostar Co. Ltd,Industrials,090360.KS,EQ,KR7090360009
LX INTERNATIONAL CORP.,Industrials,001120.KS,EQ,KR7001120005
Asiana Airlines Inc.,Industrials,020560.KS,EQ,KR7020560009
STX Engine Co. Ltd.,Industrials,077970.KS,EQ,KR7077970002
HAESUNG DS Co. Ltd.,Industrials,195870.KS,EQ,KR7195870001
IPARK Hyundai Development Company,Industrials,294870.KS,EQ,KR7294870001
Hyulim ROBOT Co. Ltd.,Industrials,090710.KS,EQ,KR7090710005
HVM CO. LTD.,Industrials,295310.KS,EQ,KR7295310007
CLOBOT Co. Ltd.,Industrials,466100.KS,EQ,KR7466100005
Yuilrobotics Co. Ltd.,Industrials,388720.KS,EQ,KR7388720005
SNT DYNAMICS CO. Ltd,Industrials,003570.KS,EQ,KR7003570009
Harim Holdings Co. Ltd.,Industrials,003380.KS,EQ,KR7003380003
ITCENGLOBAL CO. LTD.,Industrials,124500.KS,EQ,KR7124500000
Philoptics Co. Ltd.,Industrials,161580.KS,EQ,KR7161580006
Global Standard Technology Co. Ltd.,Industrials,083450.KS,EQ,KR7083450007
WONIK QnC Corporation,Industrials,074600.KS,EQ,KR7074600008
DUK SAN NEOLUX CO.LTD,Industrials,213420.KS,EQ,KR7213420003
Daewon Cable Co. Ltd.,Industrials,006340.KS,EQ,KR7006340004
Daewon Cable Co Ltd Pfd Registered Shs Non-Voting,Industrials,006345.KS,EQ,KR7006341002
SOLUM CO. LTD.,Industrials,248070.KS,EQ,KR7248070005
Cheryong Electric Co. Ltd.,Industrials,033100.KS,EQ,KR7033100009
Creative & Innovative System Corp.,Industrials,222080.KS,EQ,KR7222080004
NICE Information Service Co. Ltd.,Industrials,030190.KS,EQ,KR7030190003
