Company Name,Industry,Symbol,Series,ISIN Code
POSCO Holdings Inc.,Materials,005490.KS,EQ,KR7005490008
LG Chem Ltd.,Materials,051910.KS,EQ,KR7051910008
LG Chem Ltd Pfd Registered Shs Issue 01,Materials,051915.KS,EQ,KR7051911006
Korea Zinc Co. Ltd.,Materials,010130.KS,EQ,KR7010130003
Ecopro Co. Ltd.,Materials,086520.KS,EQ,KR7086520004
Hanwha Corp,Materials,000880.KS,EQ,KR7000880005
SKC Co. Ltd.,Materials,011790.KS,EQ,KR7011790003
OCI Holdings Company Ltd.,Materials,010060.KS,EQ,KR7010060002
Hyundai Steel Company,Materials,004020.KS,EQ,KR7004020004
Ecopro Materials Co Ltd.,Materials,450080.KS,EQ,KR7450080007
KCC Corporation,Materials,002380.KS,EQ,KR7002380004
Caregen Co. Ltd.,Materials,214370.KS,EQ,KR7214370009
Lotte Chemical Corporation,Materials,011170.KS,EQ,KR7011170008
Kumho Petrochemical Co. Ltd.,Materials,011780.KS,EQ,KR7011780004
Kumho Petrochemical Co. Ltd. Pfd Registered Shs Non-Voting,Materials,011785.KS,EQ,KR7011781002
Hansol Chemical Co. Ltd,Materials,014680.KS,EQ,KR7014680003
Soulbrain Co. Ltd.,Materials,357780.KS,EQ,KR7357780006
ISU SPECIALTY CHEMICAL Co. Ltd.,Materials,457190.KS,EQ,KR7457190007
Kolon Industries Inc. Pfd Registered Shs Non-voting,Materials,120115.KS,EQ,KR7120111000
Kolon Industries Inc.,Materials,120110.KS,EQ,KR7120110002
Poongsan Corporation,Materials,103140.KS,EQ,KR7103140000
SeAH Besteel Holdings Corporation,Materials,001430.KS,EQ,KR7001430008
Hankuk Carbon Co. Ltd,Materials,017960.KS,EQ,KR7017960006
Hyosung TNC Corp.,Materials,298020.KS,EQ,KR7298020009
Sk Ie Technology Co. Ltd.,Materials,361610.KS,EQ,KR7361610009
Foosung Co. Ltd.,Materials,093370.KS,EQ,KR7093370005
LOTTE Fine Chemical Co . Ltd.,Materials,004000.KS,EQ,KR7004000006
SAMPYO Cement Co. Ltd.,Materials,038500.KS,EQ,KR7038500005
Sam-A Aluminium Co. Ltd.,Materials,006110.KS,EQ,KR7006110001
DL Holdings Co. Ltd.,Materials,000210.KS,EQ,KR7000210005
DL Holdings Co. Ltd. Pfd Registered Shs Non-Voting,Materials,000215.KS,EQ,KR7000211003
Hanil Cement Co. Ltd.,Materials,300720.KS,EQ,KR7300720000
OCI Company Ltd.,Materials,456040.KS,EQ,KR7456040005
SK oceanplant Co. Ltd,Materials,100090.KS,EQ,KR7100090000
People & Technology Inc.,Materials,137400.KS,EQ,KR7137400008
HS HYOSUNG ADVANCED MATERIALS,Materials,298050.KS,EQ,KR7298050006
Soulbrain Holdings Co. Ltd.,Materials,036830.KS,EQ,KR7036830008
Solus Advanced Materials Co. Ltd.,Materials,336370.KS,EQ,KR7336370002
SK Chemicals Co. Ltd.,Materials,285130.KS,EQ,KR7285130001
Korea Petro Chemical Ind. Co. Ltd.,Materials,006650.KS,EQ,KR7006650006
Advanced Nano Products Co. Ltd,Materials,121600.KS,EQ,KR7121600001
PI Advanced Materials Co. Ltd.,Materials,178920.KS,EQ,KR7178920005
Kolon Life Science Inc.,Materials,102940.KS,EQ,KR7102940004
POSCO M-TECH Co. Ltd.,Materials,009520.KS,EQ,KR7009520008
TKG Huchems Co. Ltd.,Materials,069260.KS,EQ,KR7069260008
ENF Technology Co. Ltd,Materials,102710.KS,EQ,KR7102710001
SeAH Holdings Corporation,Materials,058650.KS,EQ,KR7058650003
SeAH Steel Holdings Corporation,Materials,003030.KS,EQ,KR7003030004
DONGSUNG FINETEC Co. Ltd.,Materials,033500.KS,EQ,KR7033500000
Miwon Commercial Co. Ltd,Materials,002840.KS,EQ,KR7002840007
KG DONGBUSTEEL CO. LTD.,Materials,016380.KS,EQ,KR7016380008
AEKYUNG CHEMICAL CO. LTD,Materials,161000.KS,EQ,KR7161000005
WONIK Materials Co. Ltd.,Materials,104830.KS,EQ,KR7104830005
Hanil Holdings Co. Ltd.,Materials,003300.KS,EQ,KR7003300001
CHUNBO CO. LTD.,Materials,278280.KS,EQ,KR7278280003
Chemtronics Co. Ltd.,Materials,089010.KS,EQ,KR7089010003
DONGKUK STEEL MILL Co. Ltd.,Materials,460860.KS,EQ,KR7460860000
DI DONG-IL Corporation,Materials,001530.KS,EQ,KR7001530005
Miwon Specialty Chemical Co. Ltd.,Materials,268280.KS,EQ,KR7268280005
Cosmo Chemical Co. Ltd.,Materials,005420.KS,EQ,KR7005420005
LTC Co. Ltd.,Materials,170920.KS,EQ,KR7170920003
T&L Co. Ltd.,Materials,340570.KS,EQ,KR7340570001
Unid Co. Ltd,Materials,014830.KS,EQ,KR7014830004
Youlchon Chemical Co. Ltd.,Materials,008730.KS,EQ,KR7008730004
PUM-TECH KOREA CO. LTD.,Materials,251970.KS,EQ,KR7251970000
Kukil Paper Mfg. Co. Ltd.,Materials,078130.KS,EQ,KR7078130002
TEMC Co. Ltd.,Materials,425040.KS,EQ,KR7425040003
SeAH Steel Corp.,Materials,306200.KS,EQ,KR7306200007
Samyang Holdings Corporation,Materials,000070.KS,EQ,KR7000070003
KCC GLASS Corporation,Materials,344820.KS,EQ,KR7344820006
Shindaeyang Paper Co. Ltd,Materials,016590.KS,EQ,KR7016590002
Nexteel Co. Ltd.,Materials,092790.KS,EQ,KR7092790005
Asia Cement Co. Ltd,Materials,183190.KS,EQ,KR7183190008
UTI Inc.,Materials,179900.KS,EQ,KR7179900006
POSCO STEELEON Co. Ltd.,Materials,058430.KS,EQ,KR7058430000
SAMYANG NC Chem Corp.,Materials,482630.KS,EQ,KR7482630001
KPX Holdings Co. Ltd.,Materials,092230.KS,EQ,KR7092230002
Namhae Chemical Corporation,Materials,025860.KS,EQ,KR7025860008
ISU CHEMICAL CO. LTD.,Materials,005950.KS,EQ,KR7005950001
LX HAUSYS LTD.,Materials,108670.KS,EQ,KR7108670001
LX HAUSYS LTD. Pfd Registered Shs Non-voting,Materials,108675.KS,EQ,KR7108671009
YCCHEM CO. LTD.,Materials,112290.KS,EQ,KR7112290002
Asia Holdings Co. Ltd.,Materials,002030.KS,EQ,KR7002030005
KG Chemical Corporation,Materials,001390.KS,EQ,KR7001390004
SAMMOK S-FORM Co. Ltd.,Materials,018310.KS,EQ,KR7018310003
Easy Holdings Co. Ltd.,Materials,035810.KS,EQ,KR7035810001
SAMYOUNG CO. LTD.,Materials,003720.KS,EQ,KR7003720000
DONGKUK HOLDINGS CO. LTD.,Materials,001230.KS,EQ,KR7001230002
Asia Paper Manufacturing Co. Ltd.,Materials,002310.KS,EQ,KR7002310001
Kukdo Chemical Co. Ltd.,Materials,007690.KS,EQ,KR7007690001
Kisco Corp.,Materials,104700.KS,EQ,KR7104700000
Husteel Co. Ltd,Materials,005010.KS,EQ,KR7005010004
PKC Co. Ltd.,Materials,001340.KS,EQ,KR7001340009
SIMPAC Inc.,Materials,009160.KS,EQ,KR7009160003
Sukgyung AT Co. Ltd.,Materials,357550.KS,EQ,KR7357550003
Songwon Industrial Co. Ltd.,Materials,004430.KS,EQ,KR7004430005
Daehan Steel Co. Ltd,Materials,084010.KS,EQ,KR7084010008
Ilshin Spinning Co. Ltd,Materials,003200.KS,EQ,KR7003200003
Eugene Corporation,Materials,023410.KS,EQ,KR7023410004
YMT Co. Ltd.,Materials,251370.KS,EQ,KR7251370003
Sunjin Co. Ltd,Materials,136490.KS,EQ,KR7136490000
Chokwang Leather Co. Ltd.,Materials,004700.KS,EQ,KR7004700001
Korea Alcohol Industrial Co. Ltd.,Materials,017890.KS,EQ,KR7017890005
KISCO Holdings Corp.,Materials,001940.KS,EQ,KR7001940006
Sajo Industries Co. Ltd,Materials,007160.KS,EQ,KR7007160005
KPX Chemical Co. Ltd.,Materials,025000.KS,EQ,KR7025000001
Sungshin Cement Co. Ltd,Materials,004980.KS,EQ,KR7004980009
Sungshin Cement Co Ltd Pfd Registered Shs Non-Voting,Materials,004985.KS,EQ,KR7004981007
EASY BIO Inc.,Materials,353810.KS,EQ,KR7353810005
Baiksan Co. Ltd,Materials,035150.KS,EQ,KR7035150002
Suheung Co. Ltd.,Materials,008490.KS,EQ,KR7008490005
Kyungbang Co. Ltd.,Materials,000050.KS,EQ,KR7000050005
Miwon Chemicals Co. Ltd,Materials,134380.KS,EQ,KR7134380005
Hyundai BNG Steel Co. Ltd.,Materials,004560.KS,EQ,KR7004560009
Green Resource Co. Ltd.,Materials,402490.KS,EQ,KR7402490007
Aluko Co. Ltd.,Materials,001780.KS,EQ,KR7001780006
SG CO. LTD.,Materials,255220.KS,EQ,KR7255220006
BGFecomaterials CO. LTD.,Materials,126600.KS,EQ,KR7126600006
Daehan Flour Mills Co. Ltd.,Materials,001130.KS,EQ,KR7001130004
DONGSUNG CHEMICAL Co. Ltd.,Materials,102260.KS,EQ,KR7102260007
Noroo Holdings Co. Ltd,Materials,000320.KS,EQ,KR7000320002
Noroo Holdings Co Ltd Pfd Registered Shs Non-Voting,Materials,000325.KS,EQ,KR7000321000
LK CHEM Co. Ltd.,Materials,489500.KS,EQ,KR7489500009
Dowooinsys Co. Ltd.,Materials,484120.KS,EQ,KR7484120001
Namsun Aluminum Co. Ltd. Non-Cum Pfd Registered Shs Non-Voting,Materials,008355.KS,EQ,KR7008351009
Namsun Aluminum Co. Ltd.,Materials,008350.KS,EQ,KR7008350001
NANO Co. Ltd.,Materials,187790.KS,EQ,KR7187790001
Kyung-In Synthetic Corporation,Materials,012610.KS,EQ,KR7012610002
Chosun Refractories Co. Ltd.,Materials,462520.KS,EQ,KR7462520008
Kangnam Jevisco Co. Ltd,Materials,000860.KS,EQ,KR7000860007
Leeku Industrial Co. Ltd.,Materials,025820.KS,EQ,KR7025820002
SP SAMHWA CO. LTD.,Materials,000390.KS,EQ,KR7000390005
Kyung Nong Corporation,Materials,002100.KS,EQ,KR7002100006
Pangrim Co. Ltd,Materials,003610.KS,EQ,KR7003610003
DONGKUK COATED METAL Co. Ltd.,Materials,460850.KS,EQ,KR7460850001
Noroo Paint & Coatings Co. Ltd. Pfd Registered Shs Non-Voting,Materials,090355.KS,EQ,KR7090351008
Noroo Paint & Coatings Co. Ltd.,Materials,090350.KS,EQ,KR7090350000
TK Chemical Corporation,Materials,104480.KS,EQ,KR7104480009
Choil Aluminum Co. Ltd,Materials,018470.KS,EQ,KR7018470005
Purit Co. Ltd.,Materials,445180.KS,EQ,KR7445180003
Hansol Paper Co. Ltd.,Materials,213500.KS,EQ,KR7213500002
KOREA PETROLEUM INDUSTRIES CO,Materials,004090.KS,EQ,KR7004090007
ILJIN DIAMOND CO LTD,Materials,081000.KS,EQ,KR7081000002
Silla Co. Ltd,Materials,004970.KS,EQ,KR7004970000
