Company Name,Industry,Symbol,Series,ISIN Code
Samsung Electronics Co. Ltd.,Technology,005930.KS,EQ,KR7005930003
Samsung Electronics Co Ltd Pfd Non-Voting,Technology,005935.KS,EQ,KR7005931001
SK hynix Inc.,Technology,000660.KS,EQ,KR7000660001
Samsung Electro-Mechanics Co. Ltd,Technology,009150.KS,EQ,KR7009150004
Samsung Electro-Mechanics Co Ltd Pfd Registered Shs Non-Voting,Technology,009155.KS,EQ,KR7009151002
Hanwha Aerospace Co. Ltd.,Technology,012450.KS,EQ,KR7012450003
NAVER Corp.,Technology,035420.KS,EQ,KR7035420009
LG Innotek Co. Ltd,Technology,011070.KS,EQ,KR7011070000
Hyundai Autoever Corp.,Technology,307950.KS,EQ,KR7307950006
SAMSUNG SDS CO. LTD.,Technology,018260.KS,EQ,KR7018260000
POSCO FUTURE M CO. LTD.,Technology,003670.KS,EQ,KR7003670007
Hanwha Systems Co. Ltd.,Technology,272210.KS,EQ,KR7272210006
Kakao Corp.,Technology,035720.KS,EQ,KR7035720002
LIG Defense&Aerospace,Technology,079550.KS,EQ,KR7079550000
Korea Aerospace Industries Ltd.,Technology,047810.KS,EQ,KR7047810007
LG CNS Co. Ltd.,Technology,064400.KS,EQ,KR7064400005
Krafton Inc.,Technology,259960.KS,EQ,KR7259960003
ISU Petasys Co. Ltd.,Technology,007660.KS,EQ,KR7007660004
LG Display Co. Ltd,Technology,034220.KS,EQ,KR7034220004
Daeduck Electronics Co. Ltd.,Technology,353200.KS,EQ,KR7353200009
Leeno Industrial Inc.,Technology,058470.KS,EQ,KR7058470006
DB HiTek Co. LTD,Technology,000990.KS,EQ,KR7000990002
HANWHA SOLUTIONS CORPORATION,Technology,009830.KS,EQ,KR7009830001
HANWHA SOLUTIONS CORPORATION Pfd Registered Shs Non-Voting,Technology,009835.KS,EQ,KR7009831009
Doosan Fuel Cell Co. Ltd.,Technology,336260.KS,EQ,KR7336260005
FADU Inc.,Technology,440110.KS,EQ,KR7440110005
NC Corporation,Technology,036570.KS,EQ,KR7036570000
L & F Co. Ltd.,Technology,066970.KS,EQ,KR7066970005
SEOJIN SYSTEM CO. LTD,Technology,178320.KS,EQ,KR7178320008
POSCO DX COMPANY LTD.,Technology,022100.KS,EQ,KR7022100002
ISC Co. Ltd.,Technology,095340.KS,EQ,KR7095340006
HPSP Co. Ltd.,Technology,403870.KS,EQ,KR7403870009
Simmtech Co. Ltd.,Technology,222800.KS,EQ,KR7222800005
Hanwha Vision Co. Ltd.,Technology,489790.KS,EQ,KR7489790006
Sungho Electronics Corp.,Technology,043260.KS,EQ,KR7043260009
Netmarble Corp.,Technology,251270.KS,EQ,KR7251270005
DOUZONE BIZON CO.LTD,Technology,012510.KS,EQ,KR7012510004
Jeju Semiconductor Corp.,Technology,080220.KS,EQ,KR7080220007
Korea Circuit Co Ltd Pfd Non-Voting,Technology,007815.KS,EQ,KR7007811003
Korea Circuit Co. Ltd.,Technology,007810.KS,EQ,KR7007810005
Dongjin Semichem Co. Ltd,Technology,005290.KS,EQ,KR7005290002
Hana Micron Inc.,Technology,067310.KS,EQ,KR7067310003
