Company Name,Industry,Symbol,Series,ISIN Code
KEPCO,Utilities,015760.KS,EQ,KR7015760002
Korea Gas,Utilities,036460.KS,EQ,KR7036460004
KEPCO Plant Service & Engineering,Utilities,051600.KS,EQ,KR7051600005
SK Gas Co.  Ltd.,Utilities,018670.KS,EQ,KR7018670000
SK Eternix Co.  Ltd.,Utilities,475150.KS,EQ,KR7475150009
SGC Energy Co.  Ltd.,Utilities,005090.KS,EQ,KR7005090006
Korea District Heating Corp.,Utilities,071320.KS,EQ,KR7071320006
E1 Corporation,Utilities,017940.KS,EQ,KR7017940008
Samchully Co.  Ltd,Utilities,004690.KS,EQ,KR7004690004
INVENI Co.  Ltd.,Utilities,015360.KS,EQ,KR7015360001
Dae Myoung Energy Co. Ltd.,Utilities,389260.KS,EQ,KR7389260001
SEOUL CITY GAS CO.  LTD.,Utilities,017390.KS,EQ,KR7017390006
Daesung Industrial Co.  Ltd,Utilities,128820.KS,EQ,KR7128820008
Daesung Energy Co. Ltd.,Utilities,117580.KS,EQ,KR7117580001
HeunguOil Co.  Ltd.,Utilities,024060.KS,EQ,KR7024060006
Hanjin Heavy Industries & Construction Holdings Co.  Ltd.,Utilities,003480.KS,EQ,KR7003480001
Gridwiz Co.  Ltd.,Utilities,453450.KS,EQ,KR7453450009
KyungDong City Gas Co. Ltd.,Utilities,267290.KS,EQ,KR7267290005
DAESUNG HOLDINGS Co.  Ltd.,Utilities,016710.KS,EQ,KR7016710006
Incheon City Gas Co.  Ltd.,Utilities,034590.KS,EQ,KR7034590000
KYUNGDONG INVEST CO. LTD.,Utilities,012320.KS,EQ,KR7012320008
GSE Co.  Ltd,Utilities,053050.KS,EQ,KR7053050001
EcoSimplex Co.  Ltd,Utilities,038870.KS,EQ,KR7038870002
APTN Inc.,Utilities,270520.KS,EQ,KR7270520000
