Company Name,Industry,Symbol,Series,ISIN Code
Grupo Mexico,Materials,GMEXICOB.MX,EQ,MXP370841019
America Movil,Communication Services,AMXB.MX,EQ,MX01AM050019
Walmart de Mexico,Consumer Staples,WALMEX.MX,EQ,MX01WA000038
Grupo Financiero Banorte,Financials,GFNORTEO.MX,EQ,MXP370711014
Fomento Económico Mexicano  S.A.B. de C.V.,Consumer Staples,FEMSAUB.MX,EQ,MXP320321211
Fomento Economico (FEMSA),Consumer Staples,FEMSAUBD.MX,EQ,MXP320321310
Arca Continental,Consumer Staples,AC.MX,EQ,MX01AC100006
Cemex,Materials,CEMEXCPO.MX,EQ,MXP225611567
Industrias Penoles SAB de CV,Materials,PE_OLES.MX,EQ,MXP554091415
Grupo Carso,Industrials,GCARSOA1.MX,EQ,MXP461181085
Grupo Financiero Inbursa,Financials,GFINBURO.MX,EQ,MXP370641013
Grupo Bimbo,Consumer Staples,BIMBOA.MX,EQ,MXP495211262
Grupo Aeroportuario Pacifico,Industrials,GAPB.MX,EQ,MX01GA000004
Grupo Aeroportuario Sureste,Industrials,ASURB.MX,EQ,MXP001661018
El Puerto de Liverpool  S.A.B. de C.V.,Consumer Discretionary,LIVEPOL1.MX,EQ,MXP369181112
El Puerto de Liverpool,Consumer Discretionary,LIVEPOLC-1.MX,EQ,MXP369181377
Fibra Prologis,Real Estate,FIBRAPL14.MX,EQ,MXCFFI170008
Impulsora del Desarrollo y el Empleo en America Latina SAB Class B,Industrials,IDEALB-1.MX,EQ,MX01ID000009
Vista Energy  S.A.B. de C.V.,Energy,VISTAA.MX,EQ,MX01VI0C0006
Promotora y Operadora,Industrials,PINFRA.MX,EQ,MX01PI000005
Promotora y Operadora de Infraestructura  S. A. B. de C. V.,Industrials,PINFRAL.MX,EQ,MX01PI000013
Fibra Uno,Real Estate,FUNO11.MX,EQ,MXCFFU000001
Kimberly-Clark Mexico,Consumer Staples,KIMBERA.MX,EQ,MXP606941179
Kimberly-Clark de México  S. A. B. de C. V.,Consumer Staples,KIMBERB.MX,EQ,MXP606941096
Gruma,Consumer Staples,GRUMAB.MX,EQ,MXP4948K1056
Coca-Cola FEMSA,Consumer Staples,KOFUBL.MX,EQ,MX01KO000002
Simec,Materials,SIMECB.MX,EQ,MXP4984U1083
Sigma Foods  S.A.B. de C.V.,Consumer Staples,SIGMAFA.MX,EQ,MXP000511016
Grupo Comercial Chedraui,Consumer Staples,CHDRAUIB.MX,EQ,MX01CH170002
OMA Airports,Industrials,OMAB.MX,EQ,MX01OM000018
Industrias CH,Materials,ICHB.MX,EQ,MXP524131127
Corporación Moctezuma  S.A.B. de C.V.,Materials,CMOCTEZ.MX,EQ,MXP314311103
Qualitas Controladora,Financials,Q.MX,EQ,MX01Q0000008
