Company Name,Industry,Symbol,Series,ISIN Code
America Movil,CommServices,AMXB.MX,EQ,
Walmart de Mexico,Consumer Staples,WALMEX.MX,EQ,
Grupo Financiero Banorte,Financials,GFNORTEO.MX,EQ,
Fomento Economico (FEMSA),Consumer Staples,FEMSAUBD.MX,EQ,
Grupo Mexico,Materials,GMEXICOB.MX,EQ,
Grupo Bimbo,Consumer Staples,BIMBOA.MX,EQ,
Cemex,Materials,CEMEXCPO.MX,EQ,
Grupo Televisa,CommServices,TLEVISACPO.MX,EQ,
Grupo Elektra,Financials,ELEKTRA.MX,EQ,
Grupo Carso,Industrials,GCARSOA1.MX,EQ,
Kimberly-Clark Mexico,Consumer Staples,KIMBERA.MX,EQ,
Coca-Cola FEMSA,Consumer Staples,KOFUBL.MX,EQ,
Arca Continental,Consumer Staples,AC.MX,EQ,
Gruma,Consumer Staples,GRUMAB.MX,EQ,
El Puerto de Liverpool,ConsumerDisc,LIVEPOLC-1.MX,EQ,
Alsea,ConsumerDisc,ALSEA.MX,EQ,
Grupo Aeroportuario Pacifico,Industrials,GAPB.MX,EQ,
Grupo Aeroportuario Sureste,Industrials,ASURB.MX,EQ,
OMA Airports,Industrials,OMAB.MX,EQ,
Orbia Advance,Materials,ORBIA.MX,EQ,
Alfa,Industrials,ALFAA.MX,EQ,
Grupo Financiero Inbursa,Financials,GFINBURO.MX,EQ,
Regional,Financials,RA.MX,EQ,
Gentera,Financials,GENTERA.MX,EQ,
Banco del Bajio,Financials,BBAJIOO.MX,EQ,
Megacable,CommServices,MEGACPO.MX,EQ,
Industrias Penoles,Materials,PE&OLES.MX,EQ,
Grupo Cementos Chihuahua,Materials,GCC.MX,EQ,
Bachoco,Consumer Staples,BACHOCOB.MX,EQ,
Vesta,RealEstate,VESTA.MX,EQ,
Fibra Uno,RealEstate,FUNO11.MX,EQ,
Becle (Jose Cuervo),Consumer Staples,CUERVO.MX,EQ,
Genomma Lab,Healthcare,LABB.MX,EQ,
Qualitas Controladora,Financials,Q.MX,EQ,
Grupo Comercial Chedraui,Consumer Staples,CHDRAUIB.MX,EQ,
