Company Name,Industry,Symbol,Series,ISIN Code
El Puerto de Liverpool  S.A.B. de C.V.,Consumer Discretionary,LIVEPOL1.MX,EQ,MXP369181112
El Puerto de Liverpool,Consumer Discretionary,LIVEPOLC-1.MX,EQ,MXP369181377
Organización Soriana  S. A. B. de C. V.,Consumer Discretionary,SORIANAB.MX,EQ,MXP8728U1671
Alsea,Consumer Discretionary,ALSEA.MX,EQ,MXP001391012
Empresas Cablevision SA de CV Cert.Part.Ord. Repr. 2 Shs A & 1 Shs B,Consumer Discretionary,CABLECPO.MX,EQ,MX01CA110005
Grupo Gigante  S. A. B. de C. V.,Consumer Discretionary,GIGANTE.MX,EQ,MXP370791214
Corporacion Interamericana de Entretenimiento SA de CV Class B,Consumer Discretionary,CIEB.MX,EQ,MXP201161017
La Comer  S.A.B. de C.V.,Consumer Discretionary,LACOMERUBC.MX,EQ,MX01LA050010
Grupo Palacio de Hierro SAB de CV,Consumer Discretionary,GPH1.MX,EQ,MXP496851033
Grupo Posadas SAB de CV Class A,Consumer Discretionary,POSADASA.MX,EQ,MXP791641105
Farmacias Benavides SAB de CV Class B,Consumer Discretionary,BEVIDESB.MX,EQ,MXP3895X1106
Nemak  S. A. B. de C. V.,Consumer Discretionary,NEMAKA.MX,EQ,MX01NE000001
Ollamani  S.A.B.,Consumer Discretionary,AGUILASCPO.MX,EQ,MX01AG080022
Consorcio ARA  S. A. B. de C. V.,Consumer Discretionary,ARA.MX,EQ,MXP001161019
Grupo Industrial Saltillo  S.A.B. de C.V.,Consumer Discretionary,GISSAA.MX,EQ,MX01GI000030
Grupo Hotelero Santa Fe  S.A.B. de C.V.,Consumer Discretionary,HOTEL.MX,EQ,MX01HO090008
Promotora de Hoteles Norte 19  S.A.B. de C.V.,Consumer Discretionary,HCITY.MX,EQ,MX01HC000001
Grupo Sports World,Consumer Discretionary,SPORTS.MX,EQ,MX01SP020001
Grupe  S.A.B. de C.V.,Consumer Discretionary,CIDMEGA.MX,EQ,MX01CI030007
CMR  S.A.B. de C.V.,Consumer Discretionary,CMRB.MX,EQ,MX01CM020002
Convertidora Industrial  S.A.B. de C.V.,Consumer Discretionary,CONVERA.MX,EQ,MXP201231117
Grupo Vasconia  S.A.B.,Consumer Discretionary,VASCONI.MX,EQ,MX01VA110002
Diablos Rojos Del Mexico SAPIB DE CV Class O,Consumer Discretionary,DIABLOSO.MX,EQ,MX1SDI2B0012
