Company Name,Industry,Symbol,Series,ISIN Code
Grupo Financiero Banorte,Financials,GFNORTEO.MX,EQ,MXP370711014
Grupo Financiero Inbursa,Financials,GFINBURO.MX,EQ,MXP370641013
Qualitas Controladora,Financials,Q.MX,EQ,MX01Q0000008
Banco del Bajio,Financials,BBAJIOO.MX,EQ,MX41BB000000
Gentera,Financials,GENTERA.MX,EQ,MX01GE0E0004
Fibra Mty  S.A.P.I. de C.V.,Financials,FMTY14.MX,EQ,MXCFFM010000
Regional,Financials,RA.MX,EQ,MX01R0000006
Grupo Profuturo  S.A.B. de C.V.,Financials,GPROFUT.MX,EQ,MX01GP010006
Corporativo GBM  S.A.B. de C.V.,Financials,GBMO.MX,EQ,MX01GB0D0001
Grupo Nacional Provincial SA,Financials,GNP.MX,EQ,MXP4960P1070
Infraestructura Viable  S.A. de C.V.,Financials,FVIA16.MX,EQ,MXFFFV000007
Fideicomiso Irrevocable Numero Cib/2919 (Cfe Fibra E),Financials,FCFE18.MX,EQ,MXFEFC0C0003
Bolsa Mexicana de Valores  S.A.B. de C.V.,Financials,BOLSAA.MX,EQ,MX01BM1B0000
México Infrastructure Partners F1 S.A.P.I. de C.V.,Financials,FEXI21.MX,EQ,MXFFFE0K0006
RLH Properties SAB de CV Class A,Financials,RLHA.MX,EQ,MX01RL000016
INVEX Controladora  S.A.B. de C.V.,Financials,INVEXA.MX,EQ,MX01IN4J0002
Corporación Actinver  S. A. B. de C. V.,Financials,ACTINVRB.MX,EQ,MX01AC0Q0007
Value Grupo Financiero SA de CV Class O,Financials,VALUEGFO.MX,EQ,MXP800761019
Acosta Verde SAB de CV Class A,Financials,GAVA.MX,EQ,MX01GA060008
FIBRAeMX,Financials,FMX23.MX,EQ,MXFFFM040012
CIBanco SA Institucion de Banca Multiple,Financials,STORAGE18.MX,EQ,MXCFST270008
Grupo Financiero Multiva  S.A.B. de C.V.,Financials,GFMULTIO.MX,EQ,MXP6990U1056
Fideicomiso Irrevocable F/2061 FHipo,Financials,FHIPO14.MX,EQ,MXFHFH020001
Pena Verde SAB,Financials,PV.MX,EQ,MX01PV000008
Fibra Plus,Financials,FPLUS16.MX,EQ,MXCFFP050003
Financiera Independencia S.A.B. de C.V. SOFOM E.N.R.,Financials,FINDEP.MX,EQ,MX00FI050003
Casa de Bolsa Finamex SAB de CV Class O,Financials,FINAMEXO.MX,EQ,MX03FI2S0005
Grupo Mexicano de Desarrollo SAB,Financials,GMD.MX,EQ,MX01GM080002
Alterna Asesoría Internacional  S.A.B. de C.V.,Financials,ALTERNAB.MX,EQ,MX01AL2G0008
Procorp SAB de CV Class B,Financials,PROCORPB.MX,EQ,MXP791441043
Tenedora de Acciones CM  S.A.P.I.B. De C.V,Financials,GLOBCA.MX,EQ,MX1SGL050004
Nearshoring Experts & Technology  S.C.,Financials,NEXT25.MX,EQ,MXCFNE040015
Fibra SOMA,Financials,SOMA21.MX,EQ,MXCFSO0F0002
AgroFibra,Financials,AGRO22.MX,EQ,MXCFAG060016
