Company Name,Industry,Symbol,Series,ISIN Code
Grupo Mexico,Materials,GMEXICOB.MX,EQ,MXP370841019
Cemex,Materials,CEMEXCPO.MX,EQ,MXP225611567
Industrias Penoles SAB de CV,Materials,PE_OLES.MX,EQ,MXP554091415
Simec,Materials,SIMECB.MX,EQ,MXP4984U1083
Industrias CH,Materials,ICHB.MX,EQ,MXP524131127
Corporación Moctezuma  S.A.B. de C.V.,Materials,CMOCTEZ.MX,EQ,MXP314311103
Grupo Cementos Chihuahua,Materials,GCC.MX,EQ,MX01GC2M0006
Minera Frisco  S.A.B. de C.V.,Materials,MFRISCOA-1.MX,EQ,MX01MF010000
Orbia Advance,Materials,ORBIA.MX,EQ,MX01OR010004
ALPEK  S.A.B. de C.V.,Materials,ALPEKA.MX,EQ,MX01AL0C0004
Cydsa  S.A.B. de C.V.,Materials,CYDSASAA.MX,EQ,MXP339881098
Vitro  S.A.B. de C.V.,Materials,VITROA.MX,EQ,MXP9802B1093
Compañía Minera Autlán  S.A.B. de C.V.,Materials,AUTLANB.MX,EQ,MXP0598H1110
Grupo Pochteca  S.A.B. de C.V.,Materials,POCHTECB.MX,EQ,MX01PO020005
Proteak Uno  S.A.B. de C.V.,Materials,TEAKCPO.MX,EQ,MX01TE0A0001
Industrias Peñoles  S.A.B. de C.V.,Materials,PE&OLES.MX,EQ,
