Company Name,Industry,Symbol,Series,ISIN Code
Fibra Prologis,Real Estate,FIBRAPL14.MX,EQ,MXCFFI170008
Fibra Uno,Real Estate,FUNO11.MX,EQ,MXCFFU000001
Vesta,Real Estate,VESTA.MX,EQ,MX01VE0M0003
Fibra Danhos,Real Estate,DANHOS13.MX,EQ,MXCFDA020005
Fibra Macquarie,Real Estate,FIBRAMQ12.MX,EQ,MXCFFI0U0002
Fibra Nova,Real Estate,FNOVA17.MX,EQ,MXCFFN040006
DINE  S.A.B. de C.V.,Real Estate,DINEB.MX,EQ,MX01DI1J0014
DINE  S.A.B. de C.V.,Real Estate,DINEA.MX,EQ,MX01DI1J0006
Vinte Viviendas Integrales  S.A.B. de C.V.,Real Estate,VINTE.MX,EQ,MX01VI050002
Fibra Shop,Real Estate,FSHOP13.MX,EQ,MXCFFS000005
FibraHotel,Real Estate,FIHO12.MX,EQ,MXCFFI0T0005
Grupo GICSA,Real Estate,GICSAB.MX,EQ,MX01GI020004
Fideicomiso Irrevocable db/1616,Real Estate,FINN13.MX,EQ,MXCFFI0V0001
Corpovael  S.A.B. de C.V.,Real Estate,CADUA.MX,EQ,MX01CA130029
Fideicomiso Irrevocable No. F/1523,Real Estate,FIBRAHD15.MX,EQ,MXCFFI1H0008
Fideicomiso Irrevocable No. F/3277 en Banco Invex  S. A. Institución de Banca Múltiple  INVEX Grupo,Real Estate,EDUCA18.MX,EQ,MXCFED090004
