Company Name,Industry,Symbol,Series,ISIN Code
3REN Berhad,Industrials,0328.KL,EQ,
5E Resources Holdings Berhad,Industrials,0397.KL,EQ,
7-Eleven Malaysia Holdings Berhad,Consumer Staples,5250.KL,EQ,
99 Speed Mart Retail Holdings Berhad,Consumer Discretionary,5326.KL,EQ,
A-Rank Berhad,Materials,7214.KL,EQ,
A1 A.K. Koh Group Berhad,Consumer Staples,0365.KL,EQ,
ABM Fujiya Berhad,Consumer Discretionary,5198.KL,EQ,
ACME Holdings Berhad,Consumer Discretionary,7131.KL,EQ,
ACO Group Berhad,Technology,0218.KL,EQ,
AE Multi Holdings Berhad,Technology,7146.KL,EQ,
AEON Credit Service (M) Berhad,Financials,5139.KL,EQ,
AFFIN Bank Berhad,Financials,5185.KL,EQ,
AGX Group Berhad,Industrials,0299.KL,EQ,
AHB Holdings Berhad,Industrials,7315.KL,EQ,
AIZO Group Berhad,Materials,7219PA.KL,EQ,
AIZO Group Berhad,Industrials,7219.KL,EQ,MYL7219OO008
ALPHA,Health Care,0303.KL,EQ,
AMBEST,Industrials,0391.KL,EQ,
AME Elite Consortium Berhad,Industrials,5293.KL,EQ,
AME Real Estate Investment Trust,Real Estate,5307.KL,EQ,
AMMB Holdings Berhad,Financials,1015.KL,EQ,
AMS Advanced Material Berhad,Industrials,0399.KL,EQ,
APB Resources Berhad,Industrials,5568.KL,EQ,
APM Automotive Holdings Berhad,Consumer Discretionary,5015.KL,EQ,
ARB Berhad,Technology,7181.KL,EQ,
ARK Resources Holdings Berhad,Industrials,7007.KL,EQ,
ASM Automation Group Berhad,Industrials,0362.KL,EQ,
ASTEEL Group Berhad,Materials,7020.KL,EQ,
AWC Berhad,Industrials,7579.KL,EQ,
AYER Holdings Berhad,Real Estate,2305.KL,EQ,
AYS Ventures Berhad,Materials,5021.KL,EQ,
Able Global Berhad,Consumer Staples,7167.KL,EQ,
AbleGroup Berhad,Industrials,7086.KL,EQ,
Adnex Group Berhad,Industrials,0396.KL,EQ,
Advance Information Marketing Berhad,Industrials,0122.KL,EQ,
Advance Synergy Berhad,Consumer Discretionary,1481.KL,EQ,
Advancecon Holdings Berhad,Industrials,5281.KL,EQ,
Adventa Berhad,Health Care,7191.KL,EQ,
Aemulus Holdings Berhad,Technology,0181.KL,EQ,
Aeon Co. (M) Bhd.,Consumer Discretionary,6599.KL,EQ,
Agmo Holdings Berhad,Technology,0258.KL,EQ,
Agricore CS Holdings Berhad,Consumer Staples,0309.KL,EQ,
Ahmad Zaki Resources Berhad,Industrials,7078.KL,EQ,
Aimflex Berhad,Industrials,0209.KL,EQ,
AirAsia X Berhad,Industrials,5238.KL,EQ,
Ajinomoto (Malaysia) Berhad,Consumer Staples,2658.KL,EQ,
Ajiya Berhad,Industrials,7609.KL,EQ,
Al-'Aqar Healthcare REIT,Real Estate,5116.KL,EQ,
Al-Salam Real Estate Investment Trust,Real Estate,5269.KL,EQ,
Alam Maritim Resources Berhad,Energy,5115.KL,EQ,
Alcom Group Berhad,Materials,2674.KL,EQ,
Aldrich Resources Berhad,Technology,0079.KL,EQ,
Alliance Bank Malaysia Berhad,Financials,2488.KL,EQ,
Allianz Malaysia Berhad,Financials,1163PA.KL,EQ,
Allianz Malaysia Bhd.,Financials,1163.KL,EQ,MYL1163OO004
AmFirst Real Estate Investment Trust,Real Estate,5120.KL,EQ,
AmanahRaya Real Estate Investment Trust,Real Estate,5127.KL,EQ,
Amlex Holdings Berhad,Technology,03011.KL,EQ,
Amtel Holdings Berhad,Technology,7031.KL,EQ,
Amway (Malaysia) Holdings Berhad,Consumer Discretionary,6351.KL,EQ,
Analabs Resources Berhad,Materials,7083.KL,EQ,
Ancom Logistics Berhad,Industrials,0048.KL,EQ,
Ancom Nylex Berhad,Materials,4758.KL,EQ,
Aneka Jaringan Holdings Berhad,Industrials,0226.KL,EQ,
Ann Joo Resources Berhad,Materials,6556.KL,EQ,
Apex Equity Holdings Berhad,Financials,5088.KL,EQ,
Apollo Food Holdings Berhad,Consumer Staples,6432.KL,EQ,
AppAsia Berhad,Technology,0119.KL,EQ,
Aquawalk Group Berhad,Consumer Discretionary,0380.KL,EQ,
Arka Berhad,Industrials,7218.KL,EQ,
Artroniq Berhad,Technology,0038.KL,EQ,
Asdion Berhad,Industrials,0068.KL,EQ,
Asia Brands Bhd.,Industrials,7722.KL,EQ,MYL7722OO001
Asia File Corporation Bhd.,Industrials,7129.KL,EQ,
Asia Poly Holdings Berhad,Materials,0105.KL,EQ,
Asian Pac Holdings Berhad,Real Estate,4057.KL,EQ,
Astino Berhad,Materials,7162.KL,EQ,
Astral Asia Berhad,Consumer Staples,7054.KL,EQ,
Astro Malaysia Holdings Berhad,Communication Services,6399.KL,EQ,
Atlan Holdings Bhd.,Industrials,7048.KL,EQ,MYL7048OO001
Atrium Real Estate Investment Trust,Real Estate,5130.KL,EQ,
AuMas Resources Berhad,Materials,0098.KL,EQ,
Aurelius Technologies Berhad,Technology,5302.KL,EQ,
Auro Holdings Berhad,Materials,5025.KL,EQ,
Autocount Dotcom Berhad,Technology,0276.KL,EQ,
Avaland Berhad,Real Estate,5182.KL,EQ,
Avangaad Berhad,Industrials,5259.KL,EQ,
Avillion Berhad,Consumer Discretionary,8885.KL,EQ,
AwanBiru Technology Berhad,Consumer Staples,5204.KL,EQ,
Axiata Group Berhad,Communication Services,6888.KL,EQ,
Axis Real Estate Investment Trust,Real Estate,5106.KL,EQ,
Axteria Group Berhad,Real Estate,7120.KL,EQ,
Azam Jaya Berhad,Industrials,5329.KL,EQ,
B.I.G. Industries Berhad,Materials,7005.KL,EQ,
BCB Berhad,Real Estate,6602.KL,EQ,
BCM Alliance Berhad,Health Care,0187.KL,EQ,
BEDI Berhad,Materials,6378.KL,EQ,
BIMOffice Group Berhad,Technology,03069.KL,EQ,
BLD Plantation Bhd.,Consumer Staples,5069.KL,EQ,
BM GreenTech Berhad,Industrials,0168.KL,EQ,
BMS,Materials,0385.KL,EQ,
BP Plastics Holding Bhd.,Consumer Discretionary,5100.KL,EQ,
BSL Corporation Berhad,Industrials,7221.KL,EQ,
BTM Resources Berhad,Materials,7188.KL,EQ,
BWYS Group Berhad,Materials,0313.KL,EQ,
Bank Islam Malaysia Berhad,Financials,5258.KL,EQ,
Batu Kawan Berhad,Industrials,1899.KL,EQ,
Benalec Holdings Berhad,Industrials,5190.KL,EQ,
Berjaya Assets Berhad,Industrials,3239.KL,EQ,
Berjaya Corporation Berhad,Industrials,3395.KL,EQ,
Berjaya Food Berhad,Consumer Discretionary,5196.KL,EQ,
Berjaya Property Bhd,Industrials,4219.KL,EQ,
Bermaz Auto Berhad,Consumer Discretionary,5248.KL,EQ,
Bertam Alliance Berhad,Real Estate,9814.KL,EQ,
Beshom Holdings Berhad,Health Care,7668.KL,EQ,
Betamek Berhad,Consumer Discretionary,0263.KL,EQ,
Bina Darulaman Berhad,Industrials,6173.KL,EQ,
Bina Puri Holdings Bhd,Industrials,5932.KL,EQ,
Binasat Communications Berhad,Communication Services,0195.KL,EQ,
Binastra Corporation Berhad,Real Estate,7195.KL,EQ,
Bintai Kinden Corporation Berhad,Industrials,6998.KL,EQ,
Bintulu Port Holdings Berhad,Industrials,5032.KL,EQ,
Bioalpha Holdings Berhad,Consumer Staples,0179.KL,EQ,
Bonia Corporation Berhad,Consumer Discretionary,9288.KL,EQ,
Borneo Oil Berhad,Industrials,7036.KL,EQ,
Boustead Heavy Industries Corporation Berhad,Industrials,8133.KL,EQ,
Box-Pak (Malaysia) Bhd.,Consumer Discretionary,6297.KL,EQ,
Bright Packaging Industry Berhad,Consumer Discretionary,9938.KL,EQ,
Brite-Tech Berhad,Industrials,0011.KL,EQ,
British American Tobacco (Malaysia) Berhad,Consumer Staples,4162.KL,EQ,
Bumi Armada Berhad,Energy,5210.KL,EQ,
Bursa Malaysia Berhad,Financials,1818.KL,EQ,
Bus Cap Berhad,Consumer Discretionary,0455.KL,EQ,
C.I. Holdings Berhad,Consumer Staples,2828.KL,EQ,
CAB Cakaran Corporation Berhad,Consumer Staples,7174.KL,EQ,
CAM Resources Berhad,Consumer Staples,7128.KL,EQ,
CB Industrial Product Holding Berhad,Industrials,7076.KL,EQ,
CBH Engineering Holding Berhad,Industrials,0339.KL,EQ,
CCK Consolidated Holdings Berhad,Consumer Staples,7035.KL,EQ,
CEKD Berhad,Industrials,0238.KL,EQ,
CIMB Group Holdings Berhad,Financials,1023.KL,EQ,
CJ Century Logistics Holdings Berhad,Industrials,7117.KL,EQ,
CME Group Berhad,Consumer Discretionary,7018.KL,EQ,
CN Asia Corporation Bhd,Industrials,7986.KL,EQ,
CPE Technology Berhad,Technology,5317.KL,EQ,
CSC Steel Holdings Berhad,Materials,5094.KL,EQ,
CTOS Digital Berhad,Financials,5301.KL,EQ,
CUCKOO International (MAL) Berhad,Consumer Discretionary,5336.KL,EQ,
CWG Holdings Berhad,Materials,9423.KL,EQ,
CYL Corporation Berhad,Consumer Discretionary,7157.KL,EQ,
Cabnet Holdings Berhad,Industrials,0191.KL,EQ,
Cahya Mata Sarawak Berhad,Materials,2852.KL,EQ,
Camaroe Berhad,Consumer Staples,0371.KL,EQ,
Can-One Berhad,Consumer Staples,5105.KL,EQ,
Cape EMS Berhad,Technology,5311.KL,EQ,
CapitaLand Malaysia Trust,Real Estate,5180.KL,EQ,
Capital A Berhad,Industrials,5099.KL,EQ,
Careplus Group Berhad,Health Care,0163.KL,EQ,
Carimin Petroleum Berhad,Energy,5257.KL,EQ,
Carlo Rino Group Bhd,Consumer Discretionary,0335.KL,EQ,
Carlsberg Brewery Malaysia Berhad,Consumer Staples,2836.KL,EQ,
Catcha Digital Berhad,Communication Services,0173.KL,EQ,
Celcomdigi Berhad,Communication Services,6947.KL,EQ,
Cengild Medical Berhad,Health Care,0243.KL,EQ,
Censof Holdings Berhad,Technology,5195.KL,EQ,
Central Global Berhad,Materials,8052.KL,EQ,
Cepatwawasan Group Berhad,Consumer Staples,8982.KL,EQ,
Cheeding Holdings Berhad,Industrials,0372.KL,EQ,
Cheetah Holdings Berhad,Consumer Discretionary,7209.KL,EQ,
Chemlite Innovation Berhad,Industrials,0348.KL,EQ,
Chin Hin Group Berhad,Materials,5273.KL,EQ,
Chin Hin Group Property Berhad,Consumer Discretionary,7187.KL,EQ,
Chin Teck Plantations Berhad,Consumer Staples,1929.KL,EQ,
Chin Well Holdings Berhad,Industrials,5007.KL,EQ,
China Ouhua Winery Holdings Limited,Consumer Staples,5188.KL,EQ,
Choo Bee Metal Industries Berhad,Materials,5797.KL,EQ,
Chuan Huat Resources Berhad,Industrials,7016.KL,EQ,
Citaglobal Berhad,Industrials,7245.KL,EQ,
Citra Nusa Holdings Berhad,Industrials,5104.KL,EQ,
Cloudpoint Technology Berhad,Technology,0277.KL,EQ,
Cnergenz Berhad,Industrials,0246.KL,EQ,
Coastal Contracts Bhd,Energy,5071.KL,EQ,
Colform Group Berhad,Materials,0341.KL,EQ,
Comfort Gloves Berhad,Materials,2127.KL,EQ,
Compugates Holdings Berhad,Technology,5037.KL,EQ,
Computer Forms (Malaysia) Berhad,Industrials,8044.KL,EQ,
Concrete Engineering Products Berhad,Materials,8435.KL,EQ,
Coraza Integrated Technology Berhad,Industrials,0240.KL,EQ,
Cosmos Technology International Berhad,Industrials,0261.KL,EQ,
Country Heights Holdings Berhad,Consumer Discretionary,5738.KL,EQ,
Country View Berhad,Real Estate,5049.KL,EQ,
Crescendo Corporation Berhad,Real Estate,6718.KL,EQ,
Crest Builder Holdings Berhad,Industrials,8591.KL,EQ,
Crest Group Berhad,Technology,0323.KL,EQ,
Critical Holdings Berhad,Industrials,0291.KL,EQ,
Cropmate Berhad,Materials,0331.KL,EQ,
Cuscapi Berhad,Technology,0051.KL,EQ,
Cyberjaya Education Group Berhad,Consumer Staples,5166.KL,EQ,
Cypark Resources Berhad,Utilities,5184.KL,EQ,
D & O Green Technologies Berhad,Technology,7204.KL,EQ,
D'nonce Technology Bhd.,Consumer Discretionary,7114.KL,EQ,
DC Healthcare Holdings Berhad,Health Care,0283.KL,EQ,
DFCITY Group Bhd.,Materials,5165.KL,EQ,MYL5165OO005
DGB Asia Berhad,Technology,0152.KL,EQ,
DKLS Industries Bhd.,Materials,7528.KL,EQ,MYL7528OO002
DKSH Holdings (Malaysia) Berhad,Industrials,5908.KL,EQ,
DPI Holdings Berhad,Materials,0205.KL,EQ,
DPS Resources Berhad,Industrials,7198.KL,EQ,
DRB-HICOM Berhad,Consumer Discretionary,1619.KL,EQ,
DS Sigma Holdings Berhad,Consumer Discretionary,0269.KL,EQ,
DXN Holdings Bhd.,Consumer Staples,5318.KL,EQ,
Dagang NeXchange Berhad,Technology,4456.KL,EQ,
Dancomech Holdings Berhad,Industrials,5276.KL,EQ,
Dataprep Holdings Bhd,Technology,8338.KL,EQ,
Dayang Enterprise Holdings Bhd,Energy,5141.KL,EQ,
Daythree Digital Berhad,Technology,0281.KL,EQ,
Deleum Berhad,Energy,5132.KL,EQ,
Destini Berhad,Industrials,7212.KL,EQ,
Dialog Group Berhad,Energy,7277.KL,EQ,
Digistar Corporation Berhad,Industrials,0029.KL,EQ,
Divfex Berhad,Technology,0131.KL,EQ,
Dominant Enterprise Berhad,Materials,7169.KL,EQ,
Dufu Technology Corp. Berhad,Industrials,7233.KL,EQ,
Duopharma Biotech Berhad,Health Care,7148.KL,EQ,
DutaLand Berhad,Consumer Staples,3948.KL,EQ,
Dutch Lady Milk Industries Berhad,Consumer Staples,3026.KL,EQ,
EA Holdings Berhad,Industrials,0154.KL,EQ,
EC Excel Holdings Berhad,Materials,5192.KL,EQ,
ECA Integrated Solution Berhad,Industrials,0267.KL,EQ,
ECM Libra Group Bhd.,Consumer Discretionary,2143.KL,EQ,MYL2143OO005
EG Industries Berhad,Technology,8907.KL,EQ,
EI Power Berhad,Industrials,0453.KL,EQ,
EITA Resources Berhad,Industrials,5208.KL,EQ,
ELK-Desa Resources Berhad,Financials,5228.KL,EQ,
EMPIRE,Consumer Discretionary,5351.KL,EQ,
ENRA Group Berhad,Industrials,8613.KL,EQ,
EP Manufacturing Bhd,Consumer Discretionary,7773.KL,EQ,
EPB Group Berhad,Industrials,0317.KL,EQ,
ES Ceramics Technology Berhad,Materials,0100.KL,EQ,
ES Sunlogy Berhad,Industrials,0345.KL,EQ,
ETA Group Berhad,Consumer Staples,9946.KL,EQ,
EVD Bhd,Technology,0174.KL,EQ,MYQ0174OO001
EWI Capital Berhad,Real Estate,5283.KL,EQ,
Eastern & Oriental Berhad,Real Estate,3417.KL,EQ,
Eco World Development Group Berhad,Real Estate,8206.KL,EQ,
Eco-Shop Marketing Berhad,Consumer Discretionary,5337.KL,EQ,
EcoFirst Consolidated Bhd,Real Estate,3557.KL,EQ,
Ecobuilt Holdings Berhad,Industrials,0059.KL,EQ,
Ecomate Holdings Berhad,Consumer Discretionary,0239.KL,EQ,
