Company Name,Industry,Symbol,Series,ISIN Code
Malayan Banking,Financials,1155.KL,EQ,
Public Bank,Financials,1295.KL,EQ,
CIMB Group,Financials,1023.KL,EQ,
Tenaga Nasional,Utilities,5347.KL,EQ,
Petronas Chemicals,Materials,5183.KL,EQ,
IHH Healthcare,Healthcare,5225.KL,EQ,
Hong Leong Bank,Financials,5819.KL,EQ,
RHB Bank,Financials,1066.KL,EQ,
Hong Leong Financial,Financials,1082.KL,EQ,
Petronas Gas,Utilities,6033.KL,EQ,
Petronas Dagangan,Energy,5681.KL,EQ,
Maxis,CommServices,6012.KL,EQ,
CelcomDigi,CommServices,6947.KL,EQ,
Telekom Malaysia,CommServices,4863.KL,EQ,
Axiata Group,CommServices,6888.KL,EQ,
MISC,Industrials,3816.KL,EQ,
Sime Darby,Industrials,4197.KL,EQ,
Sime Darby Plantation,Consumer Staples,5285.KL,EQ,
IOI Corporation,Consumer Staples,1961.KL,EQ,
Kuala Lumpur Kepong,Consumer Staples,2445.KL,EQ,
PPB Group,Consumer Staples,4065.KL,EQ,
Nestle Malaysia,Consumer Staples,4707.KL,EQ,
Press Metal Aluminium,Materials,8869.KL,EQ,
Genting,ConsumerDisc,3182.KL,EQ,
Genting Malaysia,ConsumerDisc,4715.KL,EQ,
MR DIY Group,ConsumerDisc,5296.KL,EQ,
QL Resources,Consumer Staples,7084.KL,EQ,
Gamuda,Industrials,5398.KL,EQ,
IJM Corporation,Industrials,3336.KL,EQ,
YTL Corporation,Utilities,4677.KL,EQ,
YTL Power,Utilities,6742.KL,EQ,
Westports Holdings,Industrials,5246.KL,EQ,
Inari Amertron,Technology,0166.KL,EQ,
Hartalega Holdings,Healthcare,5168.KL,EQ,
Top Glove,Healthcare,7113.KL,EQ,
