Company Name,Industry,Symbol,Series,ISIN Code
Astro Malaysia Holdings Berhad,Communication Services,6399.KL,EQ,
Axiata Group Berhad,Communication Services,6888.KL,EQ,
Binasat Communications Berhad,Communication Services,0195.KL,EQ,
Catcha Digital Berhad,Communication Services,0173.KL,EQ,
Celcomdigi Berhad,Communication Services,6947.KL,EQ,
Foodie Media Berhad,Communication Services,0382.KL,EQ,
Green Packet Berhad,Communication Services,0082.KL,EQ,
Kucingko Berhad,Communication Services,0315.KL,EQ,
M N C Wireless Berhad,Communication Services,0103.KL,EQ,
Maxis Berhad,Communication Services,6012.KL,EQ,
Media Chinese International Limited,Communication Services,5090.KL,EQ,
Media Prima Berhad,Communication Services,4502.KL,EQ,
Nova Technology Services Berhad,Communication Services,0017.KL,EQ,
OCK Group Berhad,Communication Services,0172.KL,EQ,
PUC Berhad,Communication Services,0007.KL,EQ,
REDtone Digital Berhad,Communication Services,0032.KL,EQ,
Reach Ten Holdings Berhad,Communication Services,5332.KL,EQ,
SBS Nexus Berhad,Communication Services,0386.KL,EQ,
Sasbadi Holdings Berhad,Communication Services,5252.KL,EQ,
Seni Jaya Corporation Berhad,Communication Services,9431.KL,EQ,
Star Media Group Berhad,Communication Services,6084.KL,EQ,
TIME dotCom Berhad,Communication Services,5031.KL,EQ,
Telekom Malaysia Berhad,Communication Services,4863.KL,EQ,
XOX Berhad,Communication Services,0165.KL,EQ,
mTouche Technology Berhad,Communication Services,0092.KL,EQ,
