Company Name,Industry,Symbol,Series,ISIN Code
99 Speed Mart Retail Holdings Bhd,Consumer Discretionary,99SMART.KL,EQ,MYL5326OO003
Genting Malaysia Bhd.,Consumer Discretionary,GENM.KL,EQ,MYL4715OO008
Genting Bhd.,Consumer Discretionary,GENTING.KL,EQ,MYL3182OO002
Eco-Shop Marketing Berhad,Consumer Discretionary,ECOSHOP.KL,EQ,MYL5337OO000
Hong Leong Industries Bhd.,Consumer Discretionary,HLIND.KL,EQ,MYL3301OO008
Oriental Holdings Bhd.,Consumer Discretionary,ORIENT.KL,EQ,MYL4006OO002
7-Eleven Malaysia Holdings Bhd,Consumer Discretionary,SEM.KL,EQ,MYL5250OO005
DRB-Hicom Bhd.,Consumer Discretionary,DRBHCOM.KL,EQ,MYL1619OO005
MBM Resources Bhd.,Consumer Discretionary,MBMR.KL,EQ,MYL5983OO001
Magnum Berhad,Consumer Discretionary,MAGNUM.KL,EQ,MYL3859OO005
Sports Toto Berhad,Consumer Discretionary,SPTOTO.KL,EQ,MYL1562OO007
Oriental Kopi Holdings Bhd.,Consumer Discretionary,KOPI.KL,EQ,MYQ0338OO002
EG Industries Bhd.,Consumer Discretionary,EG.KL,EQ,MYL8907OO007
Berjaya Corp. Bhd.,Consumer Discretionary,BJCORP.KL,EQ,MYL3395OO000
AEON Co. (Malaysia) Bhd.,Consumer Discretionary,AEON.KL,EQ,MYL6599OO004
Chin Hin Group Property Bhd.,Consumer Discretionary,CHGP.KL,EQ,MYL7187OO007
Padini Holdings Bhd.,Consumer Discretionary,PADINI.KL,EQ,MYL7052OO003
Berjaya Property Berhad,Consumer Discretionary,BPROP.KL,EQ,MYL4219OO001
Bermaz Auto Berhad,Consumer Discretionary,BAUTO.KL,EQ,MYL5248OO009
AME Elite Consortium Berhad,Consumer Discretionary,AME.KL,EQ,MYL5293OO005
Mulpha International Bhd.,Consumer Discretionary,MULPHA.KL,EQ,MYL3905OO006
Sern Kou Resources Bhd.,Consumer Discretionary,SERNKOU.KL,EQ,MYL7180OO002
Exsim Hospitality Bhd,Consumer Discretionary,EXSIMHB.KL,EQ,MYL1287OO001
Central Global Bhd,Consumer Discretionary,CGB.KL,EQ,MYL8052OO002
Amway (Malaysia) Holdings Bhd.,Consumer Discretionary,AMWAY.KL,EQ,MYL6351OO000
Shangri-La Hotels Malaysia Bhd.,Consumer Discretionary,SHANG.KL,EQ,MYL5517OO007
Berjaya Assets Bhd.,Consumer Discretionary,BJASSET.KL,EQ,MYL3239OO000
CCK Consolidated Holdings Bhd.,Consumer Discretionary,CCK.KL,EQ,MYL7035OO008
Well Chip Group Bhd.,Consumer Discretionary,WELLCHIP.KL,EQ,MYL5325OO005
Ecomate Holdings Bhd.,Consumer Discretionary,ECOMATE.KL,EQ,MYQ0239OO002
GDB Holdings Bhd.,Consumer Discretionary,GDB.KL,EQ,MYQ0198OO000
Fiamma Holdings Bhd.,Consumer Discretionary,FIAMMA.KL,EQ,MYL6939OO002
Cuckoo International (Mal) Bhd,Consumer Discretionary,CKI.KL,EQ,MYL5336OO002
Poh Kong Holdings Bhd.,Consumer Discretionary,POHKONG.KL,EQ,MYL5080OO006
Berjaya Food Bhd.,Consumer Discretionary,BJFOOD.KL,EQ,MYL5196OO000
Panasonic Manufacturing Malaysia Bhd.,Consumer Discretionary,PANAMY.KL,EQ,MYL3719OO001
Harn Len Corporation Bhd.,Consumer Discretionary,HARNLEN.KL,EQ,MYL7501OO009
Meta Bright Group Bhd,Consumer Discretionary,MBRIGHT.KL,EQ,MYL2097OO003
Evergreen Max Cash Capital Bhd,Consumer Discretionary,EMCC.KL,EQ,MYQ0286OO003
RGB International Bhd.,Consumer Discretionary,RGB.KL,EQ,MYQ0037OO000
Kumpulan Kitacon Berhad,Consumer Discretionary,KITACON.KL,EQ,MYL5310OO007
Media Prima Bhd.,Consumer Discretionary,MEDIA.KL,EQ,MYL4502OO000
Focus Point Holdings Bhd.,Consumer Discretionary,FOCUSP.KL,EQ,MYQ0157OO006
Tan Chong Motor Holdings Bhd.,Consumer Discretionary,TCHONG.KL,EQ,MYL4405OO006
SSF Home Group Bhd,Consumer Discretionary,SSF.KL,EQ,MYQ0287OO001
Astro Malaysia Holdings Bhd.,Consumer Discretionary,ASTRO.KL,EQ,MYL6399OO009
Nestcon Bhd,Consumer Discretionary,NESTCON.KL,EQ,MYQ0235OO000
Gagasan Nadi Cergas Bhd.,Consumer Discretionary,NADIBHD.KL,EQ,MYQ0206OO001
MGB Bhd,Consumer Discretionary,MGB.KL,EQ,MYL7595OO001
Senheng New Retail Berhad,Consumer Discretionary,SENHENG.KL,EQ,MYL5305OO007
Tomei Consolidated Bhd.,Consumer Discretionary,TOMEI.KL,EQ,MYL7230OO005
Inta Bina Group Bhd.,Consumer Discretionary,INTA.KL,EQ,MYQ0192OO003
Cyberjaya Education Group Bhd,Consumer Discretionary,CYBERE.KL,EQ,MYL5166OO003
Yoong Onn Corp. Bhd.,Consumer Discretionary,YOCB.KL,EQ,MYL5159OO008
TAFI Industries Bhd.,Consumer Discretionary,TAFI.KL,EQ,MYL7211OO005
Enproserve Group Bhd.,Consumer Discretionary,ENPRO.KL,EQ,MYQ0367OO001
Hextar Retail Bhd,Consumer Discretionary,HEXRTL.KL,EQ,MYL7202OO004
Star Media Group Berhad,Consumer Discretionary,STAR.KL,EQ,MYL6084OO007
Rhong Khen International Bhd,Consumer Discretionary,RKI.KL,EQ,MYL7006OO009
Advance Synergy Bhd.,Consumer Discretionary,ASB.KL,EQ,MYL1481OO000
Parkson Holdings Bhd.,Consumer Discretionary,PARKSON.KL,EQ,MYL5657OO001
BesHom Holdings Bhd,Consumer Discretionary,BESHOM.KL,EQ,MYL7668OO006
Bonia Corp. Bhd.,Consumer Discretionary,BONIA.KL,EQ,MYL9288OO001
Homeritz Corp. Bhd.,Consumer Discretionary,HOMERIZ.KL,EQ,MYL5160OO006
Lii Hen Industries Bhd.,Consumer Discretionary,LIIHEN.KL,EQ,MYL7089OO005
