Company Name,Industry,Symbol,Series,ISIN Code
Nestle (Malaysia) Bhd.,Consumer Staples,NESTLE.KL,EQ,MYL4707OO005
QL Resources Bhd.,Consumer Staples,QL.KL,EQ,MYL7084OO006
Fraser & Neave Holdings Bhd.,Consumer Staples,F&N.KL,EQ,MYL3689OO006
Heineken Malaysia Bhd.,Consumer Staples,HEIM.KL,EQ,MYL3255OO006
Carlsberg Brewery Malaysia Bhd.,Consumer Staples,CARLSBG.KL,EQ,MYL2836OO004
Farm Fresh Bhd.,Consumer Staples,FFB.KL,EQ,MYL5306OO005
Guan Chong Bhd.,Consumer Staples,GCB.KL,EQ,MYL5102OO008
Dutch Lady Milk Industries Bhd.,Consumer Staples,DLADY.KL,EQ,MYL3026OO001
Spritzer Bhd.,Consumer Staples,SPRITZER.KL,EQ,MYL7103OO004
British American Tobacco Malaysia Bhd.,Consumer Staples,BAT.KL,EQ,MYL4162OO003
Ajinomoto (Malaysia) Bhd.,Consumer Staples,AJI.KL,EQ,MYL2658OO002
Magni-Tech Industries Bhd.,Consumer Staples,MAGNI.KL,EQ,MYL7087OO009
Hup Seng Industries Bhd.,Consumer Staples,HUPSENG.KL,EQ,MYL5024OO004
Life Water Bhd.,Consumer Staples,LWSABAH.KL,EQ,MYL5328OO009
Apollo Food Holdings Bhd.,Consumer Staples,APOLLO.KL,EQ,MYL6432OO008
Power Root Bhd.,Consumer Staples,PWROOT.KL,EQ,MYL7237OO000
FCW Holdings Bhd.,Consumer Staples,FCW.KL,EQ,MYL2755OO006
Three-A Resources Bhd.,Consumer Staples,3A.KL,EQ,MYQ0012OO003
Kawan Food Bhd.,Consumer Staples,KAWAN.KL,EQ,MYL7216OO004
Oriental Food Industries Holdings Bhd.,Consumer Staples,OFI.KL,EQ,MYL7107OO005
NTPM Holdings Bhd.,Consumer Staples,NTPM.KL,EQ,MYL5066OO005
SDS Group Bhd.,Consumer Staples,SDS.KL,EQ,MYQ0212OO009
PT Resources Holdings Bhd.,Consumer Staples,PTRB.KL,EQ,MYQ0260OO008
Khee San Bhd.,Consumer Staples,KHEESAN.KL,EQ,MYL6203OO003
Astramina Group Bhd.,Consumer Staples,ASTRA.KL,EQ,MYL03032O009
SBH Marine Holdings Bhd.,Consumer Staples,SBH.KL,EQ,MYQ0300OO002
TPC Plus Bhd.,Consumer Staples,TPC.KL,EQ,MYL7176OO000
ETA Group Berhad,Consumer Staples,ETA.KL,EQ,MYL9946OO004
Teo Guan Lee Corp. Bhd.,Consumer Staples,TGL.KL,EQ,MYL9369OO009
Orgabio Holdings Bhd.,Consumer Staples,ORGABIO.KL,EQ,MYQ0252OO005
PCCS Group Bhd.,Consumer Staples,PCCS.KL,EQ,MYL6068OO000
Paos Holdings Bhd.,Consumer Staples,PAOS.KL,EQ,MYL5022OO008
Cheetah Holdings Bhd.,Consumer Staples,CHEETAH.KL,EQ,MYL7209OO009
Pan Malaysia Corp. Bhd.,Consumer Staples,PMCORP.KL,EQ,MYL4081OO005
NexG Bina Berhad,Consumer Staples,NEXGBINA.KL,EQ,MYL7154OO007
Citra Nusa Holdings Bhd,Consumer Staples,CNH.KL,EQ,MYL5104OO004
Hwa Tai Industries Bhd.,Consumer Staples,HWATAI.KL,EQ,MYL8478OO009
Ocean Fresh Bhd.,Consumer Staples,OFB.KL,EQ,MYQ0312OO007
HLT Global Bhd.,Consumer Staples,HLT.KL,EQ,MYQ0188OO001
Eng Kah Corp. Bhd.,Consumer Staples,ENGKAH.KL,EQ,MYL7149OO007
Techbase Industries Berhad,Consumer Staples,TECHBASE.KL,EQ,MYL8966OO003
Saudigold Group Bhd,Consumer Staples,SG.KL,EQ,MYL5157OO002
MyAxis Group Bhd.,Consumer Staples,MYAXIS.KL,EQ,MYL03064O002
SD Guthrie Berhad,Consumer Staples,5285.KL,EQ,
IOI Corporation Berhad,Consumer Staples,1961.KL,EQ,
Nestlé (Malaysia) Berhad,Consumer Staples,4707.KL,EQ,
