Company Name,Industry,Symbol,Series,ISIN Code
Alam Maritim Resources Berhad,Energy,5115.KL,EQ,
Bumi Armada Berhad,Energy,5210.KL,EQ,
Carimin Petroleum Berhad,Energy,5257.KL,EQ,
Coastal Contracts Bhd,Energy,5071.KL,EQ,
Dayang Enterprise Holdings Bhd,Energy,5141.KL,EQ,
Deleum Berhad,Energy,5132.KL,EQ,
Dialog Group Berhad,Energy,7277.KL,EQ,
Hengyuan Refining Company Berhad,Energy,4324.KL,EQ,
Hiap Huat Holdings Berhad,Energy,0160.KL,EQ,
Hibiscus Petroleum Berhad,Energy,5199.KL,EQ,
Keyfield International Berhad,Energy,5321.KL,EQ,
Lianson Fleet Group Berhad,Energy,5255.KL,EQ,
Malaysia Marine and Heavy Engineering Holdings Berhad,Energy,5186.KL,EQ,
Marine & General Berhad,Energy,5078.KL,EQ,
Ocean Vantage Holdings Berhad,Energy,0220.KL,EQ,
PETRONAS Dagangan Berhad,Energy,5681.KL,EQ,
PETRONAS Gas Berhad,Energy,6033.KL,EQ,
PSP Energy Berhad,Energy,0383.KL,EQ,
Perdana Petroleum Berhad,Energy,7108.KL,EQ,
Petra Energy Berhad,Energy,5133.KL,EQ,
Petron Malaysia Refining & Marketing Bhd,Energy,3042.KL,EQ,
Reservoir Link Energy Bhd,Energy,0219.KL,EQ,
Steel Hawk Berhad,Energy,0320.KL,EQ,
T7 Global Berhad,Energy,7228.KL,EQ,
Uzma Berhad,Energy,7250.KL,EQ,
Vantris Energy Berhad,Energy,5218.KL,EQ,
Velesto Energy Berhad,Energy,5243.KL,EQ,
Wasco Berhad,Energy,5142.KL,EQ,
Yinson Holdings Berhad,Energy,7293.KL,EQ,
