Company Name,Industry,Symbol,Series,ISIN Code
AEON Credit Service (M) Berhad,Financials,5139.KL,EQ,
AFFIN Bank Berhad,Financials,5185.KL,EQ,
AMMB Holdings Berhad,Financials,1015.KL,EQ,
Alliance Bank Malaysia Berhad,Financials,2488.KL,EQ,
Allianz Malaysia Berhad,Financials,1163PA.KL,EQ,
Allianz Malaysia Bhd.,Financials,1163.KL,EQ,MYL1163OO004
Apex Equity Holdings Berhad,Financials,5088.KL,EQ,
Bank Islam Malaysia Berhad,Financials,5258.KL,EQ,
Bursa Malaysia Berhad,Financials,1818.KL,EQ,
CIMB Group Holdings Berhad,Financials,1023.KL,EQ,
CTOS Digital Berhad,Financials,5301.KL,EQ,
ELK-Desa Resources Berhad,Financials,5228.KL,EQ,
Evergreen Max Cash Capital Berhad,Financials,0286.KL,EQ,
Fintec Global Berhad,Financials,0150.KL,EQ,
Hong Leong Bank Berhad,Financials,5819.KL,EQ,
Hong Leong Capital Berhad,Financials,5274.KL,EQ,
Hong Leong Financial Group Berhad,Financials,1082.KL,EQ,
Insas Berhad,Financials,3379.KL,EQ,
JcbNext Berhad,Financials,0058.KL,EQ,
KLCC Property Holdings Bhd.,Financials,5235.KL,EQ,MYL5235SS008
Kenanga Investment Bank Berhad,Financials,6483.KL,EQ,
LPI Capital Bhd,Financials,8621.KL,EQ,
M & A Equity Holdings Berhad,Financials,7082.KL,EQ,
MAA Group Berhad,Financials,1198.KL,EQ,
MBSB Berhad,Financials,1171.KL,EQ,
MNRB Holdings Berhad,Financials,6459.KL,EQ,
Malayan Banking Berhad,Financials,1155.KL,EQ,
Manulife Holdings Berhad,Financials,1058.KL,EQ,
Mercury Securities Group Berhad,Financials,0285.KL,EQ,
OSK Ventures International Berhad,Financials,0053.KL,EQ,
Pacific & Orient Berhad,Financials,6009.KL,EQ,
Pappajack Berhad,Financials,0242.KL,EQ,
Pimpinan Ehsan Berhad,Financials,5622.KL,EQ,
Public Bank Berhad,Financials,1295.KL,EQ,
RCE Capital Berhad,Financials,9296.KL,EQ,
RHB Bank Berhad,Financials,1066.KL,EQ,
S P Setia Bhd.,Financials,8664.KL,EQ,MYL8664OO004
SCGM Bhd,Financials,7247.KL,EQ,
Syarikat Takaful Malaysia Keluarga Berhad,Financials,6139.KL,EQ,
Tune Protect Group Berhad,Financials,5230.KL,EQ,
iCapital.biz Berhad,Financials,5108.KL,EQ,
