Company Name,Industry,Symbol,Series,ISIN Code
IHH Healthcare Bhd.,Health Care,IHH.KL,EQ,MYL5225OO007
KPJ Healthcare Bhd.,Health Care,KPJ.KL,EQ,MYL5878OO003
Top Glove Corporation Bhd.,Health Care,TOPGLOV.KL,EQ,MYL7113OO003
DXN Holdings Bhd,Health Care,DXN.KL,EQ,MYL5318OO000
Duopharma Biotech Bhd.,Health Care,DPHARMA.KL,EQ,MYL7148OO009
Alpha IVF Group Bhd.,Health Care,ALPHA.KL,EQ,MYQ0303OO006
TMC Life Sciences Bhd.,Health Care,TMCLIFE.KL,EQ,MYQ0101OO004
Kotra Industries Bhd.,Health Care,KOTRA.KL,EQ,MYQ0002OO004
Y.S.P. Southeast Asia Holding Bhd.,Health Care,YSPSAH.KL,EQ,MYL7178OO006
Optimax Holdings Bhd.,Health Care,OPTIMAX.KL,EQ,MYQ0222OO008
Metro Healthcare Bhd.,Health Care,METRO.KL,EQ,MYQ0329OO001
PMCK Berhad,Health Care,PMCK.KL,EQ,MYQ0363OO000
Sunzen Group Bhd,Health Care,SUNZEN.KL,EQ,MYQ0148OO005
Cengild Medical Bhd.,Health Care,CENGILD.KL,EQ,MYQ0243OO004
Crest Group Bhd.,Health Care,CREST.KL,EQ,MYQ0323OO004
UMediC Group Bhd.,Health Care,UMC.KL,EQ,MYQ0256OO006
Nova Wellness Group Bhd.,Health Care,NOVA.KL,EQ,MYQ0201OO002
DC Healthcare Holdings Bhd,Health Care,DCHCARE.KL,EQ,MYQ0283OO000
One Glove Group Bhd,Health Care,ONEGLOVE.KL,EQ,MYL5079OO008
Topvision Eye Specialist Bhd,Health Care,TOPVISN.KL,EQ,MYQ0332OO005
Malaysian Genomics Resource Centre Bhd.,Health Care,MGRC.KL,EQ,MYQ0155OO000
Bioalpha Holdings Bhd.,Health Care,BIOHLDG.KL,EQ,MYQ0179OO000
Smile-Link Healthcare Global Bhd.,Health Care,SMILE.KL,EQ,MYL03023O008
LKL International Bhd.,Health Care,LKL.KL,EQ,MYQ0182OO004
Sunway Healthcare Holdings Berhad,Health Care,SUNMED.KL,EQ,MYL5555OO007
Safetyware Group Bhd,Health Care,SAFETY.KL,EQ,MYL03056O008
IHH Healthcare Berhad,Health Care,5225.KL,EQ,
Sunway Healthcare Holdings Berhad,Health Care,5555.KL,EQ,
KPJ Healthcare Berhad,Health Care,5878.KL,EQ,
Top Glove Corporation Bhd.,Health Care,7113.KL,EQ,
Kossan Rubber Industries Bhd,Health Care,7153.KL,EQ,
Pharmaniaga Berhad,Health Care,7081.KL,EQ,
ALPHA,Health Care,0303.KL,EQ,
Duopharma Biotech Berhad,Health Care,7148.KL,EQ,
Supermax Corporation Berhad,Health Care,7106.KL,EQ,
TMC Life Sciences Berhad,Health Care,0101.KL,EQ,
Kotra Industries Berhad,Health Care,0002.KL,EQ,
Focus Point Holdings Berhad,Health Care,0157.KL,EQ,
LACMED,Health Care,5341.KL,EQ,
Y.S.P. Southeast Asia Holding Berhad,Health Care,7178.KL,EQ,
Optimax Holdings Berhad,Health Care,0222.KL,EQ,
PMCK Berhad,Health Care,0363.KL,EQ,
Metro Healthcare Berhad,Health Care,0329.KL,EQ,
Cengild Medical Berhad,Health Care,0243.KL,EQ,
Beshom Holdings Berhad,Health Care,7668.KL,EQ,
Rhone Ma Holdings Berhad,Health Care,5278.KL,EQ,
UMediC Group Berhad,Health Care,0256.KL,EQ,
Iconic Worldwide Berhad,Health Care,9113.KL,EQ,
DC Healthcare Holdings Berhad,Health Care,0283.KL,EQ,
PeterLabs Holdings Berhad,Health Care,0171.KL,EQ,
Careplus Group Berhad,Health Care,0163.KL,EQ,
Topvision Eye Specialist Berhad,Health Care,0332.KL,EQ,
UCrest Berhad,Health Care,0005.KL,EQ,
Adventa Berhad,Health Care,7191.KL,EQ,
Malaysian Genomics Resource Centre Berhad,Health Care,0155.KL,EQ,
BCM Alliance Berhad,Health Care,0187.KL,EQ,
Zen Tech International Berhad,Health Care,0094.KL,EQ,
LKL International Berhad,Health Care,0182.KL,EQ,
