Company Name,Industry,Symbol,Series,ISIN Code
3REN Berhad,Industrials,0328.KL,EQ,
5E Resources Holdings Berhad,Industrials,0397.KL,EQ,
AGX Group Berhad,Industrials,0299.KL,EQ,
AHB Holdings Berhad,Industrials,7315.KL,EQ,
AIZO Group Berhad,Industrials,7219.KL,EQ,MYL7219OO008
AMBEST,Industrials,0391.KL,EQ,
AME Elite Consortium Berhad,Industrials,5293.KL,EQ,
AMS Advanced Material Berhad,Industrials,0399.KL,EQ,
APB Resources Berhad,Industrials,5568.KL,EQ,
ARK Resources Holdings Berhad,Industrials,7007.KL,EQ,
ASM Automation Group Berhad,Industrials,0362.KL,EQ,
AWC Berhad,Industrials,7579.KL,EQ,
AbleGroup Berhad,Industrials,7086.KL,EQ,
Adnex Group Berhad,Industrials,0396.KL,EQ,
Advance Information Marketing Berhad,Industrials,0122.KL,EQ,
Advancecon Holdings Berhad,Industrials,5281.KL,EQ,
Ahmad Zaki Resources Berhad,Industrials,7078.KL,EQ,
Aimflex Berhad,Industrials,0209.KL,EQ,
AirAsia X Berhad,Industrials,5238.KL,EQ,
Ajiya Berhad,Industrials,7609.KL,EQ,
Ancom Logistics Berhad,Industrials,0048.KL,EQ,
Aneka Jaringan Holdings Berhad,Industrials,0226.KL,EQ,
Arka Berhad,Industrials,7218.KL,EQ,
Asdion Berhad,Industrials,0068.KL,EQ,
Asia Brands Bhd.,Industrials,7722.KL,EQ,MYL7722OO001
Asia File Corporation Bhd.,Industrials,7129.KL,EQ,
Atlan Holdings Bhd.,Industrials,7048.KL,EQ,MYL7048OO001
Avangaad Berhad,Industrials,5259.KL,EQ,
Azam Jaya Berhad,Industrials,5329.KL,EQ,
BM GreenTech Berhad,Industrials,0168.KL,EQ,
BSL Corporation Berhad,Industrials,7221.KL,EQ,
Batu Kawan Berhad,Industrials,1899.KL,EQ,
Benalec Holdings Berhad,Industrials,5190.KL,EQ,
Berjaya Assets Berhad,Industrials,3239.KL,EQ,
Berjaya Corporation Berhad,Industrials,3395.KL,EQ,
Berjaya Property Bhd,Industrials,4219.KL,EQ,
Bina Darulaman Berhad,Industrials,6173.KL,EQ,
Bina Puri Holdings Bhd,Industrials,5932.KL,EQ,
Bintai Kinden Corporation Berhad,Industrials,6998.KL,EQ,
Bintulu Port Holdings Berhad,Industrials,5032.KL,EQ,
Borneo Oil Berhad,Industrials,7036.KL,EQ,
Boustead Heavy Industries Corporation Berhad,Industrials,8133.KL,EQ,
Brite-Tech Berhad,Industrials,0011.KL,EQ,
CB Industrial Product Holding Berhad,Industrials,7076.KL,EQ,
CBH Engineering Holding Berhad,Industrials,0339.KL,EQ,
CEKD Berhad,Industrials,0238.KL,EQ,
CJ Century Logistics Holdings Berhad,Industrials,7117.KL,EQ,
CN Asia Corporation Bhd,Industrials,7986.KL,EQ,
Cabnet Holdings Berhad,Industrials,0191.KL,EQ,
Capital A Berhad,Industrials,5099.KL,EQ,
Cheeding Holdings Berhad,Industrials,0372.KL,EQ,
Chemlite Innovation Berhad,Industrials,0348.KL,EQ,
Chin Well Holdings Berhad,Industrials,5007.KL,EQ,
Chuan Huat Resources Berhad,Industrials,7016.KL,EQ,
Citaglobal Berhad,Industrials,7245.KL,EQ,
Citra Nusa Holdings Berhad,Industrials,5104.KL,EQ,
Cnergenz Berhad,Industrials,0246.KL,EQ,
Computer Forms (Malaysia) Berhad,Industrials,8044.KL,EQ,
Coraza Integrated Technology Berhad,Industrials,0240.KL,EQ,
Cosmos Technology International Berhad,Industrials,0261.KL,EQ,
Crest Builder Holdings Berhad,Industrials,8591.KL,EQ,
Critical Holdings Berhad,Industrials,0291.KL,EQ,
DKSH Holdings (Malaysia) Berhad,Industrials,5908.KL,EQ,
DPS Resources Berhad,Industrials,7198.KL,EQ,
Dancomech Holdings Berhad,Industrials,5276.KL,EQ,
Destini Berhad,Industrials,7212.KL,EQ,
Digistar Corporation Berhad,Industrials,0029.KL,EQ,
Dufu Technology Corp. Berhad,Industrials,7233.KL,EQ,
EA Holdings Berhad,Industrials,0154.KL,EQ,
ECA Integrated Solution Berhad,Industrials,0267.KL,EQ,
EI Power Berhad,Industrials,0453.KL,EQ,
EITA Resources Berhad,Industrials,5208.KL,EQ,
ENRA Group Berhad,Industrials,8613.KL,EQ,
EPB Group Berhad,Industrials,0317.KL,EQ,
ES Sunlogy Berhad,Industrials,0345.KL,EQ,
Ecobuilt Holdings Berhad,Industrials,0059.KL,EQ,
Econframe Berhad,Industrials,0227.KL,EQ,
Econpile Holdings Berhad,Industrials,5253.KL,EQ,
Ecoscience International Berhad,Industrials,0255.KL,EQ,
Eden Inc. Berhad,Industrials,7471.KL,EQ,
Efficient E-Solutions Berhad,Industrials,0064.KL,EQ,
Ekovest Berhad,Industrials,8877.KL,EQ,
Engtex Group Berhad,Industrials,5056.KL,EQ,
Enproserve Group Berhad,Industrials,0367.KL,EQ,
Epicon Berhad,Industrials,4847.KL,EQ,
Erdasan Group Berhad,Industrials,0072.KL,EQ,
Eversendai Corporation Berhad,Industrials,5205.KL,EQ,
FBG Holdings Berhad,Industrials,7047.KL,EQ,
FITTERS Diversified Berhad,Industrials,9318.KL,EQ,
FM Global Logistics Holdings Berhad,Industrials,7210.KL,EQ,
Fast Energy Holdings Berhad,Industrials,0084.KL,EQ,
Favelle Favco Berhad,Industrials,7229.KL,EQ,
Fibon Berhad,Industrials,0149.KL,EQ,
Fibromat (M) Berhad,Industrials,0355.KL,EQ,
Fima Corporation Berhad,Industrials,3107.KL,EQ,
Flexidynamic Holdings Berhad,Industrials,0231.KL,EQ,
Frontken Corporation Berhad,Industrials,0128.KL,EQ,
G Capital Berhad,Industrials,7676.KL,EQ,
GDB Holdings Berhad,Industrials,0198.KL,EQ,
GDEX Berhad,Industrials,0078.KL,EQ,
GE-Shen Corporation Berhad,Industrials,7197.KL,EQ,
GFM Services Berhad,Industrials,0039.KL,EQ,
Gabungan AQRS Berhad,Industrials,5226.KL,EQ,
Gadang Holdings Berhad,Industrials,9261.KL,EQ,
Gamuda Berhad,Industrials,5398.KL,EQ,
Genetec Technology Berhad,Industrials,0104.KL,EQ,
Geohan Corporation Berhad,Industrials,5345.KL,EQ,
George Kent (Malaysia) Berhad,Industrials,3204.KL,EQ,
Glostrext Berhad,Industrials,0284.KL,EQ,
Greatech Technology Berhad,Industrials,0208.KL,EQ,
Greentronics Technology Berhad,Industrials,7943.KL,EQ,
HE Group Berhad,Industrials,0296.KL,EQ,
HI Mobility Berhad,Industrials,5335.KL,EQ,
HIL Industries Bhd.,Industrials,8443.KL,EQ,MYL8443OO003
HLT Global Berhad,Industrials,0188.KL,EQ,
HPMT Holdings Berhad,Industrials,5291.KL,EQ,
HSS Engineers Berhad,Industrials,0185.KL,EQ,
Haily Group Berhad,Industrials,0237.KL,EQ,
Hap Seng Consolidated Berhad,Industrials,3034.KL,EQ,
Harbour-Link Group Berhad,Industrials,2062.KL,EQ,
Harrisons Holdings (Malaysia) Berhad,Industrials,5008.KL,EQ,
Hartanah Kenyalang Berhad,Industrials,0359.KL,EQ,
Ho Hup Construction Company Berhad,Industrials,5169.KL,EQ,
Ho Wah Genting Berhad,Industrials,9601.KL,EQ,
Hong Seng Consolidated Berhad,Industrials,0041.KL,EQ,
Hubline Berhad,Industrials,7013.KL,EQ,
IJM Corporation Berhad,Industrials,3336.KL,EQ,
ISF Group Berhad,Industrials,0390.KL,EQ,
ITMAX System Berhad,Industrials,5309.KL,EQ,
Infraharta Holdings Berhad,Industrials,7240.KL,EQ,
Ingenieur Gudang Berhad,Industrials,5178.KL,EQ,
Innity Corp. Bhd.,Industrials,0147.KL,EQ,MYQ0147OO007
Inspace Creation Berhad,Industrials,0451.KL,EQ,
Inta Bina Group Berhad,Industrials,0192.KL,EQ,
Iris Group Berhad,Industrials,0010.KL,EQ,
JAG Berhad,Industrials,0024.KL,EQ,
JAKS Resources Berhad,Industrials,4723.KL,EQ,
Jasa Kita Berhad,Industrials,8648.KL,EQ,
Jati Tinggi Group Berhad,Industrials,0292.KL,EQ,
Jentayu Sustainables Berhad,Industrials,5673.KL,EQ,
KEEMING,Industrials,0392.KL,EQ,
KENERGY,Industrials,0307.KL,EQ,
KGW Group Berhad,Industrials,0282.KL,EQ,
KJTS,Industrials,0293.KL,EQ,
KKB Engineering Berhad,Industrials,9466.KL,EQ,
KPS Consortium Berhad,Industrials,9121.KL,EQ,
Kein Hing International Berhad,Industrials,7199.KL,EQ,
Kelington Group Berhad,Industrials,0151.KL,EQ,
Ken Holdings Berhad,Industrials,7323.KL,EQ,
Kerjaya Prospek Group Berhad,Industrials,7161.KL,EQ,
Key Alliance Group Berhad,Industrials,0036.KL,EQ,
Kimlun Corporation Berhad,Industrials,5171.KL,EQ,
Kinergy Advancement Berhad,Industrials,0193.KL,EQ,
Knusford Berhad,Industrials,5035.KL,EQ,
Kobay Technology Bhd.,Industrials,6971.KL,EQ,
Komarkcorp Berhad,Industrials,7017.KL,EQ,
Kuala Lumpur Kepong Berhad,Industrials,2445.KL,EQ,
Kumpulan Fima Berhad,Industrials,6491.KL,EQ,
Kumpulan H & L High-Tech Berhad,Industrials,7033.KL,EQ,
Kumpulan Perangsang Selangor Berhad,Industrials,5843.KL,EQ,
LFE Corporation Berhad,Industrials,7170.KL,EQ,
Lebtech Berhad,Industrials,9628.KL,EQ,
Lim Seong Hai Capital Berhad,Industrials,0351.KL,EQ,
Luster Industries Bhd,Industrials,5068.KL,EQ,
MClean Technologies Berhad,Industrials,0167.KL,EQ,
MEGAFB,Industrials,5327.KL,EQ,
MGB Berhad,Industrials,7595.KL,EQ,
MISC Berhad,Industrials,3816.KL,EQ,
MMM Group Berhad,Industrials,0159.KL,EQ,MYQ0159OO002
MN Holdings Berhad,Industrials,0245.KL,EQ,
MQ Technology Berhad,Industrials,0070.KL,EQ,
MTAG Group Berhad,Industrials,0213.KL,EQ,
MTT Shipping and Logistics Berhad,Industrials,5352.KL,EQ,
Malaysian Resources Corporation Berhad,Industrials,1651.KL,EQ,
Manforce Group Berhad,Industrials,0450.KL,EQ,
Master Tec Group Berhad,Industrials,0295.KL,EQ,
Maybulk Berhad,Industrials,5077.KL,EQ,
Mayu Global Group Berhad,Industrials,7099.KL,EQ,
Melati Ehsan Holdings Berhad,Industrials,5129.KL,EQ,
Mercury Industries Berhad,Industrials,8192.KL,EQ,
Mestron Holdings Berhad,Industrials,0207.KL,EQ,
Metrod Holdings Berhad,Industrials,6149.KL,EQ,
Midtown Group Berhad,Industrials,0177.KL,EQ,
Mikro MSC Berhad,Industrials,0112.KL,EQ,
Mitrajaya Holdings Berhad,Industrials,9571.KL,EQ,
Muar Ban Lee Group Berhad,Industrials,5152.KL,EQ,
Mudajaya Group Berhad,Industrials,5085.KL,EQ,
Muhibbah Engineering (M) Bhd.,Industrials,5703.KL,EQ,
Mulpha International Bhd,Industrials,3905.KL,EQ,
MyTech Group Berhad,Industrials,7692.KL,EQ,
Naim Holdings Berhad,Industrials,5073.KL,EQ,
Nestcon Berhad,Industrials,0235.KL,EQ,
Nexgram Holdings Berhad,Industrials,0096.KL,EQ,
Nextgreen Global Berhad,Industrials,7241.KL,EQ,
Niche Capital Emas Holdings Berhad,Industrials,7139.KL,EQ,
OXB,Industrials,0368.KL,EQ,
Oasis Harvest Corporation Berhad,Industrials,5265.KL,EQ,
Omesti Berhad,Industrials,9008.KL,EQ,
One Gasmaster Holdings Berhad,Industrials,0389.KL,EQ,
Orkim Berhad,Industrials,5348.KL,EQ,
P.A. Resources Berhad,Industrials,7225.KL,EQ,
PBS Berhad,Industrials,5231.KL,EQ,
PDZ Holdings Bhd,Industrials,6254.KL,EQ,
PJBumi Berhad,Industrials,7163.KL,EQ,
PLINTAS,Industrials,5320.KL,EQ,
PLS Plantations Bhd.,Industrials,9695.KL,EQ,MYL9695OO007
PMB Technology Berhad,Industrials,7172.KL,EQ,
PTT Synergy Group Berhad,Industrials,7010.KL,EQ,
Pan Merchant Berhad,Industrials,0361.KL,EQ,
Pansar Berhad,Industrials,8419.KL,EQ,
Pentamaster Corporation Berhad,Industrials,7160.KL,EQ,
Perak Corporation Berhad,Industrials,8346.KL,EQ,
Perak Transit Berhad,Industrials,0186.KL,EQ,
Pesona Metro Holdings Berhad,Industrials,8311.KL,EQ,
Pestec International Berhad,Industrials,5219.KL,EQ,
Pintaras Jaya Berhad,Industrials,9598.KL,EQ,
Pos Malaysia Berhad,Industrials,4634.KL,EQ,
Powertechnic Group Berhad,Industrials,0377.KL,EQ,
Powerwell Holdings Berhad,Industrials,0217.KL,EQ,
Progressive Impact Corporation Berhad,Industrials,7201.KL,EQ,
Propel Global Bhd,Industrials,0091.KL,EQ,
Protasco Berhad,Industrials,5070.KL,EQ,
Puncak Niaga Holdings Berhad,Industrials,6807.KL,EQ,
Quality Concrete Holdings Berhad,Industrials,7544.KL,EQ,
Rapid Synergy Berhad,Industrials,7765.KL,EQ,
Rekatech Capital Berhad,Industrials,0081.KL,EQ,
Resintech Berhad,Industrials,7232.KL,EQ,
Rohas Tecnic Berhad,Industrials,9741.KL,EQ,
SAM Engineering & Equipment (M) Berhad,Industrials,9822.KL,EQ,
SET,Industrials,0337.KL,EQ,
SFP Tech Holdings Berhad,Industrials,0251.KL,EQ,
SKB Shutters Corporation Berhad,Industrials,7115.KL,EQ,
Salcon Berhad,Industrials,8567.KL,EQ,
Samaiden Group Berhad,Industrials,0223.KL,EQ,
Sanichi Technology Berhad,Industrials,0133.KL,EQ,
Sapura Resources Berhad,Industrials,4596.KL,EQ,
Scicom (MSC) Berhad,Industrials,0099.KL,EQ,
Seacera Group Bhd.,Industrials,7073.KL,EQ,MYL7073OO009
Sealink International Berhad,Industrials,5145.KL,EQ,
See Hup Consolidated Berhad,Industrials,7053.KL,EQ,
Seremban Engineering Bhd.,Industrials,5163.KL,EQ,MYL5163OO000
Shin Yang Group Berhad,Industrials,5173.KL,EQ,
Signature Alliance Group Berhad,Industrials,0360.KL,EQ,
Sin-Kung Logistics Berhad,Industrials,0305.KL,EQ,
Solar District Cooling Group Berhad,Industrials,0321.KL,EQ,
South Malaysia Industries Berhad,Industrials,4375.KL,EQ,
Southern Acids (M) Berhad,Industrials,5134.KL,EQ,
Southern Cable Group Berhad,Industrials,0225.KL,EQ,
Southern Score Builders Berhad,Industrials,0045.KL,EQ,
Sports Toto Berhad,Industrials,1562.KL,EQ,
Straits Energy Resources Berhad,Industrials,0080.KL,EQ,
Success Transformer Corporation Berhad,Industrials,7207.KL,EQ,
Sunway Berhad,Industrials,5211.KL,EQ,
Sunway Construction Group Berhad,Industrials,5263.KL,EQ,
Supercomnet Technologies Berhad,Industrials,0001.KL,EQ,
Superlon Holdings Berhad,Industrials,7235.KL,EQ,
Suria Capital Holdings Berhad,Industrials,6521.KL,EQ,
Swift Haulage Berhad,Industrials,5303.KL,EQ,
Sycal Ventures Berhad,Industrials,9717.KL,EQ,
