Company Name,Industry,Symbol,Series,ISIN Code
PETRONAS Chemicals Group Bhd.,Materials,PCHEM.KL,EQ,MYL5183OO008
SD Guthrie Bhd,Materials,SDG.KL,EQ,MYL5285OO001
IOI Corporation Berhad,Materials,IOICORP.KL,EQ,MYL1961OO001
Kuala Lumpur Kepong Bhd.,Materials,KLK.KL,EQ,MYL2445OO004
United Plantations Bhd.,Materials,UTDPLT.KL,EQ,MYL2089OO000
PPB Group Bhd.,Materials,PPB.KL,EQ,MYL4065OO008
Malayan Cement Bhd,Materials,MCEMENT.KL,EQ,MYL3794OO004
Batu Kawan Bhd.,Materials,BKAWAN.KL,EQ,MYL1899OO003
Hap Seng Consolidated Bhd.,Materials,HAPSENG.KL,EQ,MYL3034OO005
Scientex Bhd.,Materials,SCIENTX.KL,EQ,MYL4731OO005
Genting Plantations Bhd.,Materials,GENP.KL,EQ,MYL2291OO002
Johor Plantations Group Bhd,Materials,JPG.KL,EQ,MYL5323OO000
Sarawak Oil Palms Bhd.,Materials,SOP.KL,EQ,MYL5126OO007
Hextar Global Bhd.,Materials,HEXTAR.KL,EQ,MYL5151OO005
Kim Loong Resources Bhd.,Materials,KMLOONG.KL,EQ,MYL5027OO007
Leong Hup International Bhd.,Materials,LHI.KL,EQ,MYL6633OO001
Far East Holdings Bhd.,Materials,FAREAST.KL,EQ,MYL5029OO003
Ta Ann Holdings Bhd.,Materials,TAANN.KL,EQ,MYL5012OO009
TMK Chemical Bhd,Materials,TMK.KL,EQ,MYL5330OO005
Hume Cement Industries Berhad,Materials,HUMEIND.KL,EQ,MYL5000OO004
Keck Seng (Malaysia) Bhd.,Materials,KSENG.KL,EQ,MYL3476OO008
Hap Seng Plantations Holdings Bhd.,Materials,HSPLANT.KL,EQ,MYL5138OO002
Elridge Energy Holdings Berhad,Materials,ELRIDGE.KL,EQ,MYQ0318OO004
TSH Resources Bhd.,Materials,TSH.KL,EQ,MYL9059OO006
Kretam Holdings Bhd.,Materials,KRETAM.KL,EQ,MYL1996OO007
BLD Plantation Bhd.,Materials,BLDPLNT.KL,EQ,MYL5069OO009
United Malacca Bhd.,Materials,UMCCA.KL,EQ,MYL2593OO001
Cahya Mata Sarawak Bhd.,Materials,CMSB.KL,EQ,MYL2852OO001
Sarawak Plantation Bhd.,Materials,SWKPLNT.KL,EQ,MYL5135OO008
Pecca Group Bhd.,Materials,PECCA.KL,EQ,MYL5271OO001
