Company Name,Industry,Symbol,Series,ISIN Code
AME Real Estate Investment Trust,Real Estate,5307.KL,EQ,
AYER Holdings Berhad,Real Estate,2305.KL,EQ,
Al-'Aqar Healthcare REIT,Real Estate,5116.KL,EQ,
Al-Salam Real Estate Investment Trust,Real Estate,5269.KL,EQ,
AmFirst Real Estate Investment Trust,Real Estate,5120.KL,EQ,
AmanahRaya Real Estate Investment Trust,Real Estate,5127.KL,EQ,
Asian Pac Holdings Berhad,Real Estate,4057.KL,EQ,
Atrium Real Estate Investment Trust,Real Estate,5130.KL,EQ,
Avaland Berhad,Real Estate,5182.KL,EQ,
Axis Real Estate Investment Trust,Real Estate,5106.KL,EQ,
Axteria Group Berhad,Real Estate,7120.KL,EQ,
BCB Berhad,Real Estate,6602.KL,EQ,
Bertam Alliance Berhad,Real Estate,9814.KL,EQ,
Binastra Corporation Berhad,Real Estate,7195.KL,EQ,
CapitaLand Malaysia Trust,Real Estate,5180.KL,EQ,
Country View Berhad,Real Estate,5049.KL,EQ,
Crescendo Corporation Berhad,Real Estate,6718.KL,EQ,
EWI Capital Berhad,Real Estate,5283.KL,EQ,
Eastern & Oriental Berhad,Real Estate,3417.KL,EQ,
Eco World Development Group Berhad,Real Estate,8206.KL,EQ,
EcoFirst Consolidated Bhd,Real Estate,3557.KL,EQ,
Encorp Berhad,Real Estate,6076.KL,EQ,
Eupe Corporation Berhad,Real Estate,6815.KL,EQ,
Exsim Hospitality Berhad,Real Estate,1287.KL,EQ,
Farlim Group (Malaysia) Bhd.,Real Estate,6041.KL,EQ,
GOLDLI,Real Estate,0452.KL,EQ,
Gagasan Nadi Cergas Berhad,Real Estate,0206.KL,EQ,
Global Oriental Berhad,Real Estate,1147.KL,EQ,
Glomac Berhad,Real Estate,5020.KL,EQ,
Golden Land Berhad,Real Estate,7382.KL,EQ,
Gromutual Berhad,Real Estate,9962.KL,EQ,
GuocoLand (Malaysia) Berhad,Real Estate,1503.KL,EQ,
HCK Capital Group Berhad,Real Estate,7105.KL,EQ,
Hektar Real Estate Investment Trust,Real Estate,5121.KL,EQ,
Hua Yang Berhad,Real Estate,5062.KL,EQ,
I-Berhad,Real Estate,4251.KL,EQ,
IGB Berhad,Real Estate,5606.KL,EQ,
IGB Commercial Real Estate Investment Trust,Real Estate,5299.KL,EQ,
IGB Real Estate Investment Trust,Real Estate,5227.KL,EQ,
IOI Properties Group Berhad,Real Estate,5249.KL,EQ,
Ibraco Berhad,Real Estate,5084.KL,EQ,
Ideal Capital Berhad,Real Estate,9687.KL,EQ,
Iskandar Waterfront City Berhad,Real Estate,1589.KL,EQ,
JKG Land Berhad,Real Estate,6769.KL,EQ,
Jiankun International Berhad,Real Estate,8923.KL,EQ,
KIP Real Estate Investment Trust,Real Estate,5280.KL,EQ,
KLCC Property Holdings Berhad,Real Estate,5235SS.KL,EQ,
KSL Holdings Berhad,Real Estate,5038.KL,EQ,
KTI,Real Estate,0308.KL,EQ,
Kerjaya Prospek Property Berhad,Real Estate,7077.KL,EQ,
Kumpulan Kitacon Berhad,Real Estate,5310.KL,EQ,
LBI Capital Berhad,Real Estate,8494.KL,EQ,
LBS Bina Group Berhad,Real Estate,5789.KL,EQ,
Land & General Berhad,Real Estate,3174.KL,EQ,
M K Land Holdings Berhad,Real Estate,8893.KL,EQ,
MKH Berhad,Real Estate,6114.KL,EQ,
MUI Properties Berhad,Real Estate,3913.KL,EQ,
Magna Prima Berhad,Real Estate,7617.KL,EQ,
Mah Sing Group Berhad,Real Estate,8583.KL,EQ,
Majuperak Holdings Berhad,Real Estate,8141.KL,EQ,
Malton Berhad,Real Estate,6181.KL,EQ,
Matrix Concepts Holdings Berhad,Real Estate,5236.KL,EQ,
Maxim Global Berhad,Real Estate,4022.KL,EQ,
Menang Corporation (M) Berhad,Real Estate,1694.KL,EQ,
Meridian Berhad,Real Estate,5040.KL,EQ,
Multi-Usage Holdings Berhad,Real Estate,9539.KL,EQ,
OCR Group Berhad,Real Estate,7071.KL,EQ,
OSK Holdings Berhad,Real Estate,5053.KL,EQ,
Oriental Interest Berhad,Real Estate,5827.KL,EQ,
PARADIGM,Real Estate,5338.KL,EQ,
Paragon Globe Berhad,Real Estate,3611.KL,EQ,
Paramount Corporation Berhad,Real Estate,1724.KL,EQ,
