Company Name,Industry,Symbol,Series,ISIN Code
Vitrox Corp. Bhd.,Technology,VITROX.KL,EQ,MYQ0097OO004
TIME dotCom Bhd.,Technology,TIMECOM.KL,EQ,MYL5031OO009
Malaysian Pacific Industries Bhd.,Technology,MPI.KL,EQ,MYL3867OO008
Frontken Corp. Bhd.,Technology,FRONTKN.KL,EQ,MYQ0128OO007
Inari Amertron Berhad,Technology,INARI.KL,EQ,MYQ0166OO007
Unisem (M) Bhd.,Technology,UNISEM.KL,EQ,MYL5005OO003
Zetrix AI Bhd,Technology,ZETRIX.KL,EQ,MYQ0138OO006
Binastra Corporation Berhad,Technology,BNASTRA.KL,EQ,MYL7195OO000
VSTECS Bhd.,Technology,VSTECS.KL,EQ,MYL5162OO002
Nationgate Holdings Berhad,Technology,NATGATE.KL,EQ,MYQ0270OO007
Uchi Technologies Bhd.,Technology,UCHITEC.KL,EQ,MYL7100OO000
Dagang NeXchange Berhad,Technology,DNEX.KL,EQ,MYL4456OO009
Southern Score Builders Bhd.,Technology,SSB8.KL,EQ,MYQ0045OO003
Dufu Technology Corp. Bhd.,Technology,DUFU.KL,EQ,MYL7233OO009
NEXG Bhd,Technology,NEXG.KL,EQ,MYL5216OO006
Aurelius Technologies Bhd.,Technology,ATECH.KL,EQ,MYL5302OO004
SNS Network Technology Bhd.,Technology,SNS.KL,EQ,MYQ0259OO000
Samaiden Group Bhd,Technology,SAMAIDEN.KL,EQ,MYQ0223OO006
JCY International Bhd.,Technology,JCY.KL,EQ,MYL5161OO004
Infomina Bhd,Technology,INFOM.KL,EQ,MYQ0265OO007
P.I.E. Industrial Bhd.,Technology,PIE.KL,EQ,MYL7095OO002
Insas Bhd.,Technology,INSAS.KL,EQ,MYL3379OO004
Mikro MSC Bhd.,Technology,MIKROMB.KL,EQ,MYQ0112OO001
JF Technology Bhd.,Technology,JFTECH.KL,EQ,MYQ0146OO009
GO Hub Capital Berhad,Technology,GOHUB.KL,EQ,MYQ0311OO009
D&O Green Technologies Bhd.,Technology,D&O.KL,EQ,MYL7204OO000
Qes Group Bhd,Technology,QES.KL,EQ,MYQ0196OO004
Oppstar Berhad,Technology,OPPSTAR.KL,EQ,MYQ0275OO006
Autocount Dotcom Bhd,Technology,ADB.KL,EQ,MYQ0276OO004
Harvest Miracle Capital Bhd,Technology,HM.KL,EQ,MYQ0060OO002
Cnergenz Bhd.,Technology,CNERGEN.KL,EQ,MYQ0246OO007
Betamek Bhd,Technology,BETA.KL,EQ,MYQ0263OO002
Ramssol Group Bhd.,Technology,RAMSSOL.KL,EQ,MYQ0236OO008
Cape EMS Bhd,Technology,CEB.KL,EQ,MYL5311OO005
JHM Consolidation Bhd.,Technology,JHM.KL,EQ,MYQ0127OO009
Cloudpoint Technology Bhd,Technology,CLOUDPT.KL,EQ,MYQ0277OO002
HeiTech Padu Bhd.,Technology,HTPADU.KL,EQ,MYL5028OO005
LGMS Bhd,Technology,LGMS.KL,EQ,MYQ0249OO001
IDB Technologies Bhd,Technology,IDBTECH.KL,EQ,MYL03030O003
Foundpac Group Bhd.,Technology,FPGROUP.KL,EQ,MYL5277OO008
AwanBiru Technology Bhd.,Technology,AWANTEC.KL,EQ,MYL5204OO002
Edelteq Holdings Bhd,Technology,EDELTEQ.KL,EQ,MYQ0278OO000
IRIS Corp. Bhd.,Technology,IRIS.KL,EQ,MYQ0010OO007
Oasis Home Holding Bhd,Technology,OHM.KL,EQ,MYQ0357OO002
Aemulus Holdings Bhd.,Technology,AEMULUS.KL,EQ,MYQ0181OO006
AppAsia Bhd,Technology,APPASIA.KL,EQ,MYQ0119OO006
Globetronics Technology Bhd.,Technology,GTRONIC.KL,EQ,MYL7022OO006
