Company Name,Industry,Symbol,Series,ISIN Code
Tenaga Nasional Bhd,Utilities,TENAGA.KL,EQ,MYL5347OO009
YTL Power International Bhd.,Utilities,YTLPOWR.KL,EQ,MYL6742OO000
Petronas Gas Bhd.,Utilities,PETGAS.KL,EQ,MYL6033OO004
YTL Corp Bhd.,Utilities,YTL.KL,EQ,MYL4677OO000
Gas Malaysia Bhd.,Utilities,GASMSIA.KL,EQ,MYL5209OO001
Malakoff Corporation Bhd,Utilities,MALAKOF.KL,EQ,MYL5264OO006
Mega First Corp. Bhd.,Utilities,MFCB.KL,EQ,MYL3069OO001
Ranhill Utilities Bhd.,Utilities,RANHILL.KL,EQ,MYL5272OO009
CBH Engineering Holding Berhad,Utilities,CBHB.KL,EQ,MYQ0339OO000
Taliworks Corp. Bhd.,Utilities,TALIWRK.KL,EQ,MYL8524OO000
PBA Holdings Bhd.,Utilities,PBA.KL,EQ,MYL5041OO008
Cypark Resources Bhd.,Utilities,CYPARK.KL,EQ,MYL5184OO006
Kumpulan Perangsang Selangor Bhd.,Utilities,KPS.KL,EQ,MYL5843OO007
NuEnergy Holdings Bhd,Utilities,NHB.KL,EQ,MYL5614OO002
Eden Inc. Berhad,Utilities,EDEN.KL,EQ,MYL7471OO005
Puncak Niaga Holdings Bhd.,Utilities,PUNCAK.KL,EQ,MYL6807OO001
Tenaga Nasional Berhad,Utilities,5347.KL,EQ,
YTL Power International Berhad,Utilities,6742.KL,EQ,
YTL Corporation Berhad,Utilities,4677.KL,EQ,
Gas Malaysia Berhad,Utilities,5209.KL,EQ,
Malakoff Corporation Berhad,Utilities,5264.KL,EQ,
Mega First Corporation Berhad,Utilities,3069.KL,EQ,
Ranhill Utilities Berhad,Utilities,5272.KL,EQ,
Elridge Energy Holdings Berhad,Utilities,0318.KL,EQ,
PBA Holdings Bhd,Utilities,5041.KL,EQ,
Cypark Resources Berhad,Utilities,5184.KL,EQ,
JAG Capital Berhad,Utilities,6874.KL,EQ,
Wasco Greenergy Berhad,Utilities,5343.KL,EQ,
Sunview Group Berhad,Utilities,0262.KL,EQ,
Nuenergy Holdings Berhad,Utilities,5614.KL,EQ,
JS Solar Holding Berhad,Utilities,0369.KL,EQ,
