Company Name,Industry,Symbol,Series,ISIN Code
ASML Holding,Technology,ASML.AS,EQ,
Wolters Kluwer,Technology,WKL.AS,EQ,
IMCD Group,Materials,IMCD.AS,EQ,
Besi,Technology,BESI.AS,EQ,
Basic-Fit,ConsumerDisc,BFIT.AS,EQ,
Airbus SE,Industrials,AIR.AS,EQ,
Philips,Healthcare,PHIA.AS,EQ,
Shell PLC,Energy,SHEL.AS,EQ,
ING Groep,Financials,INGA.AS,EQ,
ABN AMRO Bank,Financials,ABN.AS,EQ,
NN Group,Financials,NN.AS,EQ,
ASR Nederland,Financials,ASRNL.AS,EQ,
Euronext NV,Financials,ENX.AS,EQ,
Heineken,Consumer Staples,HEIA.AS,EQ,
Unilever PLC,Consumer Staples,UNA.AS,EQ,
Signify NV,Industrials,LIGHT.AS,EQ,
Randstad,Industrials,RAND.AS,EQ,
ArcelorMittal,Materials,MT.AS,EQ,
DSM-Firmenich,Materials,DSFIR.AS,EQ,
Akzo Nobel,Materials,AKZA.AS,EQ,
Fugro,Industrials,FUR.AS,EQ,
SBM Offshore,Energy,SBMO.AS,EQ,
OCI Global,Materials,OCI.AS,EQ,
Vopak,Industrials,VPK.AS,EQ,
PostNL,Industrials,PNL.AS,EQ,
Flow Traders,Financials,FLOW.AS,EQ,
Corbion,Materials,CRBN.AS,EQ,
Aalberts Industries,Industrials,AALB.AS,EQ,
TKH Group,Industrials,TWEKA.AS,EQ,
Adyen NV,Technology,ADYEN.AS,EQ,
CTP NV,RealEstate,CTPNV.AS,EQ,
Inpost SA,Industrials,INPST.AS,EQ,
Vastned Retail,RealEstate,VASTN.AS,EQ,
WDP NV,RealEstate,WDP.AS,EQ,
Eurocommercial Properties,RealEstate,ECMPA.AS,EQ,
Allfunds Group,Financials,ALLFG.AS,EQ,
JDE Peet's,Consumer Staples,JDEP.AS,EQ,
Stellantis NV,ConsumerDisc,STLAM.AS,EQ,
Just Eat Takeaway,ConsumerDisc,TKWY.AS,EQ,
Prosus NV,Technology,PRX.AS,EQ,
Universal Music Group,CommServices,UMG.AS,EQ,
ASM International,Technology,ASM.AS,EQ,
Exor NV,Financials,EXO.AS,EQ,
Ahold Delhaize,Consumer Staples,AD.AS,EQ,
Aperam,Materials,APAM.AS,EQ,
Galapagos,Healthcare,GLPG.AS,EQ,
Pharming Group,Healthcare,PHARM.AS,EQ,
Arcadis,Industrials,ARCAD.AS,EQ,
BAM Groep,Industrials,BAMNB.AS,EQ,
Heijmans,Industrials,HEIJM.AS,EQ,
Brunel International,Industrials,BRNL.AS,EQ,
Accsys Technologies,Materials,AXS.AS,EQ,
Sligro Food Group,Consumer Staples,SLIGR.AS,EQ,
Wereldhave,RealEstate,WHA.AS,EQ,
NSI NV,RealEstate,NSI.AS,EQ,
Kendrion,Industrials,KENDR.AS,EQ,
Nedap,Technology,NEDAP.AS,EQ,
Avantium,Materials,AVTX.AS,EQ,
