Company Name,Industry,Symbol,Series,ISIN Code
ASML Holding NV,Technology,ASML.AS,EQ,
Shell Plc,Energy,SHELL.AS,EQ,
Unilever PLC,Consumer Staples,UNA.AS,EQ,
Prosus N.V. Class N,Technology,PRX.AS,EQ,
ING Groep N.V.,Financials,INGA.AS,EQ,
RELX PLC,Industrials,REN.AS,EQ,
ArcelorMittal SA,Materials,MT.AS,EQ,
ASM International N.V.,Industrials,ASM.AS,EQ,
Ferrovial N.V.,Industrials,FER.AS,EQ,
Heineken NV,Consumer Staples,HEIA.AS,EQ,
Coca-Cola Europacific Partners plc,Consumer Staples,CCEP.AS,EQ,
Universal Music Group N.V.,Industrials,UMG.AS,EQ,
Koninklijke Ahold Delhaize N.V.,Consumer Discretionary,AD.AS,EQ,
ABN AMRO Bank N.V. Depositary receipts,Financials,ABN.AS,EQ,
Adyen NV,Industrials,ADYEN.AS,EQ,
Koninklijke Philips N.V.,Health Care,PHIA.AS,EQ,
BE Semiconductor Industries N.V.,Industrials,BESI.AS,EQ,
EXOR N.V.,Financials,EXO.AS,EQ,
NN Group N.V.,Financials,NN.AS,EQ,
Heineken Holding N.V.,Consumer Staples,HEIO.AS,EQ,
Royal KPN NV,Communication Services,KPN.AS,EQ,
DSM-Firmenich AG,Consumer Staples,DSFIR.AS,EQ,
HAL Trust,Financials,HAL.AS,EQ,
CSG N.V.,Technology,CSG.AS,EQ,
Wolters Kluwer N.V.,Technology,WKL.AS,EQ,
CVC Capital Partners plc,Financials,CVC.AS,EQ,
ASR Nederland N.V.,Financials,ASRNL.AS,EQ,
Aegon Ltd.,Financials,AGN.AS,EQ,
Akzo Nobel N.V.,Materials,AKZA.AS,EQ,
Magnum Ice Cream Co. N.V.,Consumer Staples,MICC.AS,EQ,
InPost S.A.,Technology,INPST.AS,EQ,
CTP N.V.,Financials,CTPNV.AS,EQ,
SBM Offshore NV,Industrials,SBMO.AS,EQ,
IMCD N.V.,Industrials,IMCD.AS,EQ,
NEPI Rockcastle N.V.,Financials,NRP.AS,EQ,
Allfunds Group plc,Financials,ALLFG.AS,EQ,
Royal Vopak NV,Industrials,VPK.AS,EQ,
Randstad NV,Industrials,RAND.AS,EQ,
Reinet Investments S.C.A.,Financials,REINA.AS,EQ,
Aalberts N.V.,Industrials,AALB.AS,EQ,
Banijay Group N.V. Class A,Consumer Discretionary,BNJ.AS,EQ,
Aperam S.A.,Materials,APAM.AS,EQ,
Arcadis NV,Industrials,ARCAD.AS,EQ,
Koninklijke BAM Groep NV,Industrials,BAMNB.AS,EQ,
Koninklijke Heijmans N.V.,Industrials,HEIJM.AS,EQ,
Van Lanschot Kempen NV cert. of shs,Financials,VLK.AS,EQ,
COLT CZ GROUP SE,Technology,COLT.AS,EQ,
Signify NV,Industrials,LIGHT.AS,EQ,
Theon International Plc,Consumer Discretionary,THEON.AS,EQ,
Basic-Fit NV,Consumer Discretionary,BFIT.AS,EQ,
TKH Group N.V. Cert,Industrials,TWEKA.AS,EQ,
Havas NV,Industrials,HAVAS.AS,EQ,
Lakefront Biotherapeutics,Health Care,LKFT.AS,EQ,
Eurocommercial Properties NV,Financials,ECMPA.AS,EQ,
Fugro NV,Industrials,FUR.AS,EQ,
AMG Critical Materials N.V.,Materials,AMG.AS,EQ,
Corbion NV,Consumer Staples,CRBN.AS,EQ,
Flow Traders Ltd,Financials,FLOW.AS,EQ,
Wereldhave N.V.,Financials,WHA.AS,EQ,
Tetragon Financial Group Limited,Industrials,TFG.AS,EQ,
Pharming Group NV,Health Care,PHARM.AS,EQ,
OCI NV,Materials,OCI.AS,EQ,
Ferrari Group PLC,Industrials,FERGR.AS,EQ,
Fastned BV Shs Depositary Receipt 1 Shs,Consumer Discretionary,FAST.AS,EQ,
Acomo N.V.,Industrials,ACOMO.AS,EQ,
TomTom NV,Technology,TOM2.AS,EQ,
Nedap N.V,Technology,NEDAP.AS,EQ,
Sligro Food Group N.V.,Consumer Discretionary,SLIGR.AS,EQ,
ForFarmers NV,Materials,FFARM.AS,EQ,
PostNL NV,Industrials,PNL.AS,EQ,
Brunel International N.V.,Industrials,BRNL.AS,EQ,
Alfen NV,Industrials,ALFEN.AS,EQ,
NSI NV,Financials,NSI.AS,EQ,
Kendrion N.V.,Industrials,KENDR.AS,EQ,
Hydratec Industries NV,Industrials,HYDRA.AS,EQ,
Envipco Holding N.V.,Industrials,ENVI.AS,EQ,
CM.com N.V.,Technology,CMCOM.AS,EQ,
Avantium N.V.,Industrials,AVTX.AS,EQ,
Accsys Technologies PLC,Materials,AXS.AS,EQ,
Volta Finance Limited,Industrials,VTA.AS,EQ,
Sif Holding N.V.,Industrials,SIFG.AS,EQ,
AFC Ajax N.V.,Consumer Discretionary,AJAX.AS,EQ,
NX Filtration N.V.,Industrials,NXFIL.AS,EQ,
