Company Name,Industry,Symbol,Series,ISIN Code
ING Groep N.V.,Financials,INGA.AS,EQ,
ABN AMRO Bank N.V. Depositary receipts,Financials,ABN.AS,EQ,
EXOR N.V.,Financials,EXO.AS,EQ,
NN Group N.V.,Financials,NN.AS,EQ,
HAL Trust,Financials,HAL.AS,EQ,
CVC Capital Partners plc,Financials,CVC.AS,EQ,
ASR Nederland N.V.,Financials,ASRNL.AS,EQ,
Aegon Ltd.,Financials,AGN.AS,EQ,
CTP N.V.,Financials,CTPNV.AS,EQ,
NEPI Rockcastle N.V.,Financials,NRP.AS,EQ,
Allfunds Group plc,Financials,ALLFG.AS,EQ,
Reinet Investments S.C.A.,Financials,REINA.AS,EQ,
Van Lanschot Kempen NV cert. of shs,Financials,VLK.AS,EQ,
Eurocommercial Properties NV,Financials,ECMPA.AS,EQ,
Flow Traders Ltd,Financials,FLOW.AS,EQ,
Wereldhave N.V.,Financials,WHA.AS,EQ,
NSI NV,Financials,NSI.AS,EQ,
Azerion Group N.V,Financials,AZRN.AS,EQ,
Morefield Group N.V.,Financials,MORE.AS,EQ,
Cabka N.V.,Financials,CABKA.AS,EQ,
N.V. Bever Holding,Financials,BEVER.AS,EQ,
New Amsterdam Invest NV,Financials,NAI.AS,EQ,
PB Holding NV,Financials,PBH.AS,EQ,
Eurocastle Investment Limited,Financials,ECT.AS,EQ,
TRIODOS BANK NV Depositary Receipt,Financials,TRIO.AS,EQ,
