Company Name,Industry,Symbol,Series,ISIN Code
Ferrovial N.V.,Industrials,FER.AS,EQ,NL0015001FS8
Vopak NV,Industrials,VPK.AS,EQ,NL0009432491
Randstad,Industrials,RAND.AS,EQ,NL0000379121
Aalberts Industries,Industrials,AALB.AS,EQ,NL0000852564
Koninklijke BAM Groep NV,Industrials,BAMNB.AS,EQ,NL0000337319
Heijmans,Industrials,HEIJM.AS,EQ,NL0009269109
Arcadis NV,Industrials,ARCAD.AS,EQ,NL0006237562
Signify NV,Industrials,LIGHT.AS,EQ,NL0011821392
TKH Group,Industrials,TWEKA.AS,EQ,NL0000852523
Havas NV,Industrials,HAVAS.AS,EQ,NL0015002K83
Fugro NV,Industrials,FUR.AS,EQ,NL00150003E1
Acomo N.V.,Industrials,ACOMO.AS,EQ,NL0000313286
PostNL NV,Industrials,PNL.AS,EQ,NL0009739416
Brunel International NV,Industrials,BRNL.AS,EQ,NL0010776944
Kendrion NV,Industrials,KENDR.AS,EQ,NL0000852531
Alfen NV,Industrials,ALFEN.AS,EQ,NL0012817175
Hydratec Industries NV,Industrials,HYDRA.AS,EQ,NL0009391242
Envipco Holding N.V.,Industrials,ENVI.AS,EQ,NL0015000GX8
Sif Holding N.V.,Industrials,SIFG.AS,EQ,NL0011660485
NX Filtration N.V.,Industrials,NXFIL.AS,EQ,NL0015000D50
Ebusco Holding N.V.,Industrials,EBUS.AS,EQ,NL0015002AG2
Vivoryon Therapeutics N.V.,Industrials,VVY.AS,EQ,NL00150002Q7
Almunda Professionals N.V.,Industrials,AMUND.AS,EQ,NL0010696704
GREEN EARTH GROUP N.V.,Industrials,EARTH.AS,EQ,NL0009169515
Ease2pay N.V.,Industrials,EAS2P.AS,EQ,NL0000345627
Airbus SE,Industrials,AIR.AS,EQ,
Inpost SA,Industrials,INPST.AS,EQ,
Boskalis Westminster NV,Industrials,BOKA.AS,EQ,
Koninklijke TenCate NV,Industrials,KC.AS,EQ,
