Company Name,Industry,Symbol,Series,ISIN Code
PKN Orlen,Energy,PKN.WA,EQ,PLPKN0000018
PKO Bank Polski,Financials,PKO.WA,EQ,PLPKO0000016
KGHM Polska Miedz,Materials,KGH.WA,EQ,PLKGHM000017
Erste Bank Polska S.A.,Financials,EBP.WA,EQ,PLBZ00000044
ING Bank Slaski,Financials,ING.WA,EQ,PLBSK0000017
mBank,Financials,MBK.WA,EQ,PLBRE0000012
Bank Pekao,Financials,PEO.WA,EQ,PLPEKAO00016
PZU,Financials,PZU.WA,EQ,PLPZU0000011
LPP,Consumer Discretionary,LPP.WA,EQ,PLLPP0000011
Dino Polska,Consumer Staples,DNP.WA,EQ,PLDINPL00011
Bank Millennium,Financials,MIL.WA,EQ,PLBIG0000016
BNP Paribas Bank Polska S.A.,Financials,BNP.WA,EQ,PLBGZ0000010
PGE Polska Grupa,Utilities,PGE.WA,EQ,PLPGER000010
CD Projekt,Technology,CDR.WA,EQ,PLOPTTC00011
Orange Polska,Communication Services,OPL.WA,EQ,PLTLKPL00017
Alior Bank,Financials,ALR.WA,EQ,PLALIOR00045
Budimex,Industrials,BDX.WA,EQ,PLBUDMX00013
Tauron Polska Energia,Utilities,TPE.WA,EQ,PLTAURN00011
Bank Handlowy w Warszawie S.A.,Financials,BHW.WA,EQ,PLBH00000012
Benefit Systems,Consumer Discretionary,BFT.WA,EQ,PLBNFTS00018
Asseco Poland,Technology,ACP.WA,EQ,PLSOFTB00016
XTB,Financials,XTB.WA,EQ,PLXTRDM00011
Energa SA,Utilities,ENG.WA,EQ,PLENERG00022
Grupa Kety,Materials,KTY.WA,EQ,PLKETY000011
Inter Cars,Consumer Discretionary,CAR.WA,EQ,PLINTCS00010
Enea,Utilities,ENA.WA,EQ,PLENEA000013
Cyfrowy Polsat,Communication Services,CPS.WA,EQ,PLCFRPT00013
Kruk,Financials,KRU.WA,EQ,PLKRK0000010
Modivo S.A.,Consumer Discretionary,MDV.WA,EQ,PLCCC0000016
Dom Development,Real Estate,DOM.WA,EQ,PLDMDVL00012
Diagnostyka S.A.,Health Care,DIA.WA,EQ,PLDGNST00012
Develia,Real Estate,DVL.WA,EQ,PLLCCRP00017
Polenergia S.A.,Utilities,PEP.WA,EQ,PLPLSEP00013
Newag S.A.,Industrials,NWG.WA,EQ,PLNEWAG00012
Warsaw Stock Exchange (GPW),Financials,GPW.WA,EQ,PLGPW0000017
Auto Partner,Consumer Discretionary,APR.WA,EQ,PLATPRT00018
Neuca,Health Care,NEU.WA,EQ,PLTRFRM00018
Asseco South Eastern Europe S.A.,Technology,ASE.WA,EQ,PLASSEE00014
Grupa Pracuj S.A.,Industrials,GPP.WA,EQ,PLGRPRC00015
Archicom S.A.,Real Estate,ARH.WA,EQ,PLARHCM00016
Asseco Business Solutions S.A.,Technology,ABS.WA,EQ,PLABS0000018
Jastrzebska Spolka,Energy,JSW.WA,EQ,PLJSW0000015
Cyber_Folks S.A.,Technology,CBF.WA,EQ,PLR220000018
Atal S.A.,Real Estate,1AT.WA,EQ,PLATAL000046
MLP Group S.A.,Real Estate,MLG.WA,EQ,PLMLPGR00017
Vercom S.A.,Technology,VRC.WA,EQ,PLVRCM000016
Creotech Instruments S.A.,Industrials,CRI.WA,EQ,PLCRTCH00017
Synektik Spólka Akcyjna,Health Care,SNT.WA,EQ,PLSNKTK00019
Lubawa S.A.,Industrials,LBW.WA,EQ,PLLUBAW00013
AB S.A.,Technology,ABE.WA,EQ,PLAB00000019
Rainbow Tours S.A.,Consumer Discretionary,RBW.WA,EQ,PLRNBWT00031
Echo Investment,Real Estate,ECH.WA,EQ,PLECHPS00019
Grupa Azoty,Materials,ATT.WA,EQ,PLZATRM00012
Mennica Polska S.A.,Industrials,MNC.WA,EQ,PLMNNCP00011
NIEWIADOW,Communication Services,GNS.WA,EQ,PLVNTCP00019
Polimex-Mostostal S.A.,Industrials,PXM.WA,EQ,PLMSTSD00019
GRENEVIA Spolka Akcyjna,Industrials,GEA.WA,EQ,PLFAMUR00012
Wirtualna Polska,Communication Services,WPL.WA,EQ,PLWRTPL00027
Comp S.A.,Technology,CMP.WA,EQ,PLCMP0000017
Sygnity S.A.,Technology,SGN.WA,EQ,PLCMPLD00016
Murapol S.A.,Consumer Discretionary,MUR.WA,EQ,PLMURPL00190
Torpol S.A.,Industrials,TOR.WA,EQ,PLTORPL00016
PlayWay S.A.,Communication Services,PLW.WA,EQ,PLPLAYW00015
Trakcja S.A.,Industrials,TRK.WA,EQ,PLTRKPL00014
MCI Capital Alternatywna Spólka Inwestycyjna S.A.,Financials,MCI.WA,EQ,PLMCIMG00012
Cognor Holding S.A.,Materials,COG.WA,EQ,PLCNTSL00014
Tarczynski S.A.,Consumer Staples,TAR.WA,EQ,PLTRCZN00016
PCC Rokita SA,Materials,PCR.WA,EQ,PLPCCRK00076
Unimot S.A.,Consumer Discretionary,UNT.WA,EQ,PLUNMOT00013
GTC,Real Estate,GTC.WA,EQ,PLGTC0000037
VRG S.A.,Consumer Discretionary,VRG.WA,EQ,PLVSTLA00011
Mo-BRUK S.A.,Industrials,MBR.WA,EQ,PLMOBRK00013
Tire Company Debica S.A.,Consumer Discretionary,DBC.WA,EQ,PLDEBCA00016
Voxel S.A.,Health Care,VOX.WA,EQ,PLVOXEL00014
Stalprodukt S.A.,Materials,STP.WA,EQ,PLSTLPD00017
