Company Name,Industry,Symbol,Series,ISIN Code
Orange Polska,Communication Services,OPL.WA,EQ,PLTLKPL00017
Cyfrowy Polsat,Communication Services,CPS.WA,EQ,PLCFRPT00013
NIEWIADOW,Communication Services,GNS.WA,EQ,PLVNTCP00019
Wirtualna Polska,Communication Services,WPL.WA,EQ,PLWRTPL00027
PlayWay S.A.,Communication Services,PLW.WA,EQ,PLPLAYW00015
Digital Network SA,Communication Services,DIG.WA,EQ,PL4FNMD00013
CI Games SE,Communication Services,CIG.WA,EQ,PLCTINT00018
Wasko S.A.,Communication Services,WAS.WA,EQ,PLHOGA000041
BLOOBER,Communication Services,BLO.WA,EQ,PLBLOBR00014
Agora S.A.,Communication Services,AGO.WA,EQ,PLAGORA00067
Kino Polska TV Spolka Akcyjna,Communication Services,KPL.WA,EQ,PLKNOPL00014
Creepy Jar S.A.,Communication Services,CRJ.WA,EQ,PLCRPJR00019
11 bit studios S.A.,Communication Services,11B.WA,EQ,PL11BTS00015
ATM Grupa S.A.,Communication Services,ATG.WA,EQ,PLATM0000021
Artifex Mundi S.A.,Communication Services,ART.WA,EQ,PLARTFX00011
PTWP,Communication Services,PTW.WA,EQ,PLPTWP000015
ONEMORE,Communication Services,OML.WA,EQ,PLLSRMD00018
PCF Group Spólka Akcyjna,Communication Services,PCF.WA,EQ,PLPCFGR00010
Eurotel S.A.,Communication Services,ETL.WA,EQ,PLERTEL00011
Games Operators S.A.,Communication Services,GOP.WA,EQ,PLGMSOP00019
BoomBit S.A.,Communication Services,BBT.WA,EQ,PLBMBIT00010
Ultimate Games S.A.,Communication Services,ULG.WA,EQ,PLULTGM00013
RENDER,Communication Services,RND.WA,EQ,PLRNDCB00011
IMS S.A.,Communication Services,IMS.WA,EQ,PLINTMS00019
All in! Games S.A.,Communication Services,ALG.WA,EQ,PLSNTFG00017
Vivid Games S.A.,Communication Services,VVD.WA,EQ,PLVVDGM00014
Larq S.A.,Communication Services,LRQ.WA,EQ,PLCAMMD00032
Digitree Group S.A.,Communication Services,DTR.WA,EQ,PLSARE000013
Muza S.A.,Communication Services,MZA.WA,EQ,PLMUZA000019
Gaming Factory S.A.,Communication Services,GIF.WA,EQ,PLGMNGF00017
DRAGO entertainment Spólka Akcyjna,Communication Services,DGE.WA,EQ,PLDRG0000013
Comperia.pl S.A.,Communication Services,CPL.WA,EQ,PLCOMPR00010
Movie Games S.A.,Communication Services,MOV.WA,EQ,PLMVGMS00011
PMPG Polskie Media SA,Communication Services,PGM.WA,EQ,PLPEKPL00010
Big Cheese Studio Spolka Akcyjna,Communication Services,BCS.WA,EQ,PLA340200015
SimFabric S.A.,Communication Services,SIM.WA,EQ,PLSMFBC00016
Telestrada S.A.,Communication Services,TLS.WA,EQ,PLTLSTD00019
FOOTHILLS S.A.,Communication Services,FTL.WA,EQ,PLTLCMD00018
Przedsiebiorstwo Telekomunikacyjne Telgam S.A.,Communication Services,TLG.WA,EQ,PLPTLTG00018
ECL S.A.,Communication Services,ECL.WA,EQ,PLESCLL00010
Korbank S.A.,Communication Services,KOR.WA,EQ,PLKRBNK00019
ALPHABET,Communication Services,GOGL.WA,EQ,
META,Communication Services,META.WA,EQ,
NETFLIX,Communication Services,NFLX.WA,EQ,
TAKETWO,Communication Services,TTWO.WA,EQ,
Huuuge Inc.,Communication Services,HUG.WA,EQ,
