Company Name,Industry,Symbol,Series,ISIN Code
PKO Bank Polski,Financials,PKO.WA,EQ,PLPKO0000016
Erste Bank Polska S.A.,Financials,EBP.WA,EQ,PLBZ00000044
ING Bank Slaski,Financials,ING.WA,EQ,PLBSK0000017
mBank,Financials,MBK.WA,EQ,PLBRE0000012
Bank Pekao,Financials,PEO.WA,EQ,PLPEKAO00016
PZU,Financials,PZU.WA,EQ,PLPZU0000011
Bank Millennium,Financials,MIL.WA,EQ,PLBIG0000016
BNP Paribas Bank Polska S.A.,Financials,BNP.WA,EQ,PLBGZ0000010
Alior Bank,Financials,ALR.WA,EQ,PLALIOR00045
Bank Handlowy w Warszawie S.A.,Financials,BHW.WA,EQ,PLBH00000012
XTB,Financials,XTB.WA,EQ,PLXTRDM00011
Kruk,Financials,KRU.WA,EQ,PLKRK0000010
Warsaw Stock Exchange (GPW),Financials,GPW.WA,EQ,PLGPW0000017
MCI Capital Alternatywna Spólka Inwestycyjna S.A.,Financials,MCI.WA,EQ,PLMCIMG00012
BEST S.A.,Financials,BST.WA,EQ,PLBEST000010
Bank Ochrony Srodowiska S.A.,Financials,BOS.WA,EQ,PLBOS0000019
Quercus TFI S.A.,Financials,QRS.WA,EQ,PLQRCUS00012
Grupa Kapitalowa IMMOBILE S.A.,Financials,GKI.WA,EQ,PLMAKRM00019
Skarbiec Holding S.A.,Financials,SKH.WA,EQ,PLSKRBH00014
JRH,Financials,JRH.WA,EQ,PLJRINV00013
IPOPEMA Securities S.A.,Financials,IPE.WA,EQ,PLIPOPM00011
Altus S.A.,Financials,ALI.WA,EQ,PLATTFI00018
REINO Capital S.A.,Financials,RNC.WA,EQ,PLWDM0000029
Grupa Virtus Spolka Akcyjna,Financials,GVT.WA,EQ,PLIQPRT00017
Getin Holding S.A.,Financials,GTN.WA,EQ,PLGSPR000014
Caspar Asset Management S.A.,Financials,CSR.WA,EQ,PLCSPAM00017
Capital Partners S.A.,Financials,CPA.WA,EQ,PLCPTLP00015
Capitea S.A.,Financials,CAP.WA,EQ,PLGTBCK00297
Skyline Investment S.A.,Financials,SKL.WA,EQ,PLSKLNW00011
Magna Polonia S.A.,Financials,06N.WA,EQ,PLNFI0600010
Unfold.vc ASI S.A.,Financials,UNF.WA,EQ,PLVNTIN00011
Soho Development S.A.,Financials,SHD.WA,EQ,PLNFI0400015
Alta S.A.,Financials,AAT.WA,EQ,PLTRNSU00013
INC S.A.,Financials,INC.WA,EQ,PLINCLT00015
Novavis Group S.A.,Financials,NVG.WA,EQ,PLNFI0500012
Wise Energy S.A.,Financials,FMG.WA,EQ,PLTHP0000011
IDM Spólka Akcyjna,Financials,IDM.WA,EQ,PLIDMSA00044
Imperio Alternatywna Spolka Inwestycyjna S.A.,Financials,IMP.WA,EQ,PLNFI0700018
Pragma Inkaso S.A.,Financials,PRI.WA,EQ,PLPRGNK00017
PBS Finanse S.A.,Financials,PBF.WA,EQ,PLBEFSN00010
M.W. Trade SA,Financials,MWT.WA,EQ,PLMWTRD00013
New Tech Capital S.A.,Financials,NTC.WA,EQ,PLECMNG00019
Tower Investments SA,Financials,TOW.WA,EQ,PLTWRNV00013
Europejskie Centrum Odszkodowan S.A.,Financials,EUC.WA,EQ,PLERPCO00017
IndygoTech Minerals SA,Financials,IDG.WA,EQ,PLLSTIA00018
GRUPA KLEPSYDRA Spolka Akcyjna,Financials,KLE.WA,EQ,PLMRTIN00011
Prime Alternatywna Spolka Inwestycyjna Spolka Akcyjna,Financials,PRA.WA,EQ,PLRKLMF00010
Arts Alliance GK SA,Financials,AAS.WA,EQ,PLMIDVN00017
Fundusz Hipoteczny DOM SA,Financials,FHD.WA,EQ,PLFHDOM00010
Quart Development SA,Financials,QRT.WA,EQ,PLQRTDV00016
Analizy Online S.A.,Financials,AOL.WA,EQ,PLONLIN00013
MEDCAMP S.A.,Financials,MDP.WA,EQ,PLTCHPR00019
M FOOD S.A.,Financials,MFD.WA,EQ,PLMDVLP00016
Black Pearl SA,Financials,BPC.WA,EQ,PLBLKPC00014
Fintech SA,Financials,FTH.WA,EQ,PLJRSDB00015
Novina Spolka Akcyjna,Financials,NOV.WA,EQ,PLBABY000016
ENERGY S.A.,Financials,EGY.WA,EQ,PLVGUAR00011
Letus Capital S.A.,Financials,LET.WA,EQ,PLGDVIS00018
New Tech Venture S.A.,Financials,NTV.WA,EQ,PLSTCKI00016
Wierzyciel S.A.,Financials,WRL.WA,EQ,PLWRZCL00014
