Company Name,Industry,Symbol,Series,ISIN Code
Diagnostyka S.A.,Health Care,DIA.WA,EQ,PLDGNST00012
Neuca,Health Care,NEU.WA,EQ,PLTRFRM00018
Synektik Spólka Akcyjna,Health Care,SNT.WA,EQ,PLSNKTK00019
Voxel S.A.,Health Care,VOX.WA,EQ,PLVOXEL00014
Celon Pharma S.A.,Health Care,CLN.WA,EQ,PLCLNPH00015
Medinice S.A.,Health Care,ICE.WA,EQ,PLMDNCE00016
Selvita,Health Care,SLV.WA,EQ,PLSLVCR00029
Centrum Medyczne ENEL-MED S.A.,Health Care,ENE.WA,EQ,PLENLMD00017
Captor Therapeutics Spolka Akcyjna,Health Care,CTX.WA,EQ,PLCPTRT00014
Bioceltix S.A.,Health Care,BCX.WA,EQ,PLBCLTX00019
Mercator Medical,Health Care,MRC.WA,EQ,PLMRCTR00015
Scope Fluidics S.A.,Health Care,SCP.WA,EQ,PLSCPFL00018
Ryvu Therapeutics S.A.,Health Care,RVU.WA,EQ,PLSELVT00013
BIOTON S.A.,Health Care,BIO.WA,EQ,PLBIOTN00029
Medicalgorithmics S.A.,Health Care,MDG.WA,EQ,PLMDCLG00015
Synthaverse S.A.,Health Care,SVE.WA,EQ,PLBMDLB00018
Molecure S.A.,Health Care,MOC.WA,EQ,PLONCTH00011
Mabion S.A.,Health Care,MAB.WA,EQ,PLMBION00016
Poltreg S.A.,Health Care,PTG.WA,EQ,PLPLTRG00038
NanoGroup S.A.,Health Care,NNG.WA,EQ,PLNNGRP00011
Genomtec S.A.,Health Care,GMT.WA,EQ,PLGNMTC00017
Urteste S.A.,Health Care,URT.WA,EQ,PLURTST00010
BioMaxima S.A.,Health Care,BMX.WA,EQ,PLBIOMX00015
Pharmena S.A.,Health Care,PHR.WA,EQ,PLPHRMN00011
Airway Medix S.A.,Health Care,AWM.WA,EQ,PLAIRWY00017
Pure Biologics S.A.,Health Care,PUR.WA,EQ,PLPRBLG00010
Adiuvo Investments S.A.,Health Care,ADV.WA,EQ,PLADVIV00015
Syn2bio S.A.,Health Care,S2B.WA,EQ,PLSNBIO00013
Read-Gene SA,Health Care,RDG.WA,EQ,PLRADGN00014
MedTech Solutions S.A.,Health Care,MDT.WA,EQ,PLCCHT000014
Biogened SA,Health Care,BGD.WA,EQ,PLBIOGN00018
Genomed S.A.,Health Care,GEN.WA,EQ,PLGNOMD00024
Medicofarma Biotech Spolka Akcyjna,Health Care,MDB.WA,EQ,PLINBOK00010
Grupa Modne Zakupy S.A.,Health Care,GMZ.WA,EQ,PLINFSC00019
genXone SA,Health Care,GX1.WA,EQ,PLGENXN00013
Zortrax SA,Health Care,ZRX.WA,EQ,PLCRLNS00018
Cannabis Poland SA,Health Care,CBD.WA,EQ,PLBLOCM00013
SYNERGA.fund SA,Health Care,SNG.WA,EQ,PLMWTNS00010
EKO-OZE SA,Health Care,EKE.WA,EQ,PLDNTMD00012
Telemedycyna Polska S.A.,Health Care,TMP.WA,EQ,PLTLMDC00018
Euroinvestment SA,Health Care,VIV.WA,EQ,PLVRTLV00019
Private Rented Sector S.A.,Health Care,RNT.WA,EQ,PLGURDR00013
Stem Cells Spin SA,Health Care,SCS.WA,EQ,PLSTCLS00013
Green Zebras SA,Health Care,GRZ.WA,EQ,PLGRNZB00015
Constance Care SA,Health Care,CCR.WA,EQ,PLCNSTC00013
Kombinat Konopny SA,Health Care,KMB.WA,EQ,PLKMBKN00010
MILTON ESSEX S.A.,Health Care,MTN.WA,EQ,PLMLTNE00013
ELILILLY,Health Care,LILY.WA,EQ,
NVONORDSK,Health Care,NVO.WA,EQ,
Bayer Aktiengesellschaft,Health Care,BAY.WA,EQ,
Krka d. d.,Health Care,KRK.WA,EQ,
Sopharma AD,Health Care,SPH.WA,EQ,
