Company Name,Industry,Symbol,Series,ISIN Code
Budimex,Industrials,BDX.WA,EQ,PLBUDMX00013
Newag S.A.,Industrials,NWG.WA,EQ,PLNEWAG00012
Grupa Pracuj S.A.,Industrials,GPP.WA,EQ,PLGRPRC00015
Creotech Instruments S.A.,Industrials,CRI.WA,EQ,PLCRTCH00017
Lubawa S.A.,Industrials,LBW.WA,EQ,PLLUBAW00013
Mennica Polska S.A.,Industrials,MNC.WA,EQ,PLMNNCP00011
Polimex-Mostostal S.A.,Industrials,PXM.WA,EQ,PLMSTSD00019
GRENEVIA Spolka Akcyjna,Industrials,GEA.WA,EQ,PLFAMUR00012
Torpol S.A.,Industrials,TOR.WA,EQ,PLTORPL00016
Trakcja S.A.,Industrials,TRK.WA,EQ,PLTRKPL00014
Mo-BRUK S.A.,Industrials,MBR.WA,EQ,PLMOBRK00013
Mirbud S.A.,Industrials,MRB.WA,EQ,PLMRBUD00015
Enter Air S.A.,Industrials,ENT.WA,EQ,PLENTER00017
Apator S.A.,Industrials,APT.WA,EQ,PLAPATR00018
FERRO S.A.,Industrials,FRO.WA,EQ,PLFERRO00016
Orzel Bialy S.A.,Industrials,OBL.WA,EQ,PLORZBL00013
TOYA S.A.,Industrials,TOA.WA,EQ,PLTOYA000011
Dekpol S.A.,Industrials,DEK.WA,EQ,PLDEKPL00032
Fabryka Obrabiarek RAFAMET S.A.,Industrials,RAF.WA,EQ,PLRFMET00016
Stalexport Autostrady S.A.,Industrials,STX.WA,EQ,PLSTLEX00019
Votum S.A.,Industrials,VOT.WA,EQ,PLVOTUM00016
Elektrotim S.A.,Industrials,ELT.WA,EQ,PLELEKT00016
Atrem S.A.,Industrials,ATR.WA,EQ,PLATREM00017
Pkp Cargo S.A.,Industrials,PKP.WA,EQ,PLPKPCR00011
Mangata Holding S.A.,Industrials,MGT.WA,EQ,PLZTKMA00017
Onde S.A.,Industrials,OND.WA,EQ,PLONDE000018
Odlewnie Polskie S.A.,Industrials,ODL.WA,EQ,PLODLPL00013
Wielton S.A.,Industrials,WLT.WA,EQ,PLWELTN00012
Mostostal Zabrze S.A.,Industrials,MSZ.WA,EQ,PLMSTZB00018
Rawlplug S.A.,Industrials,RWL.WA,EQ,PLKLNR000017
UNIBEP S.A.,Industrials,UNI.WA,EQ,PLUNBEP00015
Equnico SE,Industrials,EQU.WA,EQ,PLRESBD00032
CFI Holding S.A.,Industrials,CFI.WA,EQ,PLINTKS00013
Seco/Warwick S.A.,Industrials,SWG.WA,EQ,PLWRWCK00013
ULMA Construccion Polska S.A.,Industrials,ULM.WA,EQ,PLBAUMA00017
Erbud S.A.,Industrials,ERB.WA,EQ,PLERBUD00012
Lentex S.A.,Industrials,LTX.WA,EQ,PLLENTX00010
ZUE S.A.,Industrials,ZUE.WA,EQ,PLZUE0000015
Instal Kraków S.A.,Industrials,INK.WA,EQ,PLINSTK00013
Pekabex S.A.,Industrials,PBX.WA,EQ,PLPKBEX00072
mcr Spolka Akcyjna,Industrials,MCR.WA,EQ,PLMRCOR00016
Trans Polonia S.A.,Industrials,TRN.WA,EQ,PLTRNSP00013
OT Logistics S.A.,Industrials,OTS.WA,EQ,PLODRTS00017
MFO S.A.,Industrials,MFO.WA,EQ,PLMFO0000013
Gielda Praw Majatkowych Vindexus Spolka Akcyjna,Industrials,VIN.WA,EQ,PLVNDEX00013
Feerum S.A.,Industrials,FEE.WA,EQ,PLFEERM00018
Stalprofil S.A.,Industrials,STF.WA,EQ,PLSTLPF00012
P.A. Nova S.A.,Industrials,NVA.WA,EQ,PLPANVA00013
APS Energia SA,Industrials,APE.WA,EQ,PLAPSEN00011
PJP Makrum S.A.,Industrials,PJP.WA,EQ,PLPROJP00018
Patentus S.A.,Industrials,PAT.WA,EQ,PLPTNTS00019
Mostostal Warszawa S.A.,Industrials,MSW.WA,EQ,PLMSTWS00019
Energoaparatura SA,Industrials,ENP.WA,EQ,PLENAP000010
Libet S.A.,Industrials,LBT.WA,EQ,PLLBT0000013
Lena Lighting S.A.,Industrials,LEN.WA,EQ,PLLENAL00015
Compremum S.A.,Industrials,CPR.WA,EQ,PLPZBDT00013
Relpol S.A.,Industrials,RLP.WA,EQ,PLRELPL00014
PGF Polska Grupa Fotowoltaiczna SA,Industrials,PGV.WA,EQ,PLZSTAL00012
Herkules S.A.,Industrials,HRS.WA,EQ,PLZRWZW00012
Fabryki Sprzetu i Narzedzi Górniczych Grupa Kapitalowa FASING S.A.,Industrials,FSG.WA,EQ,PLFSING00010
Energoinstal S.A.,Industrials,ENI.WA,EQ,PLERGIN00015
Remak-Energomontaz S.A.,Industrials,RMK.WA,EQ,PLREMAK00016
Prochem S.A.,Industrials,PRM.WA,EQ,PLPRCHM00014
JWW Invest S.A.,Industrials,JWW.WA,EQ,PLJWWNT00018
"Zaklady Urzadzen Kotlowych ""Staporków"" S.A.",Industrials,ZUK.WA,EQ,PLSTPRK00019
DB Energy S.A.,Industrials,DBE.WA,EQ,PLDBENR00017
DGA Spólka Akcyjna,Industrials,DGA.WA,EQ,PLDGA0000019
Mostostal Plock S.A.,Industrials,MSP.WA,EQ,PLMSTPL00018
Interbud-Lublin S.A.,Industrials,ITB.WA,EQ,PLINTBD00014
ASM Group S.A.,Industrials,ASM.WA,EQ,PLASMGR00014
MOJ S.A.,Industrials,MOJ.WA,EQ,PLMOJ0000015
PBG S.A.,Industrials,PBG.WA,EQ,PLPBG0000029
Redan SA,Industrials,RDN.WA,EQ,PLREDAN00019
Fast Finance S.A.,Industrials,FFI.WA,EQ,PLFSTFC00012
CRQUANTUM,Industrials,CRQ.WA,EQ,PLCTHQM00018
FARMY FOTOWOLTAIKI POLSKA S.A,Industrials,FFP.WA,EQ,PLGTRMP00010
ONICO S.A.,Industrials,ONC.WA,EQ,PLONCTR00028
ELQ Spolka Akcyjna,Industrials,ELQ.WA,EQ,PLIPOSA00010
Hortico SA,Industrials,HOR.WA,EQ,PLHRTIC00014
Adatex S.A.,Industrials,ADX.WA,EQ,PLPIK0000018
M4B S.A.,Industrials,M4B.WA,EQ,PLM4B0000017
EKOPARK S.A.,Industrials,EPR.WA,EQ,PLPRIPK00018
HyEnergy Spolka Akcyjna,Industrials,HEN.WA,EQ,PLINNGN00015
ATC Cargo S.A.,Industrials,ATA.WA,EQ,PLATCRG00013
MERLIN GROUP Spolka Akcyjna,Industrials,MRG.WA,EQ,PLADMSV00013
Trex SA,Industrials,TRX.WA,EQ,PLAUXLM00026
XBS PRO-LOG SA,Industrials,XBS.WA,EQ,PLPROLG00013
TAMEX Obiekty Sportowe S.A.,Industrials,TOS.WA,EQ,PLTAMEX00015
Internity S.A.,Industrials,INT.WA,EQ,PLINTNT00015
Cosma S.A.,Industrials,COS.WA,EQ,PLVBN0000015
