Company Name,Industry,Symbol,Series,ISIN Code
KGHM Polska Miedz,Materials,KGH.WA,EQ,PLKGHM000017
Grupa Kety,Materials,KTY.WA,EQ,PLKETY000011
Grupa Azoty,Materials,ATT.WA,EQ,PLZATRM00012
Cognor Holding S.A.,Materials,COG.WA,EQ,PLCNTSL00014
PCC Rokita SA,Materials,PCR.WA,EQ,PLPCCRK00076
Stalprodukt S.A.,Materials,STP.WA,EQ,PLSTLPD00017
Fabryka Farb i Lakierów Sniezka SA,Materials,SKA.WA,EQ,PLSNZKA00033
Selena FM S.A.,Materials,SEL.WA,EQ,PLSELNA00010
Boryszew,Materials,BRS.WA,EQ,PLBRSZW00011
Zaklady Azotowe Pulawy S.A.,Materials,ZAP.WA,EQ,PLZAPUL00057
Grupa Azoty Zaklady Chemiczne Police S.A.,Materials,PCE.WA,EQ,PLZCPLC00036
Arctic Paper S.A.,Materials,ATC.WA,EQ,PLARTPR00012
PCC Exol S.A.,Materials,PCX.WA,EQ,PLPCCEX00010
Zaklad Budowy Maszyn ZREMB - Chojnice S.A.,Materials,ZRE.WA,EQ,PLZBMZC00019
Bowim S.A.,Materials,BOW.WA,EQ,PLBOWM000019
Zaklady Magnezytowe ROPCZYCE S.A.,Materials,RPC.WA,EQ,PLROPCE00017
Przedsiebiorstwo Produkcyjno - Handlowe KOMPAP S.A.,Materials,KMP.WA,EQ,PLKOMPP00017
Izostal S.A.,Materials,IZS.WA,EQ,PLIZSTL00015
Zamet S.A.,Materials,ZMT.WA,EQ,PLZAMET00010
KGL SA,Materials,KGL.WA,EQ,PLKRKGL00012
Termo-Rex S.A.,Materials,TRR.WA,EQ,PLTRMRX00011
Polwax S.A.,Materials,PWX.WA,EQ,PLPOLWX00026
onesano S.A.,Materials,ONO.WA,EQ,PLSKTAN00010
Koszalinskie Przedsiebiorstwo Przemyslu Drzewnego Spólka Akcyjna,Materials,KPD.WA,EQ,PLKPPD000017
EKO EXPORT S. A.,Materials,EEX.WA,EQ,PLEKEP000019
Megaron S.A.,Materials,MEG.WA,EQ,PLMGRON00016
Izolacja Jarocin Spolka Akcyjna,Materials,IZO.WA,EQ,PLIZCJR00017
Krakchemia S.A.,Materials,KCH.WA,EQ,PLKRKCH00019
Hub.Tech SA,Materials,HUB.WA,EQ,PLBRTZM00010
HIPROMINE S.A.,Materials,HPM.WA,EQ,PLHPRMN00037
Group Recykl SA,Materials,GRC.WA,EQ,PLRCKL000010
Rocca S.A.,Materials,RCA.WA,EQ,PLROCCA00013
CARLSON INVESTMENTS SE,Materials,CAI.WA,EQ,PLHOTB000011
Standrew SA,Materials,STD.WA,EQ,PLSTNDR00019
Werth-Holz SA,Materials,WHH.WA,EQ,PLWRTHL00016
Biomass Energy Project SA,Materials,BEP.WA,EQ,PLBMSEP00011
Mera S.A.,Materials,MER.WA,EQ,PLMERA000019
SZAR S.A.,Materials,SZR.WA,EQ,PLSZAR000018
MILKPOL S.A.,Materials,MLP.WA,EQ,PLMLKPL00012
COMECO S.A. Class D,Materials,CMC.WA,EQ,PLCOMEC00016
MAZOP Group Spolka Akcyjna,Materials,MAZ.WA,EQ,PLMZPGR00025
Klon SA,Materials,KLN.WA,EQ,PLKLON000010
GreenX Metals Limited,Materials,GRX.WA,EQ,
