Company Name,Industry,Symbol,Series,ISIN Code
Dom Development,Real Estate,DOM.WA,EQ,PLDMDVL00012
Develia,Real Estate,DVL.WA,EQ,PLLCCRP00017
Archicom S.A.,Real Estate,ARH.WA,EQ,PLARHCM00016
Atal S.A.,Real Estate,1AT.WA,EQ,PLATAL000046
MLP Group S.A.,Real Estate,MLG.WA,EQ,PLMLPGR00017
Echo Investment,Real Estate,ECH.WA,EQ,PLECHPS00019
GTC,Real Estate,GTC.WA,EQ,PLGTC0000037
Polski Holding Nieruchomosci S.A.,Real Estate,PHN.WA,EQ,PLPHN0000014
Lokum Deweloper S.A.,Real Estate,LKD.WA,EQ,PLLKMDW00049
Marvipol Development S.A.,Real Estate,MVP.WA,EQ,PLMRVDV00011
Cavatina Holding Spólka Akcyjna,Real Estate,CAV.WA,EQ,PLCVTNH00040
Inpro S.A.,Real Estate,INP.WA,EQ,PLINPRO00015
Rank Progress S.A.,Real Estate,RNK.WA,EQ,PLRNKPR00014
Wikana S.A.,Real Estate,WIK.WA,EQ,PLELPO000016
KCI Spolka Akcyjna,Real Estate,KCI.WA,EQ,PLPONAR00012
Czerwona Torebka Spólka Akcyjna,Real Estate,CZT.WA,EQ,PLCRWTR00022
BBI Development S.A.,Real Estate,BBD.WA,EQ,PLNFI1200018
Korporacja Gospodarcza efekt S.A.,Real Estate,EFK.WA,EQ,PLEFEKT00018
NFI Octava S.A.,Real Estate,08N.WA,EQ,PLNFI0800016
WISE Finance S.A.,Real Estate,IBS.WA,EQ,PLPLPGR00010
CPD S.A.,Real Estate,CPD.WA,EQ,PLCELPD00013
CPIEUROPE,Real Estate,CPI.WA,EQ,
City Service SE,Real Estate,CTS.WA,EQ,
Warimpex Finanz- und Beteiligungs AG,Real Estate,WXF.WA,EQ,
Elkop Estonia SE,Real Estate,EKP.WA,EQ,
Plaza Centers N.V.,Real Estate,PLZ.WA,EQ,
Reinhold Europe AB (publ),Real Estate,RHD.WA,EQ,
