Company Name,Industry,Symbol,Series,ISIN Code
PGE Polska Grupa,Utilities,PGE.WA,EQ,PLPGER000010
Tauron Polska Energia,Utilities,TPE.WA,EQ,PLTAURN00011
Energa SA,Utilities,ENG.WA,EQ,PLENERG00022
Enea,Utilities,ENA.WA,EQ,PLENEA000013
Polenergia S.A.,Utilities,PEP.WA,EQ,PLPLSEP00013
Zespól Elektrocieplowni Wroclawskich KOGENERACJA S.A.,Utilities,KGN.WA,EQ,PLKGNRC00015
ZE PAK SA,Utilities,ZEP.WA,EQ,PLZEPAK00012
MDI Energia S.A.,Utilities,MDI.WA,EQ,PLNFI1000012
ECB S.A.,Utilities,ECB.WA,EQ,PLECBDZ00013
Tesgas S.A.,Utilities,TSG.WA,EQ,PLTSGS000019
AQUA S.A.,Utilities,AQU.WA,EQ,PLAQUA000014
Wodkan S.A.,Utilities,WOD.WA,EQ,PLWDKAN00016
G-ENERGY S.A.,Utilities,GNG.WA,EQ,PLELKPE00014
Corey Europe S.A.,Utilities,COR.WA,EQ,PLTRMPR00017
AQT Water SA,Utilities,AQT.WA,EQ,PLAQTCH00013
Ekobox SA,Utilities,EBX.WA,EQ,PLEKOBX00018
RWE Aktiengesellschaft,Utilities,RWE.WA,EQ,
CEZ a. s.,Utilities,CEZ.WA,EQ,
Eurohold Bulgaria AD,Utilities,EHG.WA,EQ,
