Company Name,Industry,Symbol,Series,ISIN Code
Saudi Arabian Oil Co.,Energy,2222.SR,EQ,
Al Rajhi Bank,Financials,1120.SR,EQ,
Saudi Arabian Mining Co.,Materials,1211.SR,EQ,
Saudi National Bank,Financials,1180.SR,EQ,
Saudi Telecom Co.,Communication Services,7010.SR,EQ,
Saudi Basic Industries Corp.,Materials,2010.SR,EQ,
ACWA Power,Utilities,2082.SR,EQ,
Riyad Bank,Financials,1010.SR,EQ,
Dr. Sulaiman Al-Habib Medical Services Group Co.,Health Care,4013.SR,EQ,
Alinma Bank,Financials,1150.SR,EQ,
Saudi Awwal Bank,Financials,1060.SR,EQ,
Saudi Energy Co.,Utilities,5110.SR,EQ,
SABIC Agri-Nutrients Co.,Materials,2020.SR,EQ,
Elm Company,Technology,7203.SR,EQ,
Kingdom Holding Co.,Financials,4280.SR,EQ,
Etihad Etisalat Co.,Communication Services,7020.SR,EQ,
Banque Saudi Fransi,Financials,1050.SR,EQ,
Almarai Company,Consumer Staples,2280.SR,EQ,
Arab National Bank,Financials,1080.SR,EQ,
Rabigh Refining & Petrochemical Co. Class A,Energy,2380.SR,EQ,
Bank Albilad,Financials,1140.SR,EQ,
National Shipping Co. of Saudi Arabia,Industrials,4030.SR,EQ,
Bupa Arabia for Cooperative Insurance Co.,Financials,8210.SR,EQ,
Arabian Internet and Communications Services Company,Technology,7202.SR,EQ,
Company for Cooperative Insurance,Financials,8010.SR,EQ,
Umm Al Qura for Development and Construction Company,Financials,4325.SR,EQ,
Saudi Aramco Base Oil Company - Luberef,Energy,2223.SR,EQ,
Ades Holding Company,Industrials,2382.SR,EQ,
Jarir Marketing Co.,Consumer Discretionary,4190.SR,EQ,
Dar Al Arkan Real Estate Development Co.,Financials,4300.SR,EQ,
Electrical Industries Co.,Industrials,1303.SR,EQ,
Yanbu National Petrochemical Co.,Materials,2290.SR,EQ,
Riyadh Cables Group Co.,Industrials,4142.SR,EQ,
Jabal Omar Development Co.,Consumer Discretionary,4250.SR,EQ,
Makkah Construction & Development Co.,Financials,4100.SR,EQ,
Saudi Investment Bank,Financials,1030.SR,EQ,
Americana Restaurants International PLC,Consumer Discretionary,6015.SR,EQ,
Saudi Tadawul Group Holding Company,Financials,1111.SR,EQ,
Bank Aljazira,Financials,1020.SR,EQ,
SAL Saudi Logistics Services Company,Industrials,4263.SR,EQ,
Mouwasat Medical Services Co.,Health Care,4002.SR,EQ,
Nahdi Medical Company,Industrials,4164.SR,EQ,
Rasan Information Technology Co.,Technology,8313.SR,EQ,
