Company Name,Industry,Symbol,Series,ISIN Code
Saudi Telecom Company,Communication Services,7010.SR,EQ,
Etihad Etisalat Company,Communication Services,7020.SR,EQ,
Arabian Internet and Communication Services Company,Communication Services,7202.SR,EQ,
Mobile Telecommunications Company Saudi Arabia,Communication Services,7030.SR,EQ,
MBC Group Co.,Communication Services,4072.SR,EQ,
Saudi Research and Media Group,Communication Services,4210.SR,EQ,
Arabian Contracting Services Company,Communication Services,4071.SR,EQ,
Etihad GO Telecom Co.,Communication Services,7040.SR,EQ,
Tihama for Advertising  Public Relations and Marketing Company,Communication Services,4070.SR,EQ,
Mufeed Company,Communication Services,9615.SR,EQ,
Time Entertainment Company,Communication Services,9642.SR,EQ,
