Company Name,Industry,Symbol,Series,ISIN Code
Jarir Marketing Company,Consumer Discretionary,4190.SR,EQ,
Makkah Construction and Development Company,Consumer Discretionary,4100.SR,EQ,
Jabal Omar Development Company,Consumer Discretionary,4250.SR,EQ,
Aldrees Petroleum and Transport Services Company,Consumer Discretionary,4200.SR,EQ,
Taiba Investment Company,Consumer Discretionary,4090.SR,EQ,
United Electronics Company,Consumer Discretionary,4003.SR,EQ,
Seera Holding Group,Consumer Discretionary,1810.SR,EQ,
Leejam Sports Company,Consumer Discretionary,1830.SR,EQ,
Al Majed Oud Co.,Consumer Discretionary,4165.SR,EQ,
Saudi Automotive Services Company,Consumer Discretionary,4050.SR,EQ,
Jahez International Company for Information Systems Technology,Consumer Discretionary,6017.SR,EQ,
Al-Saif Stores for Development & Investment Company,Consumer Discretionary,4192.SR,EQ,
Armah Sports Co.,Consumer Discretionary,9590.SR,EQ,
AFG International Company,Consumer Discretionary,4240.SR,EQ,
The National Company for Glass Industries,Consumer Discretionary,2150.SR,EQ,
Alamar Foods Company,Consumer Discretionary,6014.SR,EQ,
United Carton Industries Company,Consumer Discretionary,1323.SR,EQ,
Herfy Food Services Company,Consumer Discretionary,6002.SR,EQ,
Naseej International Trading Company,Consumer Discretionary,1213.SR,EQ,
Tourism Enterprise Company (Shams),Consumer Discretionary,4170.SR,EQ,
Jamjoom Fashion Trading Company,Consumer Discretionary,9649.SR,EQ,
Artex Industrial Investment Company,Consumer Discretionary,2340.SR,EQ,
Abdullah Saad Mohammed Abo Moati for Bookstores Company,Consumer Discretionary,4191.SR,EQ,
Sport Clubs Company,Consumer Discretionary,6018.SR,EQ,
Saudi Company for Hardware SACO,Consumer Discretionary,4008.SR,EQ,
L'azurde Company for Jewelry,Consumer Discretionary,4011.SR,EQ,
Saudi Marketing Company,Consumer Discretionary,4006.SR,EQ,
Shatirah House Restaurant Co.,Consumer Discretionary,6016.SR,EQ,
Al Rashid Industrial Co. ,Consumer Discretionary,9580.SR,EQ,
Saudi Industrial Development Co.,Consumer Discretionary,2130.SR,EQ,
Takween Advanced Industries,Consumer Discretionary,1201.SR,EQ,
Filling and Packing Materials Manufacturing Company,Consumer Discretionary,2180.SR,EQ,
Development Works Food Company,Consumer Discretionary,6013.SR,EQ,
Al-Omran Industrial Trading Company,Consumer Discretionary,4141.SR,EQ,
Paper Home Company,Consumer Discretionary,9576.SR,EQ,
Al-Fakhera Men's Tailoring Company,Consumer Discretionary,9618.SR,EQ,
Alshehili Company for metal industries,Consumer Discretionary,9624.SR,EQ,
Clean Life Co.,Consumer Discretionary,9581.SR,EQ,
Knowledge Tower,Consumer Discretionary,9551.SR,EQ,
Raydan Food Company,Consumer Discretionary,6012.SR,EQ,
Fad International Company,Consumer Discretionary,9589.SR,EQ,
Foods Gate Trading Co.,Consumer Discretionary,9562.SR,EQ,
Ghida Al-Sultan Company,Consumer Discretionary,9567.SR,EQ,
Arabica Star Co.,Consumer Discretionary,9617.SR,EQ,
