Company Name,Industry,Symbol,Series,ISIN Code
Almarai Company,Consumer Staples,2280.SR,EQ,
Saudia Dairy & Foodstuff Co.,Consumer Staples,2270.SR,EQ,
National Agricultural Development Co.,Consumer Staples,6010.SR,EQ,
Tanmiah Food Company,Consumer Staples,2281.SR,EQ,
Halwani Brothers Company,Consumer Staples,6001.SR,EQ,
Naqi Water Company,Consumer Staples,2282.SR,EQ,
Nofoth Food Products Co,Consumer Staples,2288.SR,EQ,
MOBI Industry Company,Consumer Staples,9517.SR,EQ,
Wafrah for Industry & Development,Consumer Staples,2100.SR,EQ,
Horizon Food Company,Consumer Staples,9564.SR,EQ,
Saudi Fisheries Co.,Consumer Staples,6050.SR,EQ,
Tabuk Agricultural Development Co.,Consumer Staples,6040.SR,EQ,
Al-Jouf Healthy Water Bottling Company,Consumer Staples,9532.SR,EQ,
Fesh Fash Snack Food Production Co.,Consumer Staples,9515.SR,EQ,
SAMA Healthy Water Factory company,Consumer Staples,9612.SR,EQ,
Fad International Company,Consumer Staples,9589.SR,EQ,
Abdulaziz and Mansour Ibrahim Albabtin Co.,Consumer Staples,9549.SR,EQ,
Arabian Food & Dairy Factories Co.,Consumer Staples,9536.SR,EQ,
