Company Name,Industry,Symbol,Series,ISIN Code
Al Rajhi Banking and Investment Corporation,Financials,1120.SR,EQ,
The Saudi National Bank,Financials,1180.SR,EQ,
Riyad Bank,Financials,1010.SR,EQ,
Alinma Bank,Financials,1150.SR,EQ,
Saudi Awwal Bank,Financials,1060.SR,EQ,
Banque Saudi Fransi,Financials,1050.SR,EQ,
Arab National Bank,Financials,1080.SR,EQ,
Bank Albilad,Financials,1140.SR,EQ,
Bupa Arabia for Cooperative Insurance Company,Financials,8210.SR,EQ,
The Company for Cooperative Insurance,Financials,8010.SR,EQ,
The Saudi Investment Bank,Financials,1030.SR,EQ,
Saudi Tadawul Group Holding Company,Financials,1111.SR,EQ,
aljazira bank,Financials,1020.SR,EQ,
Rasan Information Technology Company,Financials,8313.SR,EQ,
Al Rajhi Company for Cooperative Insurance,Financials,8230.SR,EQ,
Derayah Financial Company,Financials,4084.SR,EQ,
Saudi Reinsurance Company,Financials,8200.SR,EQ,
United International Holding Company,Financials,4083.SR,EQ,
The Mediterranean and Gulf Cooperative Insurance and Reinsurance Company,Financials,8030.SR,EQ,
SHL Finance Company,Financials,1183.SR,EQ,
Gulf Insurance Group,Financials,8250.SR,EQ,
Walaa Cooperative Insurance Company,Financials,8060.SR,EQ,
Nayifat Finance Company,Financials,4081.SR,EQ,
Amlak International Finance Company,Financials,1182.SR,EQ,
Arabian Shield Cooperative Insurance Company,Financials,8070.SR,EQ,
Aljazira Takaful Taawuni Company,Financials,8012.SR,EQ,
Chubb Arabia Cooperative Insurance Company,Financials,8240.SR,EQ,
Morabaha Marina Financing Company,Financials,4082.SR,EQ,
Gulf Union Alahlia Cooperative Insurance Company,Financials,8120.SR,EQ,
Mutakamela Insurance Company,Financials,8040.SR,EQ,
Quara Finance Company,Financials,9596.SR,EQ,
Wataniya Insurance Company,Financials,8300.SR,EQ,
Arabia Insurance Cooperative Company,Financials,8160.SR,EQ,
Malath Cooperative Insurance Company,Financials,8020.SR,EQ,
Liva Insurance Company,Financials,8280.SR,EQ,
Al Sagr Cooperative Insurance Company,Financials,8180.SR,EQ,
Al-Etihad Cooperative Insurance Company,Financials,8170.SR,EQ,
Saudi Arabian Cooperative Insurance Company,Financials,8100.SR,EQ,
Amana Cooperative Insurance Company,Financials,8310.SR,EQ,
Saudi Enaya Cooperative Insurance Company,Financials,8311.SR,EQ,
Yaqeen Capital Co.,Financials,9602.SR,EQ,
Salama Cooperative Insurance Company,Financials,8050.SR,EQ,
Allied Cooperative Insurance Group,Financials,8150.SR,EQ,
Osool and Bakheet Investment Co,Financials,9586.SR,EQ,
