Company Name,Industry,Symbol,Series,ISIN Code
Dr. Sulaiman Al Habib Medical Services Group Company,Health Care,4013.SR,EQ,
Mouwasat Medical Services Company,Health Care,4002.SR,EQ,
Nahdi Medical Company,Health Care,4164.SR,EQ,
Dallah Healthcare Company,Health Care,4004.SR,EQ,
Jamjoom Pharmaceuticals Factory Company,Health Care,4015.SR,EQ,
Dr. Soliman Abdel Kader Fakeeh,Health Care,4017.SR,EQ,
Saudi Chemical Holding Company,Health Care,2230.SR,EQ,
Almoosa Health Company,Health Care,4018.SR,EQ,
National Medical Care Company,Health Care,4005.SR,EQ,
Al Hammadi Holding Company,Health Care,4007.SR,EQ,
Specialized Medical Company,Health Care,4019.SR,EQ,
Al-Dawaa Medical Services Company,Health Care,4163.SR,EQ,
Saudi Pharmaceutical Industries and Medical Appliances Corporation,Health Care,2070.SR,EQ,
Middle East Healthcare Company,Health Care,4009.SR,EQ,
Middle East Pharmaceutical Industries Company,Health Care,4016.SR,EQ,
Scientific and Medical Equipment House Company,Health Care,4014.SR,EQ,
Alf Meem Yaa for Medical Supplies and Equipment Company,Health Care,9527.SR,EQ,
Naba Al Saha Medical Services Company,Health Care,9546.SR,EQ,
Canadian General Medical Center Complex Company,Health Care,4021.SR,EQ,
Arabian International Healthcare Holding Company,Health Care,9530.SR,EQ,
Al-Modawat Specialized Medical,Health Care,9594.SR,EQ,
Qomel Company Limited,Health Care,9600.SR,EQ,
Twareat Medical Care Company,Health Care,9627.SR,EQ,
Professional Medical Expertise Company,Health Care,9574.SR,EQ,
Almujtama Alraida Medical Co.,Health Care,9592.SR,EQ,
Miral Dental Clinics Co.,Health Care,9604.SR,EQ,
Basma Adeem Medical Co.,Health Care,9626.SR,EQ,
Balsm Alofoq Medical Co.,Health Care,9620.SR,EQ,
Al-Razi Medical Company,Health Care,9572.SR,EQ,
