Company Name,Industry,Symbol,Series,ISIN Code
Kingdom Holding Company,Industrials,4280.SR,EQ,
The National Shipping Company of Saudi Arabia,Industrials,4030.SR,EQ,
Electrical Industries Company,Industrials,1303.SR,EQ,
Riyadh Cables Group Company,Industrials,4142.SR,EQ,
SAL Saudi Logistics Services Co,Industrials,4263.SR,EQ,
Astra Industrial Group Company,Industrials,1212.SR,EQ,
Flynas Company,Industrials,4264.SR,EQ,
CATRION Catering Holding Company,Industrials,6004.SR,EQ,
Saudi Ground Services Company,Industrials,4031.SR,EQ,
Al-Babtain Power and Telecommunications Company,Industrials,2320.SR,EQ,
United International Transportation Company,Industrials,4260.SR,EQ,
Maharah for Human Resources Company,Industrials,1831.SR,EQ,
Sustained Infrastructure Holding Company,Industrials,2190.SR,EQ,
Saudi Ceramic Company,Industrials,2040.SR,EQ,
Bawan Company,Industrials,1302.SR,EQ,
Miahona Company Limited,Industrials,2084.SR,EQ,
Saudi Manpower Solutions Company,Industrials,1834.SR,EQ,
Advanced Building Industries Co.,Industrials,2240.SR,EQ,
Lumi Rental Company,Industrials,4262.SR,EQ,
Almawarid Manpower Company,Industrials,1833.SR,EQ,
Theeb Rent A Car Company,Industrials,4261.SR,EQ,
Saudi Public Transport Company,Industrials,4040.SR,EQ,
Middle East Specialized Cables Company,Industrials,2370.SR,EQ,
Tamkeen Human Resources Company,Industrials,1835.SR,EQ,
Sinad Holding Company,Industrials,4080.SR,EQ,
Saudi Cable Company,Industrials,2110.SR,EQ,
Saudi Advanced Industries Company,Industrials,2120.SR,EQ,
Raoom Trading Co.,Industrials,4144.SR,EQ,
Saleh Abdulaziz Al Rashed & Sons Co.,Industrials,1324.SR,EQ,
Consolidated Grunenfelder Saady Holding Company,Industrials,4147.SR,EQ,
Cherry Trading Co.,Industrials,4265.SR,EQ,
Al Obeikan Glass Company,Industrials,4145.SR,EQ,
Saudi Arabian Refineries Company,Industrials,2030.SR,EQ,
Marketing Home Group Company for Trading Company,Industrials,4194.SR,EQ,
The Saudi Arabian Amiantit Company,Industrials,2160.SR,EQ,
Baazeem Trading Company,Industrials,4051.SR,EQ,
Waja Company,Industrials,9560.SR,EQ,
Saudi Printing and Packaging Co.,Industrials,4270.SR,EQ,
United Wire Factories Company,Industrials,1301.SR,EQ,
Saudi Networkers Services Company,Industrials,9543.SR,EQ,
Itmam Consultancy Company,Industrials,9625.SR,EQ,
Saudi Vitrified Clay Pipe Company,Industrials,2360.SR,EQ,
Shalfa Facilities Management Company,Industrials,9613.SR,EQ,
International Human Resources Company,Industrials,9545.SR,EQ,
Tam Development Company,Industrials,9570.SR,EQ,
Al Kuzama Trading Co,Industrials,9636.SR,EQ,
Leaf Global Environmental Servi,Industrials,9597.SR,EQ,
Multi Business Group Company for Projects,Industrials,9619.SR,EQ,
Riyal Investment and Developmen,Industrials,9584.SR,EQ,
Taqat Mineral Trading Co.,Industrials,9599.SR,EQ,
National Signage Industrial Co.,Industrials,9645.SR,EQ,
Atlas Elevators General Trading & Contracting Company,Industrials,9578.SR,EQ,
WSM for Information Technology,Industrials,9595.SR,EQ,
Al Ashghal Al Moysra Co.,Industrials,9608.SR,EQ,
Service Equipment Co.,Industrials,9633.SR,EQ,
Munawla Cargo Co. Ltd.,Industrials,9571.SR,EQ,
Digital Research Company,Industrials,9621.SR,EQ,
Khaled Dhafer & Brothers Logistics Services Company,Industrials,9653.SR,EQ,
