Company Name,Industry,Symbol,Series,ISIN Code
Saudi Arabian Mining Co.,Materials,1211.SR,EQ,
Saudi Basic Industries Corp.,Materials,2010.SR,EQ,
SABIC Agri-Nutrients Co.,Materials,2020.SR,EQ,
Yanbu National Petrochemical Co.,Materials,2290.SR,EQ,
Sahara International Petrochemical Company,Materials,2310.SR,EQ,
Saudi Industrial Investment Group,Materials,2250.SR,EQ,
Savola Group,Materials,2050.SR,EQ,
Saudi Kayan Petrochemical Co.,Materials,2350.SR,EQ,
Saudi Chemical Co.,Materials,2230.SR,EQ,
Al Masane Al Kobra Mining Co.,Materials,1322.SR,EQ,
Advanced Petrochemical Co.,Materials,2330.SR,EQ,
East Pipes Integrated Company for Industry,Materials,1321.SR,EQ,
Qassim Cement Co.,Materials,3040.SR,EQ,
Yamamah Saudi Cement Co.,Materials,3020.SR,EQ,
Saudi Cement Co.,Materials,3030.SR,EQ,
First Milling Co.,Materials,2283.SR,EQ,
Southern Province Cement Co.,Materials,3050.SR,EQ,
Saudi Steel Pipe Co.,Materials,1320.SR,EQ,
Bawan Co.,Materials,1302.SR,EQ,
Riyadh Cement Co.,Materials,3092.SR,EQ,
Yanbu Cement Co.,Materials,3060.SR,EQ,
Arabian Mills for Food Products Company,Materials,2285.SR,EQ,
Modern Mills Co.,Materials,2284.SR,EQ,
Fourth Milling Company,Materials,2286.SR,EQ,
Arabian Cement Co.,Materials,3010.SR,EQ,
Saudi Paper Manufacturing Co.,Materials,2300.SR,EQ,
Eastern Province Cement Co.,Materials,3080.SR,EQ,
Alujain Corporation,Materials,2170.SR,EQ,
Group Five Pipe Saudi Ltd.,Materials,9523.SR,EQ,
City Cement Co.,Materials,3003.SR,EQ,
Middle East Paper Co.,Materials,1202.SR,EQ,
Arabian Pipes Co.,Materials,2200.SR,EQ,
Al Taiseer Group Talco Industrial Co.,Materials,4143.SR,EQ,
Mohammed Hadi Al Rasheed and Partners Co.,Materials,9601.SR,EQ,
Al-Jouf Agriculture Development Co.,Materials,6070.SR,EQ,
Northern Region Cement Co.,Materials,3004.SR,EQ,
National Co. for Glass Industries,Materials,2150.SR,EQ,
United Carton Industries Company,Materials,1323.SR,EQ,
Najran Cement Co.,Materials,3002.SR,EQ,
Raoom trading Company,Materials,4144.SR,EQ,
Balady Poultry Trading Co.,Materials,9559.SR,EQ,
Arabian Company for Agricultural and Industrial Investment,Materials,2287.SR,EQ,
Obeikan Glass Co,Materials,4145.SR,EQ,
Umm Al-Qura Cement Company,Materials,3005.SR,EQ,
United Mining Industries Company,Materials,9583.SR,EQ,
Tabuk Cement Co.,Materials,3090.SR,EQ,
Basic Chemical Industries Co.,Materials,1210.SR,EQ,
Saudi Arabian Amiantit Co.,Materials,2160.SR,EQ,
Zahrat Al Waha For Trading Co.,Materials,3007.SR,EQ,
United Arab Float Glass Co.,Materials,9611.SR,EQ,
Al Jouf Cement Co.,Materials,3091.SR,EQ,
Marble Design Company,Materials,9575.SR,EQ,
National Gypsum Co.,Materials,2090.SR,EQ,
National Metal Manufacturing & Casting Co.,Materials,2220.SR,EQ,
Jazan Development and Investment Company,Materials,6090.SR,EQ,
Takween Advanced Industries Co.,Materials,1201.SR,EQ,
Al Gassim Investment Holding Co.,Materials,6020.SR,EQ,
Ash-Sharqiyah Development Co.,Materials,6060.SR,EQ,
Watani Iron Steel Co,Materials,9513.SR,EQ,
Filing & Packing Materials Manufacturing Co.,Materials,2180.SR,EQ,
Saudi Lime Industries Company,Materials,9566.SR,EQ,
Saudi Top for Trading Company,Materials,9552.SR,EQ,
Paper Home Company,Materials,9576.SR,EQ,
Mohammed Hassan Al Naqool Sons Co. Ltd,Materials,9514.SR,EQ,
Taqat Mineral Trading Co,Materials,9599.SR,EQ,
Naas Petrol Factory Company,Materials,9609.SR,EQ,
Aqaseem Factory for Chemicals and Plastics Co.,Materials,9539.SR,EQ,
Neft Alsharq Co. for Chemical Industries,Materials,9605.SR,EQ,
Naf Company for Feed for Industry,Materials,9644.SR,EQ,
Albattal Factory for Chemical Industries Co.,Materials,9623.SR,EQ,
