Company Name,Industry,Symbol,Series,ISIN Code
Elm Company,Technology,7203.SR,EQ,
Arabian Internet and Communications Services Company,Technology,7202.SR,EQ,
Rasan Information Technology Co.,Technology,8313.SR,EQ,
Al Moammar Information Systems Company,Technology,7200.SR,EQ,
Jahez International Company for Information Systems Technology,Technology,6017.SR,EQ,
Perfect Presentation for Commercial Services Co.,Technology,7204.SR,EQ,
Edarat Communication and Information Technology Co.,Technology,9557.SR,EQ,
Saudi Azm for Communication and Information Technology Co.,Technology,7211.SR,EQ,
Academy of Learning Co.,Technology,9541.SR,EQ,
Axelerated Solutions for Information & Communication Tech,Technology,9637.SR,EQ,
Quara Finance Company,Technology,9596.SR,EQ,
Adeer Real Estate Co.,Technology,9634.SR,EQ,
Saudi Networkers Services Co. Ltd.,Technology,9543.SR,EQ,
Purity For Information Technology Co.,Technology,9614.SR,EQ,
Sure Global Technology Company,Technology,9550.SR,EQ,
Tam Development Company,Technology,9570.SR,EQ,
Naseej for Technology Co.,Technology,9538.SR,EQ,
Alqemam for Computer Systems Co.,Technology,9558.SR,EQ,
Advance International Company for Communication and Information Technology,Technology,9524.SR,EQ,
WSM for Information Technology Co.,Technology,9595.SR,EQ,
Digital Research Company,Technology,9621.SR,EQ,
Knowledge Net Company,Technology,9561.SR,EQ,
Dar Albalad For Business Solutions Company,Technology,7205.SR,EQ,
