Company Name,Industry,Symbol,Series,ISIN Code
Saudi Aramco,Energy,2222.SR,EQ,
Saudi Basic Industries (SABIC),Materials,2010.SR,EQ,
Saudi Telecom Company (STC),CommServices,7010.SR,EQ,
Al Rajhi Bank,Financials,1120.SR,EQ,
Saudi National Bank,Financials,1180.SR,EQ,
Riyad Bank,Financials,1010.SR,EQ,
Arab National Bank,Financials,1080.SR,EQ,
Banque Saudi Fransi,Financials,1050.SR,EQ,
Saudi British Bank,Financials,1060.SR,EQ,
Alinma Bank,Financials,1150.SR,EQ,
Bank AlJazira,Financials,1020.SR,EQ,
Saudi Kayan,Materials,2350.SR,EQ,
Maaden,Materials,1211.SR,EQ,
SAFCO,Materials,2020.SR,EQ,
Yansab,Materials,2290.SR,EQ,
National Petrochemical,Materials,2300.SR,EQ,
Petro Rabigh,Energy,2380.SR,EQ,
Saudi Electricity,Utilities,5110.SR,EQ,
Acwa Power,Utilities,2082.SR,EQ,
National Gas,Utilities,2080.SR,EQ,
Jarir Marketing,ConsumerDisc,4190.SR,EQ,
Extra,ConsumerDisc,4260.SR,EQ,
Fawaz Abdulaziz Alhokair,ConsumerDisc,4240.SR,EQ,
Advanced Petrochemical,Materials,2330.SR,EQ,
Dar Al Arkan,RealEstate,4300.SR,EQ,
Emaar Economic City,RealEstate,4220.SR,EQ,
Red Sea International,Industrials,1214.SR,EQ,
Saudi Airlines Catering,Industrials,6004.SR,EQ,
Savola Group,Consumer Staples,2050.SR,EQ,
Almarai,Consumer Staples,2280.SR,EQ,
Agthia Group,Consumer Staples,1220.SR,EQ,
Saudi Fisheries,Consumer Staples,6050.SR,EQ,
National Shipping,Industrials,4030.SR,EQ,
Saudi Transport,Industrials,4040.SR,EQ,
Aldrees Petroleum,Energy,4200.SR,EQ,
Filling and Packing Materials,Materials,1322.SR,EQ,
Yanbu Cement,Materials,3060.SR,EQ,
Saudi Cement,Materials,3030.SR,EQ,
Al Babtain Power,Industrials,1302.SR,EQ,
Saudia Dairy,Consumer Staples,2270.SR,EQ,
Etihad Etisalat (Mobily),CommServices,7020.SR,EQ,
Zain KSA,CommServices,7030.SR,EQ,
Fitaihi Holding,ConsumerDisc,4180.SR,EQ,
Bupa Arabia,Healthcare,8210.SR,EQ,
Alinma Tokio Marine,Financials,8280.SR,EQ,
Tawuniya,Financials,8010.SR,EQ,
Al Rajhi Takaful,Financials,8230.SR,EQ,
Dr Sulaiman Al Habib,Healthcare,4013.SR,EQ,
Mouwasat Medical Services,Healthcare,4002.SR,EQ,
Al Hammadi Holding,Healthcare,4007.SR,EQ,
National Medical Care,Healthcare,4005.SR,EQ,
Nahdi Medical,Healthcare,4164.SR,EQ,
Aldawaa Medical Services,Healthcare,4163.SR,EQ,
Elm Company,Technology,7203.SR,EQ,
Arabian Internet & Communications,Technology,7202.SR,EQ,
Saudi Research & Media,CommServices,4210.SR,EQ,
Saudi Industrial Investment,Materials,2250.SR,EQ,
Sahara International Petrochemical,Materials,2310.SR,EQ,
Tasnee,Materials,2060.SR,EQ,
Riyadh Cement,Materials,3092.SR,EQ,
Southern Province Cement,Materials,3050.SR,EQ,
Qassim Cement,Materials,3040.SR,EQ,
Yamama Cement,Materials,3020.SR,EQ,
Zamil Industrial,Industrials,2240.SR,EQ,
Saudi Ceramic,Industrials,2040.SR,EQ,
Maharah Human Resources,Industrials,1831.SR,EQ,
Saudi Real Estate,RealEstate,4020.SR,EQ,
Jabal Omar Development,RealEstate,4250.SR,EQ,
Knowledge Economic City,RealEstate,4310.SR,EQ,
Retal Urban Development,RealEstate,4322.SR,EQ,
Halwani Bros,Consumer Staples,6001.SR,EQ,
Leejam Sports,ConsumerDisc,1830.SR,EQ,
Abdullah Al Othaim Markets,Consumer Staples,4001.SR,EQ,
BinDawood Holding,Consumer Staples,4161.SR,EQ,
Saudi Marketing Farm,Consumer Staples,4006.SR,EQ,
