Company Name,Industry,Symbol,Series,ISIN Code
Investor AB Class B,Financials,INVE_B.ST,EQ,SE0015811963
Investor AB Class A,Financials,INVE_A.ST,EQ,SE0015811955
Atlas Copco AB Class A,Industrials,ATCO_A.ST,EQ,SE0017486889
Atlas Copco AB Class B,Industrials,ATCO_B.ST,EQ,SE0017486897
Volvo AB Class B,Industrials,VOLV_B.ST,EQ,SE0000115446
Volvo AB Class A,Industrials,VOLV_A.ST,EQ,SE0000115420
Sandvik,Industrials,SAND.ST,EQ,SE0000667891
Swedbank AB Class A,Financials,SWED_A.ST,EQ,SE0000242455
Telefonaktiebolaget LM Ericsson Class B,Technology,ERIC_B.ST,EQ,SE0000108656
Telefonaktiebolaget LM Ericsson Class A,Technology,ERIC_A.ST,EQ,SE0000108649
Skandinaviska Enskilda Banken AB Class A,Financials,SEB_A.ST,EQ,SE0000148884
Skandinaviska Enskilda Banken AB Class C,Financials,SEB_C.ST,EQ,SE0000120784
ASSA ABLOY AB Class B,Consumer Discretionary,ASSA_B.ST,EQ,SE0007100581
EQT AB,Financials,EQT.ST,EQ,SE0012853455
Epiroc AB Class B,Industrials,EPI_B.ST,EQ,SE0015658117
Epiroc AB Class A,Industrials,EPI_A.ST,EQ,SE0015658109
Saab AB Class B,Technology,SAAB_B.ST,EQ,SE0021921269
Svenska Handelsbanken AB Class A,Financials,SHB_A.ST,EQ,SE0007100599
Svenska Handelsbanken AB Class B,Financials,SHB_B.ST,EQ,SE0007100607
H&M Hennes & Mauritz AB Class B,Consumer Discretionary,HM_B.ST,EQ,SE0000106270
Industrivarden AB Class C,Financials,INDU_C.ST,EQ,SE0000107203
Industrivarden AB Class A,Financials,INDU_A.ST,EQ,SE0000190126
Alfa Laval,Industrials,ALFA.ST,EQ,SE0000695876
Hexagon AB Class B,Technology,HEXA_B.ST,EQ,SE0015961909
Telia Company,Communication Services,TELIA.ST,EQ,SE0000667925
Essity AB Class A,Consumer Staples,ESSITY_A.ST,EQ,SE0009922156
Essity AB Class B,Consumer Staples,ESSITY_B.ST,EQ,SE0009922164
Boliden,Materials,BOL.ST,EQ,SE0020050417
Swedish Orphan Biovitrum,Health Care,SOBI.ST,EQ,SE0000872095
Evolution AB,Technology,EVO.ST,EQ,SE0012673267
Lifco AB Class B,Industrials,LIFCO_B.ST,EQ,SE0015949201
L E Lundbergforetagen AB Class B,Financials,LUND_B.ST,EQ,SE0000108847
Tele2 AB Class A,Communication Services,TEL2_A.ST,EQ,SE0005190220
Tele2 AB Class B,Communication Services,TEL2_B.ST,EQ,SE0005190238
Investment AB Latour Class B,Financials,LATO_B.ST,EQ,SE0010100958
SKF AB Class B,Industrials,SKF_B.ST,EQ,SE0000108227
SKF AB Class A,Industrials,SKF_A.ST,EQ,SE0000108201
SSAB AB Class A,Industrials,SSAB_A.ST,EQ,SE0000171100
SSAB AB Class B,Industrials,SSAB_B.ST,EQ,SE0000120669
Skanska AB Class B,Industrials,SKA_B.ST,EQ,SE0000113250
Autoliv Inc Shs Swedish DR,Industrials,ALIV_SDB.ST,EQ,SE0021309614
Securitas AB Class B,Industrials,SECU_B.ST,EQ,SE0000163594
Trelleborg AB Class B,Industrials,TREL_B.ST,EQ,SE0000114837
Nordnet AB,Financials,SAVE.ST,EQ,SE0015192067
Addtech AB Class B,Technology,ADDT_B.ST,EQ,SE0014781795
