Company Name,Industry,Symbol,Series,ISIN Code
ASSA ABLOY AB Class B,Consumer Discretionary,ASSA-B.ST,EQ,
H&M Hennes & Mauritz AB Class B,Consumer Discretionary,HM-B.ST,EQ,
Volvo Car AB Class B,Consumer Discretionary,VOLCAR-B.ST,EQ,
Axfood AB,Consumer Discretionary,AXFO.ST,EQ,
Asmodee Group AB Class B,Consumer Discretionary,ASMDEE-B.ST,EQ,
Electrolux AB Class B,Consumer Discretionary,ELUX-B.ST,EQ,
Electrolux AB Class A,Consumer Discretionary,ELUX-A.ST,EQ,
Clas Ohlson AB Class B,Consumer Discretionary,CLAS-B.ST,EQ,
Husqvarna AB Class A,Consumer Discretionary,HUSQ-A.ST,EQ,
Husqvarna AB Class B,Consumer Discretionary,HUSQ-B.ST,EQ,
Thule Group AB,Consumer Discretionary,THULE.ST,EQ,
Scandic Hotels Group AB,Consumer Discretionary,SHOT.ST,EQ,
Europris ASA,Consumer Discretionary,EPRO.ST,EQ,
Rusta AB,Consumer Discretionary,RUSTA.ST,EQ,
Bilia AB Class A,Consumer Discretionary,BILI-A.ST,EQ,
Betsson AB Class B,Consumer Discretionary,BETS-B.ST,EQ,
SkiStar AB Class B,Consumer Discretionary,SKIS-B.ST,EQ,
Dometic Group AB,Consumer Discretionary,DOM.ST,EQ,
AcadeMedia AB,Consumer Discretionary,ACAD.ST,EQ,
Synsam AB,Consumer Discretionary,SYNSAM.ST,EQ,
Apotea AB,Consumer Discretionary,APOTEA.ST,EQ,
SATS ASA,Consumer Discretionary,SATSO.ST,EQ,
Bergman & Beving AB Class B,Consumer Discretionary,BERG-B.ST,EQ,
Storytel AB Class B,Consumer Discretionary,STORY-B.ST,EQ,
Boozt AB,Consumer Discretionary,BOOZT.ST,EQ,
Viaplay Group AB Class A,Consumer Discretionary,VPLAY-A.ST,EQ,
Viaplay Group AB Class B,Consumer Discretionary,VPLAY-B.ST,EQ,
RVRC Holding AB,Consumer Discretionary,RVRC.ST,EQ,
Mips AB,Consumer Discretionary,MIPS.ST,EQ,
Fenix Outdoor International AG Series B,Consumer Discretionary,FOI-B.ST,EQ,
Kid ASA,Consumer Discretionary,KIDO.ST,EQ,
BHG Group AB,Consumer Discretionary,BHG.ST,EQ,
Duni AB,Consumer Discretionary,DUNI.ST,EQ,
Nordrest Holding AB,Consumer Discretionary,NREST.ST,EQ,
Svedbergs Group AB Class B,Consumer Discretionary,SVED-B.ST,EQ,
Byggmax Group AB,Consumer Discretionary,BMAX.ST,EQ,
Humana AB,Consumer Discretionary,HUM.ST,EQ,
Nobia AB,Consumer Discretionary,NOBI.ST,EQ,
Cheffelo AB,Consumer Discretionary,CHEF.ST,EQ,
KABE Group AB Class B,Consumer Discretionary,KABE-B.ST,EQ,
RugVista Group AB,Consumer Discretionary,RUG.ST,EQ,
Bokusgruppen AB,Consumer Discretionary,BOKUS.ST,EQ,
Kjell Group AB,Consumer Discretionary,KJELL.ST,EQ,
Nelly Group AB,Consumer Discretionary,NELLY.ST,EQ,
Lyko Group AB Class A,Consumer Discretionary,LYKO-A.ST,EQ,
Ferronordic AB,Consumer Discretionary,FNM.ST,EQ,
CDON AB,Consumer Discretionary,CDON.ST,EQ,
Actic Group AB,Consumer Discretionary,ATIC.ST,EQ,
Gentoo Media Inc,Consumer Discretionary,G2M.ST,EQ,
Pierce Group AB,Consumer Discretionary,PIERCE.ST,EQ,
Qben Infra AB,Consumer Discretionary,QBEN.ST,EQ,
HAKI Safety AB Class B,Consumer Discretionary,HAKI-B.ST,EQ,
HAKI Safety AB Class A,Consumer Discretionary,HAKI-A.ST,EQ,
Nimbus Group AB,Consumer Discretionary,BOAT.ST,EQ,
Titania Holding AB Class B,Consumer Discretionary,TITA-B.ST,EQ,
Qualisys Holding AB,Consumer Discretionary,QSYS.ST,EQ,
Dedicare AB,Consumer Discretionary,DEDI.ST,EQ,
AMHULT 2 AB CLASS B,Consumer Discretionary,AMH2.B.ST,EQ,
Meds Apotek AB,Consumer Discretionary,MEDS.ST,EQ,
Summa Defence Plc Class A,Consumer Discretionary,SUMMAS.ST,EQ,
Profoto Holding AB,Consumer Discretionary,PRFO.ST,EQ,
Balco Group AB,Consumer Discretionary,BALCO.ST,EQ,
