Company Name,Industry,Symbol,Series,ISIN Code
Essity AB Class A,Consumer Staples,ESSITY_A.ST,EQ,SE0009922156
Essity AB Class B,Consumer Staples,ESSITY_B.ST,EQ,SE0009922164
AAK AB,Consumer Staples,AAK.ST,EQ,SE0011337708
Axfood,Consumer Staples,AXFO.ST,EQ,SE0006993770
Cloetta AB Class B,Consumer Staples,CLA_B.ST,EQ,SE0002626861
New Wave Group AB Class B,Consumer Staples,NEWA_B.ST,EQ,SE0020356970
Scandi Standard AB,Consumer Staples,SCST.ST,EQ,SE0005999760
Zinzino AB Class B,Consumer Staples,ZZ_B.ST,EQ,SE0002480442
Humble Group AB,Consumer Staples,HUMBLE.ST,EQ,SE0006261046
Viva Wine Group AB,Consumer Staples,VIVA.ST,EQ,SE0017084361
Kopparbergs Bryggeri AB,Consumer Staples,KOBR.B.ST,EQ,SE0000500779
Bjorn Borg AB,Consumer Staples,BORG.ST,EQ,SE0021921327
Premium Snacks Nordic AB,Consumer Staples,SNX.ST,EQ,SE0006260865
Athanase Innovation AB,Consumer Staples,ATIN.ST,EQ,SE0018014060
High Coast Distillery AB Class B,Consumer Staples,HIGHCO_B.ST,EQ,SE0003848613
Clemondo Group AB,Consumer Staples,CLEM.ST,EQ,SE0023468400
Lohilo Foods AB,Consumer Staples,LOHILO.ST,EQ,SE0014262549
UMIDA GROUP AB CLASS B,Consumer Staples,UMIDA.B.ST,EQ,SE0009190788
SJöSTRAND COFFEE B,Consumer Staples,SCC.B.ST,EQ,SE0025399835
Nicoccino Holding AB,Consumer Staples,NICO.ST,EQ,SE0005506185
PREBONA AB,Consumer Staples,PREBON.ST,EQ,SE0007692884
Nosium AB Class B,Consumer Staples,NOSIUM.B.ST,EQ,SE0023112065
Arctic Blue Beverages AB,Consumer Staples,ARCTIC.ST,EQ,SE0017769136
Wonderboo Holding AB,Consumer Staples,WONDR.ST,EQ,SE0020540110
Essity,Consumer Staples,ESSITY-B.ST,EQ,
