Company Name,Industry,Symbol,Series,ISIN Code
Equinor ASA,Energy,EQNRO.ST,EQ,
Aker BP ASA,Energy,AKRBPO.ST,EQ,
Var Energi ASA,Energy,VARO.ST,EQ,
DOF Group ASA,Energy,DOFGO.ST,EQ,
International Petroleum Corp. (British Columbia),Energy,IPCO.ST,EQ,
DNO ASA Class A,Energy,DNOO.ST,EQ,
BlueNord ASA,Energy,BNORO.ST,EQ,
Meren Energy Inc.,Energy,MER.ST,EQ,
BW Offshore Limited,Energy,BWOO.ST,EQ,
Panoro Energy ASA,Energy,PENO.ST,EQ,
OKEA ASA,Energy,OKEAO.ST,EQ,
Maha Capital AB Class A,Energy,MAHA-A.ST,EQ,
PetroNor E&P ASA,Energy,PNORO.ST,EQ,
Reach Subsea ASA,Energy,REACHO.ST,EQ,
Hunter Group ASA,Energy,HUNTO.ST,EQ,
Questerre Energy Corporation Class A,Energy,QECO.ST,EQ,
Awilco LNG ASA,Energy,ALNGO.ST,EQ,
Africa Energy Corp.,Energy,AEC.ST,EQ,
ZENITH ENERGY LTD SHS SWEDISH DEPOSITORY RECEIPT REPR 1 SH,Energy,ZENA.SDR.ST,EQ,
SUNTRADE GROUP AB CLASS B,Energy,STRD.B.ST,EQ,
AB IGRENE,Energy,ABI.ST,EQ,
BIOFRIGAS SWEDEN AB,Energy,BIOF.ST,EQ,
BIOFRIGAS SWEDEN AB TEMP,Energy,BIOF.BTU.ST,EQ,
Shamaran Petroleum Ltd Shs Swedish Depository Receipt Repr 1 Sh,Energy,SNM-SDB.ST,EQ,
