Company Name,Industry,Symbol,Series,ISIN Code
Investor AB Class B,Financials,INVE_B.ST,EQ,SE0015811963
Investor AB Class A,Financials,INVE_A.ST,EQ,SE0015811955
Swedbank AB Class A,Financials,SWED_A.ST,EQ,SE0000242455
Skandinaviska Enskilda Banken AB Class A,Financials,SEB_A.ST,EQ,SE0000148884
Skandinaviska Enskilda Banken AB Class C,Financials,SEB_C.ST,EQ,SE0000120784
EQT AB,Financials,EQT.ST,EQ,SE0012853455
Svenska Handelsbanken AB Class A,Financials,SHB_A.ST,EQ,SE0007100599
Svenska Handelsbanken AB Class B,Financials,SHB_B.ST,EQ,SE0007100607
Industrivarden AB Class C,Financials,INDU_C.ST,EQ,SE0000107203
Industrivarden AB Class A,Financials,INDU_A.ST,EQ,SE0000190126
L E Lundbergforetagen AB Class B,Financials,LUND_B.ST,EQ,SE0000108847
Investment AB Latour Class B,Financials,LATO_B.ST,EQ,SE0010100958
Nordnet AB,Financials,SAVE.ST,EQ,SE0015192067
Fastighets AB Balder Class B,Financials,BALD_B.ST,EQ,SE0017832488
Avanza Bank Holding AB,Financials,AZA.ST,EQ,SE0012454072
AB Sagax,Financials,SAGA_D.ST,EQ,SE0009161052
AB Sagax Class A,Financials,SAGA_A.ST,EQ,SE0004635878
AB Sagax Class B,Financials,SAGA_B.ST,EQ,SE0005127818
Noba Bank Group AB,Financials,NOBA.ST,EQ,SE0023135298
Pandox AB Class B,Financials,PNDX_B.ST,EQ,SE0007100359
Roko AB Class B,Financials,ROKO_B.ST,EQ,SE0023950795
Catena AB,Financials,CATE.ST,EQ,SE0001664707
Wallenstam AB Class B,Financials,WALL_B.ST,EQ,SE0017780133
Hufvudstaden AB Class A,Financials,HUFV_A.ST,EQ,SE0000170375
Bure Equity AB,Financials,BURE.ST,EQ,SE0000195810
Arion Banki hf Shs Swedish DR,Financials,ARION_SDB.ST,EQ,SE0010413567
Atrium Ljungberg AB Class B,Financials,ATRLJ_B.ST,EQ,SE0024320832
NP3 Fastigheter AB,Financials,NP3.ST,EQ,SE0006342333
Intea Fastigheter AB Class B,Financials,INTEA_B.ST,EQ,SE0017072259
Intea Fastigheter AB Class D,Financials,INTEA_D.ST,EQ,SE0017072267
Kinnevik AB Class A,Financials,KINV_A.ST,EQ,SE0022060513
Kinnevik AB Class B,Financials,KINV_B.ST,EQ,SE0022060521
Storskogen Group AB Class B,Financials,STOR_B.ST,EQ,SE0016797732
Altra Fastigheter AB,Financials,ALTRA.ST,EQ,SE0011426428
Cibus Real Estate AB (publ),Financials,CIBUS.ST,EQ,SE0010832204
Avarda Bank AB,Financials,AVARDA.ST,EQ,SE0025666969
Norion Bank AB,Financials,NORION.ST,EQ,SE0017831795
Ratos AB Class A,Financials,RATO_A.ST,EQ,SE0000191090
Ratos AB Class B,Financials,RATO_B.ST,EQ,SE0000111940
Creades AB Class A,Financials,CRED_A.ST,EQ,SE0015661236
Dios Fastigheter AB,Financials,DIOS.ST,EQ,SE0001634262
Platzer Fastigheter Holding AB Class B,Financials,PLAZ_B.ST,EQ,SE0004977692
FastPartner AB Class D,Financials,FPAR_D.ST,EQ,SE0013512514
FastPartner AB,Financials,FPAR_A.ST,EQ,SE0013512506
JM AB,Financials,JM.ST,EQ,SE0000806994
Investment AB Oresund,Financials,ORES.ST,EQ,SE0008321608
