Company Name,Industry,Symbol,Series,ISIN Code
AstraZeneca PLC,Health Care,AZN.ST,EQ,
Swedish Orphan Biovitrum AB,Health Care,SOBI.ST,EQ,
Getinge AB Class B,Health Care,GETI-B.ST,EQ,
Camurus AB,Health Care,CAMX.ST,EQ,
Medicover AB Class B,Health Care,MCOV-B.ST,EQ,
BioArctic AB Class B,Health Care,BIOA-B.ST,EQ,
Elekta AB Class B,Health Care,EKTA-B.ST,EQ,
AddLife AB Class B,Health Care,ALIF-B.ST,EQ,
Attendo AB,Health Care,ATT.ST,EQ,
BONESUPPORT HOLDING AB,Health Care,BONEX.ST,EQ,
Vimian Group AB,Health Care,VIMIAN.ST,EQ,
Vitrolife AB,Health Care,VITR.ST,EQ,
BioGaia AB Class B,Health Care,BIOG-B.ST,EQ,
Ambea AB,Health Care,AMBEA.ST,EQ,
Alvotech Swedish Depository Receipt Repr 1 Sh,Health Care,ALVO-SDB.ST,EQ,
Xvivo Perfusion AB,Health Care,XVIVO.ST,EQ,
MedCap AB,Health Care,MCAP.ST,EQ,
Swedencare AB,Health Care,SECARE.ST,EQ,
Medistim ASA,Health Care,MEDIO.ST,EQ,
Implantica Inc. Shs A Swedish Depositary Receipt Repr 1 Sh A,Health Care,IMP-A-SDB.ST,EQ,
Smart Eye AB,Health Care,SEYE.ST,EQ,
Hansa Biopharma AB,Health Care,HNSA.ST,EQ,
Vicore Pharma Holding AB,Health Care,VICO.ST,EQ,
CellaVision AB,Health Care,CEVI.ST,EQ,
Egetis Therapeutics AB,Health Care,EGTX.ST,EQ,
Stille AB,Health Care,STIL.ST,EQ,
Midsona AB Class A,Health Care,MSON-A.ST,EQ,
Midsona AB Class B,Health Care,MSON-B.ST,EQ,
Flerie AB,Health Care,FLERIE.ST,EQ,
Circio Holding ASA,Health Care,CRNAO.ST,EQ,
BioInvent International AB,Health Care,BINV.ST,EQ,
Saniona AB,Health Care,SANION.ST,EQ,
Surgical Science Sweden AB,Health Care,SUS.ST,EQ,
CURASIGHT A/S,Health Care,CURAS.ST,EQ,
Photocure ASA,Health Care,PHOO.ST,EQ,
Devyser Diagnostics AB,Health Care,DVYSR.ST,EQ,
Cereno Scientific AB Class B,Health Care,CRNO-B.ST,EQ,
Genovis AB,Health Care,GENO.ST,EQ,
Paxman AB,Health Care,PAX.ST,EQ,
BICO Group AB Class B,Health Care,BICO.ST,EQ,
C-Rad AB Class B,Health Care,CRAD-B.ST,EQ,
ArcticZymes Technologies ASA,Health Care,AZTO.ST,EQ,
Nykode Therapeutics ASA,Health Care,NYKDO.ST,EQ,
HAMLET BIOPHARMA AB CLASS B,Health Care,HAMLET.B.ST,EQ,
Medivir AB,Health Care,MVIR.ST,EQ,
Nanoform Finland Oyj,Health Care,NANOFS.ST,EQ,
Sedana Medical AB,Health Care,SEDANA.ST,EQ,
Xspray Pharma AB,Health Care,XSPRAY.ST,EQ,
Infant Bacterial Therapeutics AB Class B,Health Care,IBT-B.ST,EQ,
FluoGuide A/S,Health Care,FLUO.ST,EQ,
Dicot Pharma AB,Health Care,DICOT.ST,EQ,
Dicot Pharma AB Units Cons of 8 Shs + 2 Wts TO7 25.06.26,Health Care,DICOT-BTU.ST,EQ,
EQL Pharma AB,Health Care,EQL.ST,EQ,
SynAct Pharma AB,Health Care,SYNACT.ST,EQ,
Nanexa AB,Health Care,NANEXA.ST,EQ,
Senzime AB,Health Care,SEZI.ST,EQ,
Enzymatica AB,Health Care,ENZY.ST,EQ,
Orexo AB,Health Care,ORX.ST,EQ,
Oncopeptides AB,Health Care,ONCO.ST,EQ,
Cinclus Pharma Holding AB,Health Care,CINPHA.ST,EQ,
Gentian Diagnostics ASA,Health Care,GENTO.ST,EQ,
Bactiguard Holding AB,Health Care,BACTI-B.ST,EQ,
Cantargia AB,Health Care,CANTA.ST,EQ,
Doxa AB,Health Care,DOXA.ST,EQ,
CESSATECH A/S,Health Care,CESSA.ST,EQ,
OssDsign AB,Health Care,OSSD.ST,EQ,
