Company Name,Industry,Symbol,Series,ISIN Code
ABB Ltd.,Industrials,ABB.ST,EQ,
Atlas Copco AB Class B,Industrials,ATCO-B.ST,EQ,
Atlas Copco AB Class A,Industrials,ATCO-A.ST,EQ,
Volvo AB Class A,Industrials,VOLV-A.ST,EQ,
Volvo AB Class B,Industrials,VOLV-B.ST,EQ,
Sandvik AB,Industrials,SAND.ST,EQ,
Epiroc AB Class B,Industrials,EPI-B.ST,EQ,
Epiroc AB Class A,Industrials,EPI-A.ST,EQ,
Kongsberg Gruppen ASA,Industrials,KOGO.ST,EQ,
Alfa Laval AB,Industrials,ALFA.ST,EQ,
Lifco AB Class B,Industrials,LIFCO-B.ST,EQ,
Verisure Plc,Industrials,VSURE.ST,EQ,
SKF AB Class A,Industrials,SKF-A.ST,EQ,
SKF AB Class B,Industrials,SKF-B.ST,EQ,
Skanska AB Class B,Industrials,SKA-B.ST,EQ,
Subsea 7 S.A.,Industrials,SUBCO.ST,EQ,
SSAB AB Class A,Industrials,SSAB-A.ST,EQ,
SSAB AB Class B,Industrials,SSAB-B.ST,EQ,
Trelleborg AB Class B,Industrials,TREL-B.ST,EQ,
Autoliv Inc Shs Swedish DR,Industrials,ALIV-SDB.ST,EQ,
Securitas AB Class B,Industrials,SECU-B.ST,EQ,
NIBE Industrier AB Class B,Industrials,NIBE-B.ST,EQ,
Frontline Plc,Industrials,FROO.ST,EQ,
Indutrade AB,Industrials,INDT.ST,EQ,
Beijer Ref AB Class B,Industrials,BEIJ-B.ST,EQ,
Mycronic AB,Industrials,MYCR.ST,EQ,
Wallenius Wilhelmsen ASA,Industrials,WAWIO.ST,EQ,
Sweco AB Class B,Industrials,SWEC-B.ST,EQ,
Sweco AB Class A,Industrials,SWEC-A.ST,EQ,
Munters Group AB,Industrials,MTRS.ST,EQ,
Hafnia Limited,Industrials,HAFNIO.ST,EQ,
Asker Healthcare Group AB,Industrials,ASKER.ST,EQ,
Wilh. Wilhelmsen Holding ASA Class A,Industrials,WWIO.ST,EQ,
Wilh. Wilhelmsen Holding ASA Class B,Industrials,WWIBO.ST,EQ,
BW LPG Limited,Industrials,BWLPGO.ST,EQ,
Loomis AB,Industrials,LOOMIS.ST,EQ,
TOMRA Systems ASA,Industrials,TOMO.ST,EQ,
Hoegh Autoliners ASA,Industrials,HAUTOO.ST,EQ,
Peab AB Class B,Industrials,PEAB-B.ST,EQ,
Veidekke ASA,Industrials,VEIO.ST,EQ,
Bravida Holding AB,Industrials,BRAV.ST,EQ,
OEM International AB Class B,Industrials,OEM-B.ST,EQ,
Bufab AB,Industrials,BUFAB.ST,EQ,
Cadeler A/S,Industrials,CADLRO.ST,EQ,
Odfjell Drilling Ltd.,Industrials,ODLO.ST,EQ,
SoftwareOne Holding Ltd.,Industrials,SWONO.ST,EQ,
AQ Group AB,Industrials,AQ.ST,EQ,
AF Gruppen ASA Class A,Industrials,AFGO.ST,EQ,
Beijer Alma AB Class B,Industrials,BEIA-B.ST,EQ,
Okeanis Eco Tankers Corp.,Industrials,OETO.ST,EQ,
Stolt-Nielsen Limited,Industrials,SNIO.ST,EQ,
NCC AB Class A,Industrials,NCC-A.ST,EQ,
NCC AB Class B,Industrials,NCC-B.ST,EQ,
Systemair AB,Industrials,SYSR.ST,EQ,
Norwegian Air Shuttle ASA,Industrials,NASO.ST,EQ,
BW Energy Ltd.,Industrials,BWEO.ST,EQ,
Hoist Finance AB,Industrials,HOFI.ST,EQ,
Borr Drilling Limited,Industrials,BORRO.ST,EQ,
Electrolux Professional AB Class B,Industrials,EPRO-B.ST,EQ,
Solstad Maritime ASA,Industrials,SOMAO.ST,EQ,
AFRY AB Class B,Industrials,AFRY.ST,EQ,
Alimak Group AB,Industrials,ALIG.ST,EQ,
MPC Container Ships ASA,Industrials,MPCCO.ST,EQ,
Norbit ASA,Industrials,NORBTO.ST,EQ,
Lindab International AB,Industrials,LIAB.ST,EQ,
Bonheur ASA,Industrials,BONHRO.ST,EQ,
Creades AB Class A,Industrials,CRED-A.ST,EQ,
engcon AB Class B,Industrials,ENGCON-B.ST,EQ,
Instalco AB,Industrials,INSTAL.ST,EQ,
Sdiptech AB Class B,Industrials,SDIP-B.ST,EQ,
Swedish Logistic Property AB Class B,Industrials,SLP-B.ST,EQ,
Odfjell SE Class B,Industrials,ODFBO.ST,EQ,
Odfjell SE Class A,Industrials,ODFO.ST,EQ,
B2 Impact ASA,Industrials,B2IO.ST,EQ,
VBG Group AB Class B,Industrials,VBG-B.ST,EQ,
Paratus Energy Services Ltd.,Industrials,PLSVO.ST,EQ,
Better Collective A/S,Industrials,BETCO.ST,EQ,
Karnov Group AB,Industrials,KAR.ST,EQ,
Alligo AB Class B,Industrials,ALLIGO-B.ST,EQ,
Arjo AB Class B,Industrials,ARJO-B.ST,EQ,
Rederiaktiebolaget Gotland Class B,Industrials,GOTL-B.ST,EQ,
Rederiaktiebolaget Gotland Class A,Industrials,GOTL-A.ST,EQ,
Troax Group AB Class A,Industrials,TROAX.ST,EQ,
Himalaya Shipping Ltd.,Industrials,HSHPO.ST,EQ,
Sed Energy Holdings PLC,Industrials,ENHO.ST,EQ,
Endur ASA,Industrials,ENDURO.ST,EQ,
Momentum Group AB Class B,Industrials,MMGR-B.ST,EQ,
Klaveness Combination Carriers ASA,Industrials,KCCO.ST,EQ,
NEL ASA,Industrials,NELO.ST,EQ,
Solstad Offshore ASA,Industrials,SOFFO.ST,EQ,
Coor Service Management Holding AB,Industrials,COOR.ST,EQ,
Yubico AB,Industrials,YUBICO.ST,EQ,
Vestum AB,Industrials,VESTUM.ST,EQ,
Nederman Holding AB,Industrials,NMAN.ST,EQ,
