Company Name,Industry,Symbol,Series,ISIN Code
Norsk Hydro ASA,Materials,NHYO.ST,EQ,
Lundin Mining Corporation,Materials,LUMI.ST,EQ,
Boliden AB,Materials,BOL.ST,EQ,
Lundin Gold Inc.,Materials,LUG.ST,EQ,
Yara International ASA,Materials,YARO.ST,EQ,
SalMar ASA,Materials,SALMO.ST,EQ,
Svenska Cellulosa AB SCA Class A,Materials,SCA-A.ST,EQ,
Svenska Cellulosa AB SCA Class B,Materials,SCA-B.ST,EQ,
Holmen AB Class A,Materials,HOLM-A.ST,EQ,
Holmen AB Class B,Materials,HOLM-B.ST,EQ,
Hexpol AB Class B,Materials,HPOL-B.ST,EQ,
Alleima AB,Materials,ALLEI.ST,EQ,
Granges AB,Materials,GRNG.ST,EQ,
Billerud AB,Materials,BILL.ST,EQ,
Borregaard ASA,Materials,BRGO.ST,EQ,
Elkem ASA,Materials,ELKO.ST,EQ,
Hanza AB,Materials,HANZA.ST,EQ,
Elopak ASA,Materials,ELOO.ST,EQ,
Aker BioMarine ASA,Materials,AKBMO.ST,EQ,
Inwido AB,Materials,INWI.ST,EQ,
Bewi ASA,Materials,BEWIO.ST,EQ,
Goldsky Resources Corp Shs Swedish Depository Receipt Repr 1 Sh,Materials,GSKR-SDB.ST,EQ,
Gruvaktiebolaget Viscaria,Materials,VISC.ST,EQ,
Norske Skog ASA,Materials,NSKOGO.ST,EQ,
Grieg Seafood ASA,Materials,GSFO.ST,EQ,
Hexagon Composites ASA,Materials,HEXO.ST,EQ,
Sotkamo Silver AB,Materials,SOSI.ST,EQ,
Lucara Diamond Corp.,Materials,LUC.ST,EQ,
Nordic Mining ASA,Materials,NOMO.ST,EQ,
Arctic Paper S.A.,Materials,ARP.ST,EQ,
Tekna Holding ASA,Materials,TEKNAO.ST,EQ,
District Metals Corporation Shs Swedish Depository Receipt Repr 1 Sh,Materials,DMXSE-SDB.ST,EQ,
Embellence Group AB,Materials,EMBELL.ST,EQ,
I-Tech AB,Materials,ITECH.ST,EQ,
ProfilGruppen AB Class B,Materials,PROF-B.ST,EQ,
Duroc AB Class B,Materials,DURC-B.ST,EQ,
Grangex AB,Materials,GRANGX.ST,EQ,
Rottneros AB,Materials,RROS.ST,EQ,
Skane-moellan AB,Materials,SKMO.ST,EQ,
Botnia Gold AB,Materials,BOTX.ST,EQ,
Agtira AB Class B,Materials,AGTIRA-B.ST,EQ,
Nexam Chemical Holding AB,Materials,NEXAM.ST,EQ,
Bluelake Mineral AB,Materials,BLUE.ST,EQ,
Arctic Minerals AB,Materials,ARCT.ST,EQ,
Scandinavian Enviro Systems AB,Materials,SES.ST,EQ,
Latvian Forest Co. AB Class B,Materials,LATF.B.ST,EQ,
Nordic Iron Ore AB,Materials,NIO.ST,EQ,
Eurobattery Minerals AB,Materials,BAT.ST,EQ,
Polygiene Group AB,Materials,POLYG.ST,EQ,
Drillcon AB,Materials,DRIL.ST,EQ,
Greater Than AB,Materials,GREAT.ST,EQ,
Bong AB,Materials,BONG.ST,EQ,
aXichem AB Class A,Materials,AXIC-A.ST,EQ,
BEOWULF MINING PLC SHS SWEDISH DEPOSITORY RECEIPT,Materials,BEO.SDB.ST,EQ,
Tribox Group AB Class B,Materials,TRIBO-B.ST,EQ,
Mahvie Minerals AB,Materials,MAHVIE.ST,EQ,
LOVISAGRUVAN AB,Materials,LOVI.ST,EQ,
CirChem AB,Materials,CIRCHE.ST,EQ,
OrganoClick AB,Materials,ORGC.ST,EQ,
PHOTOCAT A/S,Materials,PCAT.ST,EQ,
Polymer Factory Sweden AB,Materials,POLYMER.ST,EQ,
NIDHOGG RESOURCES HOLDING AB,Materials,NIDHOG.ST,EQ,
Africa Resources AB,Materials,AFRI.ST,EQ,
CYCLEZYME AB,Materials,CYCLE.ST,EQ,
XOMA AB CLASS B,Materials,XOM.B.ST,EQ,
LAPPLAND GULDPROSPEKTERING AB CLASS B,Materials,LGOLD.B.ST,EQ,
Crustal Resources AB Class B,Materials,CRUST.B.ST,EQ,
