Company Name,Industry,Symbol,Series,ISIN Code
Telefonaktiebolaget LM Ericsson Class B,Technology,ERIC_B.ST,EQ,SE0000108656
Telefonaktiebolaget LM Ericsson Class A,Technology,ERIC_A.ST,EQ,SE0000108649
Saab AB Class B,Technology,SAAB_B.ST,EQ,SE0021921269
Hexagon AB Class B,Technology,HEXA_B.ST,EQ,SE0015961909
Evolution AB,Technology,EVO.ST,EQ,SE0012673267
Addtech AB Class B,Technology,ADDT_B.ST,EQ,SE0014781795
Sectra AB Class B,Technology,SECT_B.ST,EQ,SE0022419784
Lagercrantz Group AB Class B,Technology,LAGR_B.ST,EQ,SE0014990966
Octave Intelligence PLC Shs Swedish Depository Receipt Repr 1 Sh,Technology,OCTV_SDB.ST,EQ,SE0028329433
Sinch,Technology,SINCH.ST,EQ,SE0016101844
Sivers Semiconductors AB,Technology,SIVE.ST,EQ,SE0003917798
HMS Networks AB,Technology,HMS.ST,EQ,SE0009997018
Hacksaw AB,Technology,HACK.ST,EQ,SE0025138357
Modern Times Group MTG AB Class A,Technology,MTG_A.ST,EQ,SE0018012486
Modern Times Group MTG AB Class B,Technology,MTG_B.ST,EQ,SE0018012494
NCAB Group AB,Technology,NCAB.ST,EQ,SE0017160773
Embracer Group AB Class B,Technology,EMBRAC_B.ST,EQ,SE0023615885
Paradox Interactive AB,Technology,PDX.ST,EQ,SE0008294953
Nolato AB Class B,Technology,NOLA_B.ST,EQ,SE0015962477
PLEJD AB,Technology,PLEJD.ST,EQ,SE0008014476
INVISIO AB,Technology,IVSO.ST,EQ,SE0001200015
Vitec Software Group AB Class B,Technology,VIT_B.ST,EQ,SE0007871363
Hexatronic Group AB,Technology,HTRO.ST,EQ,SE0018040677
MilDef Group AB,Technology,MILDEF.ST,EQ,SE0016074249
RaySearch Laboratories AB Class B,Technology,RAY_B.ST,EQ,SE0000135485
Dynavox Group AB,Technology,DYVOX.ST,EQ,SE0017105620
Hemnet Group,Technology,HEM.ST,EQ,SE0015671995
Acast AB,Technology,ACAST.ST,EQ,SE0015960935
Addnode Group AB Class B,Technology,ANOD_B.ST,EQ,SE0017885767
NOTE AB,Technology,NOTE.ST,EQ,SE0001161654
Ependion AB,Technology,EPEN.ST,EQ,SE0000671711
Truecaller AB Class B,Technology,TRUE_B.ST,EQ,SE0016787071
Proact IT Group AB,Technology,PACT.ST,EQ,SE0015961222
Verve Group SE Class A,Technology,VER.ST,EQ,SE0018538068
GomSpace Group AB,Technology,GOMX.ST,EQ,SE0008348304
Lime Technologies AB,Technology,LIME.ST,EQ,SE0011870195
SmartCraft Group AB (publ),Technology,SMCRT.ST,EQ,SE0027597691
Stillfront Group AB,Technology,SF.ST,EQ,SE0015346135
Cint Group AB,Technology,CINT.ST,EQ,SE0015483276
Vertiseit AB Class B,Technology,VERT_B.ST,EQ,SE0012481133
Inission AB Class B,Technology,INISS_B.ST,EQ,SE0016275069
CTT Systems AB,Technology,CTT.ST,EQ,SE0000418923
Clavister AB,Technology,CLAV.ST,EQ,SE0005308558
SaltX Technology Holding AB Class B,Technology,SALT_B.ST,EQ,SE0005308541
Lasernet Group AB,Technology,LASER.ST,EQ,SE0001338039
Carasent AB,Technology,CARA.ST,EQ,SE0023261599
Enea AB,Technology,ENEA.ST,EQ,SE0009697220
Enad Global 7 AB,Technology,EG7.ST,EQ,SE0010520106
Acconeer AB,Technology,ACCON.ST,EQ,SE0010546242
Exsitec Holding AB,Technology,EXS.ST,EQ,SE0014035762
Net Insight AB Class B,Technology,NETI_B.ST,EQ,SE0000366098
Micro Systemation AB Class B,Technology,MSAB_B.ST,EQ,SE0000526626
Scandinavian Astor Group AB,Technology,ASTOR.ST,EQ,SE0019175274
Softronic AB Class B,Technology,SOF_B.ST,EQ,SE0000323305
Briox AB,Technology,BRIX.ST,EQ,SE0008588131
AAC Clyde Space AB,Technology,AAC.ST,EQ,SE0021020716
Safestate Group AB (publ),Technology,STATE.ST,EQ,SE0019763988
Firefly AB,Technology,FIRE.ST,EQ,SE0000395428
Prevas AB Class B,Technology,PREV_B.ST,EQ,SE0000356008
Advenica AB,Technology,ADVE.ST,EQ,SE0006219473
Done.ai Group AB,Technology,DONE.ST,EQ,SE0010546911
SinterCast AB,Technology,SINT.ST,EQ,SE0000950982
C.A.G Group AB,Technology,CAG.ST,EQ,SE0011923341
BIMobject AB,Technology,BIM.ST,EQ,SE0011644376
Unibap Space Solutions AB,Technology,UNIBAP.ST,EQ,SE0009606809
Adtraction Group AB,Technology,ADTR.ST,EQ,SE0016833149
Careium AB,Technology,CARE.ST,EQ,SE0017131824
TagMaster AB Class B,Technology,TAGM_B.ST,EQ,SE0015950399
InfraCom Group AB,Technology,INFRA.ST,EQ,SE0010414573
Skolon AB,Technology,SKOLON.ST,EQ,SE0017615784
Novotek AB Class B,Technology,NTEK_B.ST,EQ,SE0000567752
Concejo AB Class B,Technology,CNCJO_B.ST,EQ,SE0000236382
Gapwaves AB Class B,Technology,GAPW_B.ST,EQ,SE0009155518
