Company Name,Industry,Symbol,Series,ISIN Code
Tencent Holdings Ltd Shs UnSp Singapore Depositary Receipt Repr 1/10 Sh,Technology,HTCD.SI,EQ,SGXE68418768
HSBC Holdings Plc Shs UnSp Singapore Depositary Receipt Repr 1/5 Sh,Financials,HSHD.SI,EQ,SGXE38349465
Contemporary Amperex Technology Co.  Limited Shs UnSp Singapore Depositary Receipt Repr 1/30 Sh,Industrials,HCCD.SI,EQ,SGXE51956733
PetroChina Co.  Ltd. Shs UnSp Singapore Depositary Receipt Repr 2/1 Sh,Energy,HPCD.SI,EQ,SGXE57566940
Bank of China Limited Shs UnSp Singapore Depositary Receipt Repr 1 Sh,Financials,HBND.SI,EQ,SGXE34582291
Alibaba Group Holding Limited Shs UnSp Singapore Depositary Receipt Repr 1/5 Sh,Consumer Discretionary,HBBD.SI,EQ,SGXE32143393
China Mobile Limited Shs UnSp Singapore Depositary Receipt Repr 1/5 Sh,Communication Services,HCMD.SI,EQ,SGXE71993740
DBS Group Holdings,Financials,D05.SI,EQ,SG1L01001701
Ping An Insurance (Group) Company of China  Ltd. Shs UnSp Singapore Depositary Receipt Repr 1/2 Sh,Financials,HPAD.SI,EQ,SGXE81412038
Delta Electronics (Thailand) Public Co. Ltd. Shs Singapore Depositary Receipt Repr 1 NDVR,Technology,TDED.SI,EQ,SGXE82458550
BYD Company Limited Shs UnSp Singapore Depositary Receipt Repr 1/10 Sh,Industrials,HYDD.SI,EQ,SGXE33900452
Semiconductor Manufacturing International Corp. UnSp Singapore Depositary Receipt Repr 1/5 Sh,Technology,HSMD.SI,EQ,SGXE29478059
Xiaomi Corporation Shs UnSp Singapore Depositary Receipt Repr 1/2 Sh,Technology,HXXD.SI,EQ,SGXE85729692
Oversea-Chinese Banking,Financials,O39.SI,EQ,SG1S04926220
Meituan Shs UnSp Singapore Depositary Receipt Repr 1/5 Sh,Technology,HMTD.SI,EQ,SGXE14976547
Singapore Telecommunications Limited,Communication Services,Z77.SI,EQ,SG1T75931496
Singapore Telecommunications,Communication Services,Z74.SI,EQ,SG1T75931496
United Overseas Bank,Financials,U11.SI,EQ,SG1M31001969
PT Bank Central Asia Tbk UnSp Singapore Depositary Receipt Repr 2/1 Sh,Financials,IBKD.SI,EQ,SGXE23025161
Baidu  Inc. Shs UnSp Singapore Depositary Receipt Repr 1/10 Sh,Technology,HBUD.SI,EQ,SGXE65286994
Zijin Gold International Company Limited Shs UnSp Singapore Depositary Receipt Repr 1/10 Sh,Materials,HZGD.SI,EQ,SGXE43265961
JD.com  Inc. Shs UnSp Singapore Depositary Receipt Repr 1/10 Sh,Consumer Discretionary,HJDD.SI,EQ,SGXE58855789
Advanced Info Service Public Co.  Ltd. Shs Singapore Depositary Receipt Repr 1 NDVR,Communication Services,TADD.SI,EQ,SGXE32247038
Prudential plc,Financials,K6S.SI,EQ,GB0007099541
Trip.com Group Ltd. Shs UnSp Singapore Depositary Receipt Repr 1/50 Sh,Consumer Discretionary,HTGD.SI,EQ,SGXE67782909
Pop Mart International Group Limited Shs UnSp Singapore Depositary Receipt Repr 1/20 Sh,Consumer Discretionary,HPPD.SI,EQ,SGXE35826358
Gulf Development Public Company Limited Shs UnSp Singapore Depositary Receipt Repr 1 Sh,Industrials,TGUD.SI,EQ,SGXE34721527
Geely Automobile Holdings Limited Shs UnSp Singapore Depositary Receipt Repr 1/2 Sh,Consumer Discretionary,HGMD.SI,EQ,SGXE43618235
Singapore Technologies,Industrials,S63.SI,EQ,SG1F60858221
Kuaishou Technology Shs UnSp Singapore Depositary Receipt Repr 1/5 Sh,Industrials,HKUD.SI,EQ,SGXE93813553
Airports of Thailand Public Co Ltd Shs Singapore Depositary Receipt Repr 1 NDVR,Industrials,TATD.SI,EQ,SGXE27499115
IHH Healthcare Bhd.,Health Care,Q0F.SI,EQ,MYL5225OO007
Singapore Exchange,Financials,S68.SI,EQ,SG1J26887955
Jardine Matheson,Industrials,J36.SI,EQ,BMG507361001
Wilmar International,Consumer Staples,F34.SI,EQ,SG1T56930848
PTT Exploration & Production Plc Shs Singapore Depositary Receipt Repr 1 NDVR,Energy,TPED.SI,EQ,SGXE96528042
Singapore Airlines,Industrials,C6L.SI,EQ,SG1V61937297
PT Telkom Indonesia (Persero) Tbk Shs UnSp Singapore Depositary Receipt Repr 5/1 Sh,Communication Services,ITKD.SI,EQ,SGXE83206339
Hongkong Land,Real Estate,H78.SI,EQ,BMG4587L1090
Kasikornbank Public Co. Ltd. Shs Singapore Depositary Receipt Repr 1 NDVR,Financials,TKKD.SI,EQ,SGXE30848761
Keppel Corporation,Industrials,BN4.SI,EQ,SG1U68934629
CapitaLand Integrated,Real Estate,C38U.SI,EQ,SG1M51904654
NIO Inc. Class A,Consumer Discretionary,NIO.SI,EQ,KYG6525F1028
CP ALL Public Company Limited Shs Singapore Depositary Receipt Repr 1 NDVR,Consumer Discretionary,TCPD.SI,EQ,SGXE91081823
Yangzijiang Shipbuilding,Industrials,BS6.SI,EQ,SG1U76934819
