Company Name,Industry,Symbol,Series,ISIN Code
Alibaba Group Holding Limited Shs UnSp Singapore Depositary Receipt Repr 1/5 Sh,Consumer Discretionary,HBBD.SI,EQ,SGXE32143393
JD.com  Inc. Shs UnSp Singapore Depositary Receipt Repr 1/10 Sh,Consumer Discretionary,HJDD.SI,EQ,SGXE58855789
Trip.com Group Ltd. Shs UnSp Singapore Depositary Receipt Repr 1/50 Sh,Consumer Discretionary,HTGD.SI,EQ,SGXE67782909
Pop Mart International Group Limited Shs UnSp Singapore Depositary Receipt Repr 1/20 Sh,Consumer Discretionary,HPPD.SI,EQ,SGXE35826358
Geely Automobile Holdings Limited Shs UnSp Singapore Depositary Receipt Repr 1/2 Sh,Consumer Discretionary,HGMD.SI,EQ,SGXE43618235
NIO Inc. Class A,Consumer Discretionary,NIO.SI,EQ,KYG6525F1028
CP ALL Public Company Limited Shs Singapore Depositary Receipt Repr 1 NDVR,Consumer Discretionary,TCPD.SI,EQ,SGXE91081823
Laopu Gold Co.  Ltd. Shs UnSp Singapore Depositary Receipt Repr 1/50 Sh,Consumer Discretionary,HLPD.SI,EQ,SGXE92689194
Jardine Cycle & Carriage,Consumer Discretionary,C07.SI,EQ,SG1B51001017
Genting Singapore,Consumer Discretionary,G13.SI,EQ,SGXE21576413
Hotel Properties Limited,Consumer Discretionary,H15.SI,EQ,SG2P14002527
Shangri-La Asia Limited,Consumer Discretionary,S07.SI,EQ,BMG8063F1068
Centurion Corporation Limited,Consumer Discretionary,OU8.SI,EQ,SG2D51973063
ValueMax Group Ltd.,Consumer Discretionary,T6I.SI,EQ,SG2G29997704
MoneyMax Financial Services Ltd.,Consumer Discretionary,5WJ.SI,EQ,SG2G06995143
Stamford Land Corporation Ltd,Consumer Discretionary,H07.SI,EQ,SG1I47882655
Vicom Ltd,Consumer Discretionary,WJP.SI,EQ,SGXE86215543
Cortina Holdings Limited,Consumer Discretionary,C41.SI,EQ,SG1M59904946
Hotel Grand Central Ltd.,Consumer Discretionary,H18.SI,EQ,SG1J41888780
Kimly Ltd.,Consumer Discretionary,1D0.SI,EQ,SG1DF1000008
Banyan Tree Holdings Limited,Consumer Discretionary,B58.SI,EQ,SG1T49930665
Bonvests Holdings Limited,Consumer Discretionary,B28.SI,EQ,SG2R04002568
Metro Holdings Ltd,Consumer Discretionary,M01.SI,EQ,SG1I11878499
Straco Corporation Limited,Consumer Discretionary,S85.SI,EQ,SG1P15916395
Hiap Hoe Ltd.,Consumer Discretionary,5JK.SI,EQ,SG1U37933462
Hotel Royal Ltd.,Consumer Discretionary,H12.SI,EQ,SG1P12002132
Coliwoo Holdings Ltd.,Consumer Discretionary,W8W.SI,EQ,SGXE36049950
Lum Chang Holdings Limited,Consumer Discretionary,L19.SI,EQ,SG1E20001293
JUMBO Group Limited,Consumer Discretionary,42R.SI,EQ,SG1CA7000005
Asian Pay Television Trust,Consumer Discretionary,S7OU.SI,EQ,SG2F77993036
17LIVE Group Limited,Consumer Discretionary,LVR.SI,EQ,KYG8074N1060
Old Chang Kee Ltd.,Consumer Discretionary,5ML.SI,EQ,SG1W49939232
Grand Banks Yachts Limited,Consumer Discretionary,G50.SI,EQ,SG0504000043
Heeton Holdings Limited,Consumer Discretionary,5DP.SI,EQ,SG1O44912994
mDR Limited,Consumer Discretionary,Y3D.SI,EQ,SGXE29738106
Duty Free International Limited,Consumer Discretionary,5SO.SI,EQ,SG2C70966271
Parkson Retail Asia Limited,Consumer Discretionary,O9E.SI,EQ,SG2D81975377
Zhongmin Baihui Retail Group Ltd.,Consumer Discretionary,5SR.SI,EQ,SG2C76966531
Alset International Limited.,Consumer Discretionary,40V.SI,EQ,SG1AE2000006
Sim Leisure Group Ltd.,Consumer Discretionary,URR.SI,EQ,SGXE75616446
Overseas Education Ltd.,Consumer Discretionary,RQ1.SI,EQ,SG2F49989922
Zixin Group Holdings Limited,Consumer Discretionary,42W.SI,EQ,SG1CE1000003
Goodwill Entertainment Holding Limited,Consumer Discretionary,GEH.SI,EQ,SGXE35243133
YKGI Limited,Consumer Discretionary,YK9.SI,EQ,SGXE39589952
Tiong Seng Holdings Limited,Consumer Discretionary,BFI.SI,EQ,SG1BH4000005
