Company Name,Industry,Symbol,Series,ISIN Code
HSBC Holdings Plc Shs UnSp Singapore Depositary Receipt Repr 1/5 Sh,Financials,HSHD.SI,EQ,SGXE38349465
Bank of China Limited Shs UnSp Singapore Depositary Receipt Repr 1 Sh,Financials,HBND.SI,EQ,SGXE34582291
DBS Group Holdings,Financials,D05.SI,EQ,SG1L01001701
Ping An Insurance (Group) Company of China  Ltd. Shs UnSp Singapore Depositary Receipt Repr 1/2 Sh,Financials,HPAD.SI,EQ,SGXE81412038
Oversea-Chinese Banking,Financials,O39.SI,EQ,SG1S04926220
United Overseas Bank,Financials,U11.SI,EQ,SG1M31001969
PT Bank Central Asia Tbk UnSp Singapore Depositary Receipt Repr 2/1 Sh,Financials,IBKD.SI,EQ,SGXE23025161
Prudential plc,Financials,K6S.SI,EQ,GB0007099541
Singapore Exchange,Financials,S68.SI,EQ,SG1J26887955
Kasikornbank Public Co. Ltd. Shs Singapore Depositary Receipt Repr 1 NDVR,Financials,TKKD.SI,EQ,SGXE30848761
Great Eastern Holdings Limited,Financials,G07.SI,EQ,SG1I55882803
Singapore Land Group Limited,Financials,U06.SI,EQ,SG1K37001643
Keppel REIT,Financials,K71U.SI,EQ,SG1T22929874
UOB-Kay Hian Holdings Limited,Financials,U10.SI,EQ,SG1J21887414
GuocoLand Limited,Financials,F17.SI,EQ,SG1R95002270
OUE Real Estate Investment Trust,Financials,TS0U.SI,EQ,SG2G60000004
ESR-REIT,Financials,9A4U.SI,EQ,SGXC55341835
Lendlease Global Commercial REIT,Financials,JYEU.SI,EQ,SGXC61949712
CapitaLand India Trust,Financials,CY6U.SI,EQ,SG1V35936920
Ho Bee Land Limited,Financials,H13.SI,EQ,SG1H41875896
PropNex Ltd.,Financials,OYY.SI,EQ,SGXE65086469
AIMS APAC REIT,Financials,O5RU.SI,EQ,SG2D63974620
NTT DC REIT,Financials,NTDU.SI,EQ,SGXC92727947
Stoneweg European Stapled Trust,Financials,SEB.SI,EQ,SGXC11267561
Stoneweg European Stapled Trust,Financials,SET.SI,EQ,SGXC11267561
Starhill Global Real Estate Investment Trust,Financials,P40U.SI,EQ,SG1S18926810
CapitaLand China Trust,Financials,AU8U.SI,EQ,SG1U25933169
First Sponsor Group Ltd,Financials,ADN.SI,EQ,KYG3488W1078
Hong Leong Finance Limited,Financials,S41.SI,EQ,SG1M04001939
United Overseas Australia Ltd,Financials,EH5.SI,EQ,AU000000UOS4
CDL Hospitality Trusts,Financials,J85.SI,EQ,SG1T66931158
Sasseur Real Estate Investment Trust,Financials,CRPU.SI,EQ,SG1ED2000000
Digital Core REIT,Financials,DCRU.SI,EQ,SGXC50067435
Yangzijiang Financial Holding Ltd.,Financials,YF8.SI,EQ,SGXE77102635
Hong Fok Corporation Limited,Financials,H30.SI,EQ,SG1J14885763
OUE Limited,Financials,LJ3.SI,EQ,SG2B80958517
Aspial Lifestyle Ltd.,Financials,5UF.SI,EQ,SG2E90982678
Far East Orchard Ltd.,Financials,O10.SI,EQ,SG2P56002559
Alpha Integrated Real Estate Investment Trust,Financials,M1GU.SI,EQ,SG2C57965205
United Overseas Insurance Limited,Financials,U13.SI,EQ,SG1M91002014
First Real Estate Investment Trust,Financials,AW9U.SI,EQ,SG1U27933225
GSH Corporation Limited,Financials,BDX.SI,EQ,SG1BG1000000
Global Resource Construction Ltd.,Financials,S3N.SI,EQ,SGXPG02D6ZP7
United Hampshire US Real Estate Investment Trust,Financials,ODBU.SI,EQ,SGXC39411175
Tuan Sing Holdings Limited,Financials,T24.SI,EQ,SG2D13002373
Sing Investments & Finance Limited,Financials,S35.SI,EQ,SG1S02002305
Elite UK REIT,Financials,MENU.SI,EQ,SGXC59097235
Elite UK REIT,Financials,MXNU.SI,EQ,SGXC59097235
Daiwa House Logistics Trust,Financials,DHLU.SI,EQ,SGXC62140063
Oxley Holdings Ltd.,Financials,5UX.SI,EQ,SG2F25986140
Bund Center Investment Ltd,Financials,BTE.SI,EQ,BMG1792W1367
Prime US REIT,Financials,OXMU.SI,EQ,SGXC75818630
IREIT Global,Financials,UD1U.SI,EQ,SG1AB8000006
Sing Holdings Ltd.,Financials,5IC.SI,EQ,SG1T28930090
KORE US REIT,Financials,CMOU.SI,EQ,SG1EA1000007
APAC Realty Ltd.,Financials,CLN.SI,EQ,SG1DJ0000001
Tiong Woon Corporation Holding Ltd,Financials,BQM.SI,EQ,SG1CF7000004
BHG Retail REIT,Financials,BMGU.SI,EQ,SG1CD7000009
Chuan Hup Holdings Limited,Financials,C33.SI,EQ,SG1H43875910
Yoma Strategic Holdings Ltd.,Financials,Z59.SI,EQ,SG1T74931364
OUE Healthcare Limited,Financials,5WA.SI,EQ,SG2F86994413
Hotung Investment Holdings Limited,Financials,BLS.SI,EQ,BMG4612P2085
Acrophyte Hospitality Trust,Financials,XZL.SI,EQ,SGXC80011726
Singapura Finance Ltd,Financials,S23.SI,EQ,SG1M01001924
Manulife US REIT,Financials,BTOU.SI,EQ,SG1CI1000004
ProsperCap Corporation Limited,Financials,PPC.SI,EQ,SGXE73186327
MYP Limited,Financials,F86.SI,EQ,SG1S80928447
Trendlines Group Ltd.,Financials,42T.SI,EQ,IL0011328858
New Toyo International Holdings Ltd,Financials,N08.SI,EQ,SG1E32850828
Pollux Properties Ltd.,Financials,5AE.SI,EQ,SG1I77884290
Sin Heng Heavy Machinery Limited,Financials,BKA.SI,EQ,SG1CB2000008
IFS Capital Ltd.,Financials,I49.SI,EQ,SG1A35000706
