Company Name,Industry,Symbol,Series,ISIN Code
IHH Healthcare Bhd.,Health Care,Q0F.SI,EQ,MYL5225OO007
Bangkok Dusit Medical Services Public Co. Ltd. UnSp Singapore Depositary Receipt Repr 2/1 Sh,Health Care,TBDD.SI,EQ,SGXE22121102
Tianjin Pharmaceutical Da Ren Tang Group Corporation Limited Class S,Health Care,T14.SI,EQ,CNE100000924
China Medical System Holdings Ltd.,Health Care,8A8.SI,EQ,KYG211081248
Haw Par Corporation,Health Care,H02.SI,EQ,SG1D25001158
Top Glove Corporation Bhd.,Health Care,BVA.SI,EQ,MYL7113OO003
Raffles Medical Group,Health Care,BSL.SI,EQ,SG1CH4000003
Thomson Medical Group Ltd.,Health Care,A50.SI,EQ,SG1M49904634
Riverstone Holdings,Health Care,AP4.SI,EQ,SG1U22933048
Q & M Dental Group (Singapore) Limited,Health Care,QC7.SI,EQ,SG2E73981531
iX Biopharma Ltd.,Health Care,42C.SI,EQ,SG1BD9000009
Aoxin Q&M Dental Group Ltd.,Health Care,1D4.SI,EQ,SG1DF9000000
ISEC Healthcare Ltd,Health Care,40T.SI,EQ,SG1AD9000001
Hyphens Pharma International Ltd.,Health Care,1J5.SI,EQ,SG1EE4000006
Embracing Future Holdings Limited,Health Care,8YY.SI,EQ,SGXE89830751
Medtecs International Corporation Ltd.,Health Care,546.SI,EQ,BMG5958R1043
Singapore Institute of Advanced Medicine Holdings Ltd.,Health Care,9G2.SI,EQ,SGXE79544776
HC Surgical Specialists Ltd,Health Care,1B1.SI,EQ,SG1DC2000004
UG Healthcare Corp. Ltd.,Health Care,8K7.SI,EQ,SGXE48766716
VicPlas International Ltd.,Health Care,569.SI,EQ,SG1G57870584
Alliance Healthcare Group Ltd.,Health Care,MIJ.SI,EQ,SGXE65282837
Cordlife Group Limited,Health Care,P8A.SI,EQ,SG2E64980112
Medinex Ltd.,Health Care,OTX.SI,EQ,SGXE82839874
Asiamedic Limited,Health Care,505.SI,EQ,SG0505000059
Medi Lifestyle Limited,Health Care,Z4D.SI,EQ,SGXE63978766
Pharmesis International Ltd.,Health Care,BFK.SI,EQ,SG1BH6000003
Annica Holdings Limited,Health Care,JFQ.SI,EQ,SGXE54006650
