Company Name,Industry,Symbol,Series,ISIN Code
Contemporary Amperex Technology Co.  Limited Shs UnSp Singapore Depositary Receipt Repr 1/30 Sh,Industrials,HCCD.SI,EQ,SGXE51956733
BYD Company Limited Shs UnSp Singapore Depositary Receipt Repr 1/10 Sh,Industrials,HYDD.SI,EQ,SGXE33900452
Gulf Development Public Company Limited Shs UnSp Singapore Depositary Receipt Repr 1 Sh,Industrials,TGUD.SI,EQ,SGXE34721527
Singapore Technologies,Industrials,S63.SI,EQ,SG1F60858221
Kuaishou Technology Shs UnSp Singapore Depositary Receipt Repr 1/5 Sh,Industrials,HKUD.SI,EQ,SGXE93813553
Airports of Thailand Public Co Ltd Shs Singapore Depositary Receipt Repr 1 NDVR,Industrials,TATD.SI,EQ,SGXE27499115
Jardine Matheson,Industrials,J36.SI,EQ,BMG507361001
Singapore Airlines,Industrials,C6L.SI,EQ,SG1V61937297
Keppel Corporation,Industrials,BN4.SI,EQ,SG1U68934629
Yangzijiang Shipbuilding,Industrials,BS6.SI,EQ,SG1U76934819
Seatrium,Industrials,5E2.SI,EQ,SGXE34184239
SATS Ltd,Industrials,S58.SI,EQ,SG1I52882764
SIA Engineering,Industrials,S59.SI,EQ,SG1I53882771
ComfortDelGro,Industrials,C52.SI,EQ,SG1N31909426
Hong Leong Asia Ltd.,Industrials,H22.SI,EQ,SG1F76860344
Hutchison Port Holdings,Industrials,NS8U.SI,EQ,SG2D00968206
Hutchison Port Holdings Trust,Industrials,P7VU.SI,EQ,SG2D00968206
Hour Glass Ltd.,Industrials,AGS.SI,EQ,SG1AE9000009
China Aviation Oil (Singapore) Corporation Ltd,Industrials,G92.SI,EQ,SG1T06929205
SBS Transit Ltd,Industrials,S61.SI,EQ,SG1F58858209
Boustead Singapore Limited,Industrials,F9D.SI,EQ,SG1X13940751
Civmec Limited,Industrials,P9D.SI,EQ,AU0000012056
Nanofilm Technologies International Ltd.,Industrials,MZH.SI,EQ,SGXE61652363
Singapore Post,Industrials,S08.SI,EQ,SG1N89910219
HRnetGroup Ltd.,Industrials,CHZ.SI,EQ,SG1DH2000003
China Everbright Water Limited,Industrials,U9E.SI,EQ,BMG2116Y1057
Wee Hur Holdings Ltd.,Industrials,E3B.SI,EQ,SG1W55939399
Marco Polo Marine Ltd.,Industrials,5LY.SI,EQ,SG1W14938268
Malaysia Smelting Corp. Bhd.,Industrials,NPW.SI,EQ,MYL5916OO001
Tan Chong International Limited,Industrials,T15.SI,EQ,BMG8667Z1023
COSCO Shipping International Singapore Co Ltd,Industrials,F83.SI,EQ,SG1S76928401
Samudera Shipping Line Ltd,Industrials,S56.SI,EQ,SG1F29855813
Soilbuild Construction Group Ltd.,Industrials,ZQM.SI,EQ,SGXE48424142
Nam Cheong Limited,Industrials,1MZ.SI,EQ,BMG6361R3014
OKP Holdings Limited,Industrials,5CF.SI,EQ,SG1M55904841
SIIC Environment Holdings Ltd.,Industrials,BHK.SI,EQ,SG1BI7000000
Sunpower Group Ltd.,Industrials,5GD.SI,EQ,BMG8585U1027
Micro-Mechanics (Holdings) Ltd,Industrials,5DD.SI,EQ,SG1O09910991
Ever Glory United Holdings Limited,Industrials,ZKX.SI,EQ,SGXE22056548
Koh Brothers Eco Engineering Limited,Industrials,5HV.SI,EQ,SG1S95928879
ISDN Holdings Limited,Industrials,I07.SI,EQ,SG1S48927937
Multi-Chem Limited,Industrials,AWZ.SI,EQ,SG1BA2000002
Penguin International Limited,Industrials,BTM.SI,EQ,SG1CI0000005
Azeus Systems Holdings Ltd.,Industrials,BBW.SI,EQ,BMG075391109
ASL Marine Holdings Ltd.,Industrials,A04.SI,EQ,SG1N25909283
GP Industries Limited,Industrials,G20.SI,EQ,SG1C12012995
Thakral Corporation Ltd,Industrials,AWI.SI,EQ,SG1AJ2000005
Credit Bureau Asia Limited,Industrials,TCU.SI,EQ,SGXE54097436
Lum Chang Creations Limited,Industrials,LCC.SI,EQ,SGXE10283153
LHN Limited,Industrials,41O.SI,EQ,SG1AH9000002
XMH Holdings Ltd.,Industrials,BQF.SI,EQ,SG1CF5000006
JEP Holdings Ltd.,Industrials,1J4.SI,EQ,SG1EE3000007
Tai Sin Electric Limited,Industrials,500.SI,EQ,SG1F88861140
Raffles Education Limited,Industrials,NR7.SI,EQ,SG2C97968151
Nordic Group Limited,Industrials,MR7.SI,EQ,SG2C45963924
Hafary Holdings Limited,Industrials,5VS.SI,EQ,SG2F75992345
Hock Lian Seng Holdings Limited,Industrials,J2T.SI,EQ,SG1Z21951640
KSH Holdings Limited,Industrials,ER0.SI,EQ,SG1W44939146
Nam Lee Pressed Metal Industries Limited,Industrials,G0I.SI,EQ,SG1X43941639
InnoTek Limited,Industrials,M14.SI,EQ,SG1F66858902
Koh Brothers Group Limited,Industrials,K75.SI,EQ,SG1B06007705
Beng Kuang Marine Ltd.,Industrials,BEZ.SI,EQ,SG1BH2000007
Huationg Global Ltd.,Industrials,41B.SI,EQ,SG1AF2000003
Singapore Shipping Corporation Limited,Industrials,S19.SI,EQ,SG1J24887775
